,ge,rtx,Ratio,Spread
336,93.33000183105469,99.69499969482422,1.0681988400181477,8.737759424195902
337,92.54000091552734,99.29000091552734,1.0729414300110236,8.21497766327437
338,92.77120208740234,99.76000213623047,1.0753337230905318,8.01650011289273
339,93.56999969482422,100.23999786376953,1.0712835117099424,8.474615799116181
340,93.38999938964844,100.37069702148438,1.0747478068043514,8.132523493503543
341,92.94999694824219,100.02999877929688,1.0761700060624755,7.956480938608793
342,92.44999694824219,99.83000183105469,1.0798269889283412,7.569275693800934
343,88.3499984741211,99.27999877929688,1.1237125126649248,3.3042225545472537
344,87.79000091552734,98.5,1.121995659787929,3.426557744826285
345,88.94000244140625,99.75,1.1215425822111416,3.527124580840267
346,89.16000366210938,99.62999725341797,1.1174292638096657,3.9054977259634303
347,88.62000274658203,99.19000244140625,1.1192732945974986,3.711313094281765
348,88.94000244140625,98.78500366210938,1.1106926124404934,4.492120918730892
349,89.1500015258789,99.58000183105469,1.1169938320432682,3.94374659566728
350,87.03500366210938,102.20500183105469,1.1742976679571229,-1.165116172135994
351,87.5,102.66000366210938,1.1732571847098214,-1.0740242644514508
352,86.36000061035156,99.69000244140625,1.1543538876429429,0.5571566728971236
353,86.44999694824219,99.9800033569336,1.1565067309000814,0.37284785132148257
354,86.19999694824219,100.37999725341797,1.1645011694570013,-0.32074714168791574
355,86.0,99.05000305175781,1.1517442215320677,0.774369766749986
356,85.4000015258789,98.16999816894531,1.149531573944957,0.9497338099013051
357,86.04000091552734,96.72750091552734,1.1242154798498063,3.143849153623778
358,86.94999694824219,97.48999786376953,1.1212191062157413,3.450055537535592
359,89.08000183105469,97.41000366210938,1.0935114690147067,6.0315368159853495
360,89.16999816894531,96.70500183105469,1.084501556766136,6.84223074099174
361,88.7750015258789,96.36000061035156,1.085440709142219,6.723346171582863
362,88.56999969482422,95.72000122070312,1.0807271260078455,7.122590511682121
363,88.1500015258789,94.8499984741211,1.0760067706439598,7.49934556650078
364,92.76499938964844,98.19000244140625,1.0584811414590833,9.579215332269117
365,91.7300033569336,98.16000366210938,1.0700970246360484,8.393710231149486
366,92.02999877929688,98.73999786376953,1.0729109982991996,8.166031969322704
367,91.9000015258789,98.23999786376953,1.0689879894735943,8.513362624727678
368,91.24500274658203,97.83999633789062,1.0722778606256949,8.144130711310128
369,91.68000030517578,98.9000015258789,1.0787521945535543,7.594988564077186
370,91.27999877929688,98.5199966430664,1.0793163667900008,7.505229900450773
371,90.7300033569336,98.29000091552734,1.0833241185812876,7.089308591631424
372,89.9800033569336,98.0,1.089130877348966,6.498506217583698
373,90.15499877929688,98.54499816894531,1.0930619433558808,6.159023440209255
374,89.77539825439453,97.98999786376953,1.0915016782893847,6.268219223973832
375,90.69869995117188,97.95999908447266,1.080059572377663,7.38254756565968
376,91.20999908447266,98.2300033569336,1.0769652926534894,7.713015237956343
377,91.33999633789062,98.51000213623047,1.0784979864879358,7.585685803254508
378,92.91999816894531,98.62999725341797,1.0614507016464942,9.321251766503808
379,93.08000183105469,98.41000366210938,1.05726258837778,9.729154360385722
380,92.0250015258789,97.66999816894531,1.0613419891275844,9.230162867814416
381,92.16000366210938,98.45999908447266,1.0683593226131072,8.598709053209008
382,92.91999816894531,98.3396987915039,1.0583265252836596,9.61155022841787
383,92.15190124511719,97.87000274658203,1.062050825042178,9.179189877046001
384,92.30999755859375,96.91000366210938,1.0498321549688676,10.32485796549179
385,93.43000030517578,97.12999725341797,1.0396018081575156,11.420200512213286
386,93.26000213623047,96.79000091552734,1.0378511548191947,11.560550254865548
387,93.06500244140625,96.38999938964844,1.0357276834579745,11.731543283854707
388,92.33999633789062,96.08499908447266,1.0405566698625188,11.1850932411124
389,92.32499694824219,95.9000015258789,1.038721957170937,11.352475450714211
390,92.33000183105469,96.69999694824219,1.047330174705116,10.55835778467784
391,92.44999694824219,97.04000091552734,1.049648503177938,10.359276609328278
392,93.0,97.5199966430664,1.0486021144415743,10.525206878142031
393,92.44999694824219,96.77999877929688,1.0468361489885047,10.619278745558747
394,92.16999816894531,97.29000091552734,1.0555495589486417,9.780444814819363
395,91.43000030517578,96.79000091552734,1.0586240904786275,9.411388077903725
396,91.55000305175781,97.11000061035156,1.0607318118323863,9.232320135009504
397,92.29000091552734,97.43499755859375,1.0557481481420246,9.776379923682954
398,92.4000015258789,97.62999725341797,1.0566016844282657,9.710565428129287
399,95.01000213623047,95.86199951171875,1.008967449282515,14.543759334349305
400,95.08999633789062,95.45999908447266,1.0038910796175369,15.039705302887656
401,94.875,95.73999786376953,1.009117237035779,14.507213881376574
402,94.32499694824219,95.00499725341797,1.0072091208818053,14.59628849537532
403,93.26000213623047,94.58000183105469,1.014153974529145,13.770549339338205
404,94.12999725341797,95.05999755859375,1.0098799567864856,14.312279693309806
405,94.70999908447266,95.80999755859375,1.011614385859512,14.243436387646513
406,94.31849670410156,96.52010345458984,1.0233422587023966,13.073548378973983
407,93.98999786376953,96.37000274658203,1.025321895275092,12.837858608067068
408,94.75,96.9000015258789,1.0226913089802523,13.200409671004694
409,94.93000030517578,97.04000091552734,1.0222269103925887,13.271803429254037
410,94.70999908447266,97.36000061035156,1.027980166312908,12.6934333358887
411,95.18000030517578,97.36000061035156,1.0229039745554322,13.245404830954842
412,95.52999877929688,97.72000122070312,1.0229247615344979,13.296443963739437
413,95.01000213623047,97.59559631347656,1.027213915578475,12.810162532591493
414,94.7699966430664,96.9000015258789,1.0224755192388026,13.223893816329154
415,95.00900268554688,96.79000091552734,1.0187455733629271,13.614584171274204
416,95.58000183105469,96.81999969482422,1.0129734028040858,14.255169292921112
417,95.27999877929688,96.69000244140625,1.0147985272898192,14.032841646511288
