,nue,alb,Ratio,Spread
1037,140.8800048828125,286.489990234375,2.0335745336798117,-30.34908531259052
1038,140.5399932861328,287.79998779296875,2.0478155794914654,-32.28169421674719
1039,140.1699981689453,286.6400146484375,2.044945554632551,-31.79923666289986
1040,139.58999633789062,285.04998779296875,2.04205168902633,-31.27127864269531
1041,134.6844940185547,279.6499938964844,2.0763339977203215,-34.853982482197445
1042,135.16000366210938,275.1499938964844,2.035735324366669,-29.48325424265261
1043,136.4600067138672,275.67999267578125,2.0202255540983085,-27.632755835398118
1044,136.1300048828125,272.7449951171875,2.003562663146747,-25.302040266235284
1045,135.22000122070312,274.0899963378906,2.026993002984277,-28.313392311633525
1046,135.72000122070312,274.67999267578125,2.0238726068761688,-27.987814957857612
1047,135.1999969482422,272.8299865722656,2.0179733190135463,-27.09001331718085
1048,132.60000610351562,271.4200134277344,2.0469080010135703,-30.44100660466069
1049,133.89999389648438,269.2699890136719,2.010978351663254,-25.910512945138496
1050,135.2100067138672,270.3599853515625,1.9995560382132151,-24.601682740345755
1051,134.39329528808594,270.6549987792969,2.013902540295034,-26.39221515833771
1052,133.7100067138672,269.6000061035156,2.016303885770093,-26.58842456729852
1053,133.5500030517578,269.80999755859375,2.020291961011995,-27.09140630957194
1054,132.9499969482422,267.9200134277344,2.0151938290907703,-26.30012178514912
1055,129.1300048828125,256.30999755859375,1.9848988450918057,-21.685074390973288
1056,129.3300018310547,251.6999969482422,1.9461841288538824,-16.70884989217345
1057,128.61000061035156,252.00999450683594,1.9594898787874833,-18.337275802054368
1058,129.6414031982422,252.99000549316406,1.951459944523297,-17.428636638403564
1059,129.5500030517578,254.20799255371094,1.9622384142449596,-18.81399083802157
1060,128.89999389648438,254.02499389648438,1.9707137775389194,-19.821254744616514
1061,130.39999389648438,256.9700012207031,1.9706289359545064,-20.019540993835623
1062,133.40780639648438,263.7200012207031,1.9767958738256624,-21.26179300490401
1063,133.27999877929688,264.50201416015625,1.9845589479495316,-22.27784052814005
1064,132.99000549316406,261.8900146484375,1.9692458367625163,-20.196861463507563
1065,130.7050018310547,258.2200012207031,1.975593876311409,-20.711026512551346
1066,131.23280334472656,260.3800048828125,1.9841076182670419,-21.904547813981228
