,nke,tsla,Ratio,Spread
844,114.62999725341797,293.8466491699219,2.5634358912205255,-50.241334310029394
845,115.08000183105469,295.3566589355469,2.5665333180055963,-50.78660316679821
846,115.1500015258789,295.4375915527344,2.565675967328038,-50.71746715677525
847,115.26000213623047,297.8116760253906,2.58382500872588,-52.855727164350235
848,115.96499633789062,299.4533386230469,2.5822735142466686,-52.98599014376304
849,116.05999755859375,300.0199890136719,2.5850421792590903,-53.348972463976615
850,115.48999786376953,304.6266784667969,2.637688839739442,-59.177653983316496
851,115.25499725341797,305.57666015625,2.651309422049272,-60.63144099760199
852,115.80999755859375,309.84930419921875,2.675497027296381,-63.7142493690257
853,115.86000061035156,312.2300109863281,2.6948904655748103,-65.98775726973317
854,116.0999984741211,310.8766784667969,2.6776630710817093,-64.1199060792308
855,116.37999725341797,311.7113037109375,2.6783924305495965,-64.35425681452953
856,116.30999755859375,309.2799987792969,2.6591007245399534,-62.073020510099404
857,116.41999816894531,304.39666748046875,2.614642434873922,-56.953864746190014
858,117.56999969482422,308.8000183105469,2.6265205334022057,-58.89178839530725
859,117.86000061035156,307.8388366699219,2.611902554520135,-57.308889197309234
860,118.0999984741211,308.86334228515625,2.615269655171389,-57.818876141572524
861,118.31999969482422,309.1171569824219,2.612552043439059,-57.60104190867562
862,118.04000091552734,306.43939208984375,2.5960639589382937,-55.523551524939386
863,118.08000183105469,306.5733337402344,2.5963188430405877,-55.571737337459204
864,117.75789642333984,301.2699890136719,2.5583846023421284,-50.95893728361596
865,116.98999786376953,302.92999267578125,2.589366597207155,-54.265197875287605
866,116.62000274658203,303.38665771484375,2.6014976039240025,-55.51507579121104
867,116.68000030517578,305.6315612792969,2.619399729858755,-57.6313537769848
868,117.7249984741211,307.7183532714844,2.6138743449559576,-57.477829707153965
869,117.29000091552734,304.3101501464844,2.5945105957126695,-55.002194740086644
870,117.02999877929688,303.97833251953125,2.5974394231413624,-55.22778188116683
871,115.72000122070312,304.2433776855469,2.62913389626819,-58.30126122337287
872,116.44000244140625,305.5333251953125,2.6239549878836517,-58.04763636397154
873,116.11000061035156,304.3333740234375,2.62107805032864,-57.55515858734034
874,116.15499877929688,304.6921691894531,2.6231515853087894,-57.81748456934644
875,116.11000061035156,303.6036682128906,2.614793442571246,-56.82545277679346
876,116.2300033569336,303.4129638671875,2.6104530250715827,-56.377480917477946
877,116.0,302.8399963378906,2.6106896236025054,-56.29760536687473
