,adi,klac,Ratio,Spread
610,160.17999267578125,331.7099914550781,2.0708578263359585,20.31879439034713
611,158.375,324.95001220703125,2.0517759255376875,23.087007026057442
612,157.08999633789062,319.9649963378906,2.036826047469415,25.23021927795167
613,157.69000244140625,319.635009765625,2.026983352254012,26.887127761507138
614,159.5500030517578,327.14898681640625,2.050448013531404,23.48656814169322
615,162.47999572753906,335.5899963378906,2.06542346850278,21.52527850744439
616,160.82000732421875,337.6300964355469,2.099428435884055,15.814090779268033
617,161.92999267578125,341.29998779296875,2.1077008783439206,14.598947591188212
618,161.19000244140625,341.94000244140625,2.1213474611473124,12.322434163189362
619,160.49000549316406,340.1099853515625,2.119197293977594,12.6043981865456
620,161.2823944091797,341.7099914550781,2.1187060913055804,12.756771281780848
621,160.67999267578125,338.7300109863281,2.108103226453431,14.40453187016333
622,161.5800018310547,341.5199890136719,2.113627832302907,13.604936709754318
623,160.3699951171875,334.9700012207031,2.0887323777489035,17.478977688131458
624,159.3800048828125,332.010009765625,2.0831346442092427,18.249591858115075
625,160.86000061035156,333.0799865722656,2.0706203239367107,20.45264635562318
626,160.6199951171875,329.7900085449219,2.053231344605065,23.21184886944581
627,161.5800018310547,330.760009765625,2.0470355614394786,24.364915957801195
628,161.6699981689453,329.2900085449219,2.036803440801759,26.033945341690007
629,161.85000610351562,330.19000244140625,2.0400987951166596,25.53204151660298
630,161.9199981689453,332.92999267578125,2.0561388120101523,22.946839716363733
631,160.49000549316406,334.44500732421875,2.083899282678161,18.269376213889352
632,160.3300018310547,331.2300109863281,2.065926571468244,21.130522209432563
633,159.88999938964844,331.8299865722656,2.07536423690642,19.557475054552633
634,161.9456024169922,336.2300109863281,2.076191054083535,19.70344555939868
635,162.80999755859375,339.0495910644531,2.0824863101077833,18.7954874575887
636,162.35000610351562,338.1099853515625,2.0825991539290793,18.717815617512933
637,164.8000030517578,348.4949951171875,2.114654057425822,13.751008457107153
638,164.52000427246094,350.2099914550781,2.1286772572355197,11.416790892621512
639,164.7550048828125,352.69000244140625,2.1406937087724214,9.456487051295587
640,164.14999389648438,352.0827941894531,2.1448846011622895,8.725705023439891
641,165.4250030517578,352.2200012207031,2.1291823770467233,11.40819861742431
642,164.3300018310547,352.2300109863281,2.14343094420732,8.97657829796224
643,163.94000244140625,353.1099853515625,2.1538976460474766,7.234114813897227
644,165.1999969482422,364.7799987792969,2.20811141354672,-1.649403094159661
645,165.69000244140625,366.67999267578125,2.213048387185896,-2.4657429715897567
646,166.11000061035156,368.8699951171875,2.220636889782784,-3.726913573103511
647,166.02000427246094,366.54998779296875,2.2078663917597026,-1.6059344120704484
648,166.7949981689453,370.1600036621094,2.219251222912436,-3.5020404120688315
649,168.0,371.6000061035156,2.2119047982352122,-2.277164407402447
650,167.52000427246094,371.3800048828125,2.2169292944786814,-3.1186804687155902
651,166.8800048828125,362.4085998535156,2.1716717955995293,4.437356936217602
652,166.2899932861328,361.55999755859375,2.1742739320246565,3.9811403118616138
653,168.58999633789062,363.07000732421875,2.153567917497005,7.557619546146318
654,168.47000122070312,363.29998779296875,2.156466938686786,7.062268193148773
655,168.75999450683594,365.32000732421875,2.164731092767491,5.683572880505713
656,168.84249877929688,365.32000732421875,2.1636733047983863,5.866032235938908
657,168.39999389648438,364.9599914550781,2.1672209304201004,5.247442351877671
658,166.47000122070312,356.5899963378906,2.1420676021088605,9.34923160396203
659,165.3000030517578,355.92498779296875,2.1532061779909557,7.426772792392105
660,163.6300048828125,353.07501220703125,2.1577644788307273,6.583524010771603
661,164.3300018310547,354.9100036621094,2.1597395466896376,6.29658562218099
662,165.4600067138672,358.2300109863281,2.165054976734175,5.475599941380144
663,165.51499938964844,360.0,2.175029461544468,3.827228001313122
664,164.72000122070312,356.92999267578125,2.1668892061112968,5.139085727339696
665,164.67999267578125,357.25,2.1693588528592347,4.730598945021134
666,166.36000061035156,362.2349853515625,2.1774163502198425,3.4609746980545903
667,167.34500122070312,364.54998779296875,2.1784336857016817,3.3243149182497884
668,167.28500366210938,366.3345947265625,2.189883054111075,1.4070225425322658
669,168.33999633789062,368.6099853515625,2.1896756170274094,1.464763013269467
670,167.9550018310547,367.8999938964844,2.1904676245757395,1.3233337180359879
671,169.25,371.9100036621094,2.1974003170582534,0.17723056166930995
672,166.22000122070312,363.1099853515625,2.184514394687276,2.276364084757054
673,165.19000244140625,360.2900085449219,2.181064248562613,2.8184841482034155
674,165.52999877929688,363.1099853515625,2.1936204194364874,0.7504140102815793
675,166.0399932861328,364.6700134277344,2.1962781749774414,0.31824593718783056
676,166.05999755859375,365.1000061035156,2.198602983687816,-0.0675070095434851
