,wmt,pep,Ratio,Spread
614,148.60000610351562,169.3300018310547,1.1395019843612821,14.649459480118047
615,149.60000610351562,170.3800048828125,1.1389037294886082,14.845929691932746
616,150.46200561523438,169.92999267578125,1.129388060334188,16.370401243533983
617,151.38999938964844,170.3000030517578,1.1249091996720253,17.157110296126284
618,152.4199981689453,171.0800018310547,1.1224249041220054,17.660977456735303
619,152.88999938964844,172.3699951171875,1.127411837303323,16.95682812605539
620,152.53500366210938,172.2100067138672,1.1289868068272464,16.67432384631578
621,151.74000549316406,172.22999572753906,1.135033540876589,15.663390870464461
622,151.30999755859375,171.7100067138672,1.1348226124144485,15.647386490570419
623,149.6300048828125,172.08999633789062,1.1501035268472282,13.173330913187975
624,149.6300048828125,172.02999877929688,1.1497025540701389,13.233328471781725
625,148.88299560546875,171.02000427246094,1.1486872867983793,13.312195886768073
626,149.4250030517578,171.6999969482422,1.1490713966307817,13.307801001443345
627,149.52999877929688,171.1699981689453,1.1447201201518675,13.968674147907016
628,149.10000610351562,171.1699981689453,1.1480214028301727,13.432699774013678
629,149.24000549316406,171.5,1.149155680028808,13.277203439072245
630,150.52999877929688,170.75,1.134325392843118,15.63514558042484
631,149.6300048828125,171.8800048828125,1.1487001221274156,13.3833223682661
632,148.44000244140625,170.9499969482422,1.1516437222892213,12.83002407603751
633,147.3114013671875,170.72999572753906,1.1589734001781609,11.643254232487742
634,147.7899932861328,171.3699951171875,1.1595507334884438,11.599806873966507
635,147.75999450683594,171.0500030517578,1.1576205293094024,11.882406263062812
636,147.57000732421875,170.7100067138672,1.1568069271610775,11.985588657399653
637,149.69500732421875,169.60000610351562,1.1329703584314297,15.744344952842816
638,148.75999450683594,168.88499450683594,1.1352850278511888,15.293888071557227
639,148.8300018310547,169.3249969482422,1.1377074169524806,14.941147888043893
640,147.88999938964844,169.32000732421875,1.1449050512070684,13.774449601161557
641,147.0050048828125,169.52999877929688,1.1532260341370046,12.461336154903869
642,147.13999938964844,169.6300048828125,1.152847666076219,12.529597094888395
643,147.47999572753906,170.4499969482422,1.1557499449833109,12.133401374351955
644,147.64999389648438,171.5800018310547,1.16207252911468,11.215294663986064
