,hon,noc,Ratio,Spread
1734,208.89990234375,531.3099975585938,2.543371210793148,-24.76284851276132
1735,210.41000366210938,532.9500122070312,2.5329119477744912,-22.723508293968006
1736,209.88999938964844,530.030029296875,2.5252752910485525,-21.07051338494706
1737,208.464599609375,525.9650268554688,2.523042415072066,-20.478490905571913
1738,209.32000732421875,524.9349975585938,2.5078109076573574,-17.364264673820696
1739,210.02000427246094,526.3400268554688,2.506142349052821,-17.063754648764768
1740,207.77999877929688,528.5800170898438,2.543940803711812,-24.76150789128759
1741,206.61000061035156,524.27001953125,2.5374861719301647,-23.30220545177168
1742,206.30999755859375,528.2100219726562,2.560273511818739,-27.973163939139464
1743,205.89419555664062,529.4299926757812,2.5713691988472656,-30.206234293983652
1744,204.6699981689453,527.57373046875,2.577679851412629,-31.332723351458025
