,v,ma,Ratio,Spread
78,213.4844970703125,346.2796936035156,1.622036720959022,3.9940829611394726
79,210.1542205810547,344.7146301269531,1.6402936337602587,0.06929405326750149
80,212.01321411132812,354.02532958984375,1.6698267184607893,-6.176915089453271
81,211.53604125976562,356.6969299316406,1.6862229613799846,-9.635119343984595
82,211.91380310058594,355.68011474609375,1.6784188171889323,-7.995576060856276
83,214.42889404296875,362.7279052734375,1.6915999445520227,-10.897321041637294
84,216.50657653808594,364.14349365234375,1.6819050001850029,-8.887917460654105
85,215.17446899414062,363.2961120605469,1.688379266177902,-10.23647179190763
86,206.94326782226562,350.0777282714844,1.6916603857447083,-10.58695519028046
87,208.7127685546875,353.4870300292969,1.693653112251612,-11.079292591986384
88,199.91494750976562,343.0299072265625,1.715879235142264,-15.125091392634001
89,212.84825134277344,360.4351501464844,1.6933902339936784,-11.21020395242564
90,219.35968017578125,377.6409606933594,1.7215605000460492,-17.68213602996971
91,211.87403869628906,362.23944091796875,1.709692433990089,-14.62045255879249
92,210.28347778320312,357.9130859375,1.7020504402466619,-12.916085467154883
93,207.3309783935547,356.6669921875,1.720278344080721,-16.53709085039085
94,213.25584411621094,367.3633117675781,1.7226412401030773,-17.466462154583464
95,204.03053283691406,352.2608947753906,1.7265106838541673,-17.571670501361464
96,201.6248016357422,346.030517578125,1.716210083138819,-15.307062877181718
97,191.8626708984375,326.96051025390625,1.7041382188773073,-12.329610293754765
98,192.43923950195312,324.3088684082031,1.6852533259201101,-8.727513873781188
99,195.5607452392578,324.84716796875,1.6611062080547778,-4.1201128385234504
100,193.1952362060547,320.2317199707031,1.6575549493837216,-3.4041294789894003
101,198.4342041015625,331.7554016113281,1.6718660127844152,-6.291543084242075
102,197.0198974609375,328.695068359375,1.668334379397108,-5.562648290447466
103,203.18516540527344,337.7964172363281,1.662505314118572,-4.5007536547176095
104,199.19119262695312,334.845703125,1.6810266493664794,-8.133973655513184
105,196.58164978027344,331.1772766113281,1.6846805232405833,-8.767293578012211
106,198.2350311279297,335.12481689453125,1.6905428621153273,-9.989288530943636
107,206.73094177246094,347.33636474609375,1.680137292309105,-8.195604246294945
108,201.8206329345703,339.62066650390625,1.6827846665906074,-8.574390281600895
109,203.02581787109375,343.67791748046875,1.6927793769493817,-10.644933121827219
110,207.7169952392578,348.79180908203125,1.6791683736820722,-8.02557154051058
111,212.02969360351562,356.65704345703125,1.682108941420069,-8.781463050214793
112,211.32252502441406,356.7467346191406,1.688162369713904,-10.036898595020457
113,209.09146118164062,355.9393005371094,1.7023138990257474,-12.907300631576756
114,214.19102478027344,361.94036865234375,1.6898017506739047,-10.501904156908918
115,211.8006134033203,356.6969299316406,1.684116604763567,-9.198980777762326
116,212.08944702148438,359.0096435546875,1.6927275194334412,-11.035561583459778
117,213.64321899414062,362.87744140625,1.6985207539688039,-12.342016916925413
118,212.64723205566406,361.1927490234375,1.6985537292528177,-12.299176580541566
119,205.2867431640625,347.9045715332031,1.6947249791729722,-11.1445254273855
120,198.7130889892578,333.6993103027344,1.679302113414249,-7.775719116622749
121,191.49205017089844,318.7364196777344,1.66448904481035,-4.716475922379711
122,192.74703979492188,321.12890625,1.6660640111084106,-5.040152952221742
123,195.37648010253906,324.36871337890625,1.660223959448284,-3.945413328309453
124,188.2948760986328,307.8108215332031,1.6347275502704883,0.9386848393409399
125,189.25103759765625,309.7148132324219,1.6365290101651602,0.6108942460213915
126,193.61355590820312,316.4037780761719,1.634202608345185,1.1133988272716555
127,193.04583740234375,315.1576843261719,1.6325536389024753,1.423627100896656
128,195.8545684814453,315.76580810546875,1.612246324166717,5.445605074886178
129,204.68911743164062,329.4626770019531,1.6095759322035414,6.312202538049778
130,202.74691772460938,327.7978820800781,1.6167835534019075,4.775344465920771
131,197.3286590576172,317.2909851074219,1.6079315930220626,6.350418402736896
132,198.70314025878906,321.5774841308594,1.6183814896535602,4.329706896928403
133,196.1035614013672,314.4898376464844,1.6036926377018457,7.1320322570734085
134,198.38441467285156,317.2411193847656,1.5991231967890032,8.140662889850066
135,199.73898315429688,318.2579345703125,1.593369153804396,9.356809751667502
136,200.31666564941406,319.16510009765625,1.5933027791918513,9.401935012639601
137,201.98997497558594,323.5480041503906,1.6018022884031602,7.777426914058683
138,202.75689697265625,322.53961181640625,1.5907701125446987,10.050065195150612
139,204.2409210205078,323.6678161621094,1.5847353926180636,11.368226183958118
140,204.00189208984375,322.3399353027344,1.5800830668804473,12.302075632071112
141,203.33456420898438,322.84912109375,1.5877729511935328,10.692821552505652
142,205.08753967285156,324.5064697265625,1.582282718122241,11.925195908522571
143,209.20103454589844,332.0343322753906,1.587154351297162,11.178295754257736
144,206.38235473632812,330.4768371582031,1.6012843616423351,8.089288959835049
145,212.80657958984375,339.83172607421875,1.5969042250911556,9.324525591646168
146,212.5177459716797,340.72027587890625,1.6032556449394628,7.9598429696092445
147,215.32647705078125,346.3612060546875,1.6085397894333442,6.949014547114334
148,212.84642028808594,343.32611083984375,1.613022715510811,5.895816920167679
149,213.41415405273438,343.6555480957031,1.610275333522566,6.502270294300363
