,amzn,mcd,Ratio,Spread
80,155.54100036621094,247.19189453125,1.5892394542227009,64.08169188041725
81,151.7064971923828,246.38539123535156,1.6240925457721436,57.16481075279049
82,152.78500366210938,246.92633056640625,1.6161686333594263,58.79617893886362
83,158.11549377441406,251.1948699951172,1.588679666987607,65.26421278622283
84,153.9980010986328,251.63748168945312,1.6340308308825648,56.52822451753397
85,148.29600524902344,251.04736328125,1.6928801477806712,45.63348975663328
86,144.35000610351562,246.05099487304688,1.7045444022814928,42.681900644896956
87,146.07400512695312,248.71636962890625,1.702673719480386,43.48897240953343
88,139.39100646972656,244.48716735839844,1.7539665832852498,34.257404042541935
89,138.16700744628906,243.0708770751953,1.7592541198352762,33.20833843386569
90,144.59649658203125,250.00482177734375,1.7289825665693992,39.22455024251266
