,cat,lmt,Ratio,Spread
80,214.29183959960938,460.3325500488281,2.1481571622555955,-12.724511613165003
81,223.65797424316406,458.8314514160156,2.051487110927544,8.432084217269807
82,225.72950744628906,458.6156311035156,2.031704389434511,12.995163737368745
83,227.92868041992188,451.21795654296875,1.9796453685059394,25.0079586079864
84,230.79547119140625,445.3017578125,1.9294215588970403,36.94032090213576
85,228.3312225341797,431.2423095703125,1.8886699102474185,45.82836872999197
86,213.3761444091797,437.37432861328125,2.0497808216768254,8.312058582641004
87,213.77073669433594,434.5290832519531,2.032687401331608,11.985383813654682
88,207.45726013183594,437.66864013671875,2.1096810006002538,-4.403450986079672
89,211.06777954101562,436.5796203613281,2.0684332838991657,4.26249959693367
90,209.56832885742188,433.371337890625,2.0679238139340494,4.324078562831706
91,207.69400024414062,423.9623718261719,2.0412836737113813,9.799633224628469
92,209.20333862304688,422.6770935058594,2.020412753868428,14.252365078963255
93,210.73236083984375,426.5623474121094,2.0241900470915146,13.575872635269679
94,219.58111572265625,437.32525634765625,1.9916341845171401,21.382702809896234
95,213.01113891601562,434.78411865234375,2.0411332518332155,10.13627865329433
96,211.74844360351562,440.9455871582031,2.082402966719526,1.3249545644412324
97,203.50144958496094,430.5555114746094,2.1157368281784863,-5.591871050042964
98,200.24606323242188,430.8400573730469,2.1515531961943184,-12.708075873386218
99,202.43605041503906,432.09588623046875,2.134480915551236,-9.368061454053286
100,200.2855224609375,426.3857421875,2.128889482117509,-8.170952700870753
101,201.5679473876953,426.954833984375,2.1181682877544565,-6.048784921267763
102,204.38929748535156,429.28985595703125,2.100353889556268,-2.4630038040223026
103,210.20953369140625,432.6747741699219,2.058302335635743,6.366256060948861
104,205.12916564941406,426.1306457519531,2.077377170637219,2.2488721675412267
105,203.96510314941406,417.5851135253906,2.047336074051304,8.351536756881348
106,195.1459503173828,416.142822265625,2.132469680199952,-8.713789092475036
107,201.390380859375,424.8551940917969,2.109610162505531,-4.321780970048148
108,202.87010192871094,434.421142578125,2.1413758777071137,-10.782429945055451
109,206.4806365966797,439.09130859375,2.1265495681875035,-7.8756331314076915
110,210.1108856201172,439.5327453613281,2.091908489482112,-0.6987350978787772
111,214.2047882080078,442.05426025390625,2.0636992475847022,5.371094668355643
112,212.93223571777344,434.5017395019531,2.040563459249328,10.253073851397875
113,214.6289825439453,433.7020568847656,2.020705925845616,14.61349990823324
