,ups,unp,Ratio,Spread
138,201.4398956298828,242.5399932861328,1.2040315674694628,-2.459024444115192
139,204.2100067138672,245.1300048828125,1.2003819441927797,-1.7310790504808489
140,199.63999938964844,242.72999572753906,1.2158384916330796,-4.804889279146385
141,199.36000061035156,244.16549682617188,1.2247466697363856,-6.575764620501337
142,199.59539794921875,243.34500122070312,1.219191442893965,-5.4733170563146185
143,199.25,243.02999877929688,1.219723958741766,-5.572022045876116
144,201.7042999267578,244.36160278320312,1.2114843504671684,-3.963938307513052
145,201.69500732421875,244.3800048828125,1.2116314038947869,-3.993470811145192
146,201.85000610351562,244.0500030517578,1.209066116780797,-3.477816034173804
147,202.89999389648438,246.85000610351562,1.2166092337560823,-5.020174813986364
148,202.97000122070312,246.82000732421875,1.2160418083450397,-4.9063233357462135
149,202.64999389648438,247.60000610351562,1.2218110711120582,-6.06961740759724
150,202.7100067138672,247.0800018310547,1.2188840888344374,-5.4777315603882695
151,201.66409301757812,246.71499633789062,1.2233957599798673,-6.365490506863926
152,198.5,243.6699981689453,1.2275566658385155,-7.110349216357184
153,198.9199981689453,244.8699951171875,1.2309973726684647,-7.807284800516163
154,199.72999572753906,247.24000549316406,1.2378711800026052,-9.20710409743757
155,198.51950073242188,246.8350067138672,1.2433791431229129,-10.252000361704182
156,197.60000610351562,245.19000244140625,1.240840054999593,-9.708339515207063
157,194.53500366210938,242.84500122070312,1.2483357578284682,-11.03450741641729
158,194.8300018310547,243.52000427246094,1.2499101882862342,-11.356170400897332
159,195.50999450683594,244.8300018310547,1.2522633558894314,-11.851692877601755
160,194.8300018310547,244.57000732421875,1.2552995176599944,-12.406173452655144
161,194.07000732421875,241.24000549316406,1.2430566104433736,-9.98647052662833
162,195.00999450683594,243.00999450683594,1.2461412304604593,-10.63057074060473
163,195.08999633789062,243.52499389648438,1.2482700213634002,-11.049746307114651
164,195.0449981689453,243.74000549316406,1.249660374689741,-11.318655377461232
165,194.52000427246094,242.88999938964844,1.2486633459530283,-11.097471409918233
166,196.9199981689453,243.97999572753906,1.238980286391325,-9.312826159754684
167,198.25,246.07000732421875,1.2412106296303593,-9.809800965241498
168,198.63999938964844,244.83999633789062,1.2325815399224662,-8.112660263941427
169,198.26480102539062,243.85000610351562,1.2299208172220502,-7.572071514814075
170,200.5050048828125,244.35000610351562,1.2186728518139927,-5.388821701680149
171,201.4600067138672,244.14999389648438,1.2119030366322265,-4.044936593872313
172,202.38409423828125,244.3000030517578,1.2071106870885118,-3.0881010890097738
173,201.4600067138672,243.2899932861328,1.207634196258499,-3.1849359835207505
174,202.2100067138672,244.5399932861328,1.2093367546946563,-3.5366082026881482
175,227.39999389648438,245.10000610351562,1.0778364673795398,26.075199359879004
176,232.96499633789062,244.4550018310547,1.0493207377665401,33.385798690362
177,230.1750030517578,244.63499450683594,1.0628217280910675,29.864034711554634
178,229.74009704589844,244.60000610351562,1.0646813910531623,29.378105585389076
179,229.4600067138672,245.44000244140625,1.0696417469710346,28.20262534562337
180,231.10499572753906,246.30999755859375,1.06579261423228,29.302949335297026
181,230.49000549316406,246.69000244140625,1.0702850299889584,28.18632736917814
