,intc,adbe,Ratio,Spread
91,47.665000915527344,450.010009765625,9.441099362677864,52.90459855689991
92,47.830299377441406,452.0899963378906,9.451958323955495,52.60605438469574
93,47.63999938964844,450.8900146484375,9.464526037471154,51.75514907217652
94,46.369998931884766,438.19000244140625,9.449860093485999,50.768205953913395
95,46.25,434.4800109863281,9.394162399704392,53.18495376506249
96,46.459999084472656,436.64300537109375,9.398256865593089,53.28514603504121
97,46.380001068115234,436.9493103027344,9.421071587752142,52.1166923779393
98,46.62900161743164,438.0050048828125,9.393403025791358,53.744508164832695
99,46.57500076293945,437.75,9.398818955003117,53.41753901886116
100,46.650001525878906,438.95001220703125,9.409431893877333,53.025819506088425
101,46.54499816894531,427.1199951171875,9.176496120310533,63.724202157085784
102,46.369998931884766,425.1099853515625,9.167780788091628,63.848223043757145
103,46.41999816894531,422.0799865722656,9.092632555393648,67.41706991540158
104,46.505001068115234,424.55499267578125,9.129233048590654,65.8581507914985
105,46.44499969482422,423.8800048828125,9.12649386732689,65.8864962067656
106,46.150001525878906,420.2099914550781,9.105308289522867,66.3772771116173
107,45.83000183105469,416.260009765625,9.082696773613582,66.87858167627692
108,45.349998474121094,419.19000244140625,9.24344027664337,58.77553220183111
109,45.06999969482422,414.3999938964844,9.194586126080528,60.547958540427175
110,44.810001373291016,412.7900085449219,9.212006156977385,59.355909144897765
111,44.45500183105469,410.2099914550781,9.227532888515595,58.11005133415719
112,44.34159851074219,408.3999938964844,9.210312835193468,58.69788698771478
113,44.415000915527344,411.4200134277344,9.263086906385794,56.46893444303319
114,44.400001525878906,411.5,9.268017699507372,56.22729755421071
115,44.597198486328125,416.7200012207031,9.344084726498107,53.132512880834696
116,44.560001373291016,418.1499938964844,9.383976234505255,51.301642220123114
117,44.720001220703125,420.385009765625,9.40038010488711,50.79096491337927
118,44.30500030517578,417.4599914550781,9.422412562455388,49.24346594564028
119,44.23500061035156,414.0199890136719,9.359556534442227,51.929072835465064
120,44.7400016784668,420.5199890136719,9.399194752736602,50.8715331245663
121,44.79999923706055,421.55999755859375,9.40982153432406,50.4781258458718
122,45.875,438.07000732421875,9.5492099689203,45.55353506735369
123,46.29499816894531,436.4200134277344,9.42693661710705,51.729902273326815
124,46.32780075073242,436.3500061035156,9.418750707621646,52.1534271641967
125,45.959999084472656,435.2200012207031,9.469538944524041,49.319587039007644
126,45.46500015258789,426.9750061035156,9.39129010602702,52.22991615244794
127,46.349998474121094,441.7900085449219,9.531607833635409,46.95265239116392
128,46.61000061035156,442.3599853515625,9.490666800234267,49.184751443089425
129,46.564998626708984,441.6400146484375,9.48437727205514,49.41973008506963
130,46.525001525878906,439.6600036621094,9.44997290150661,50.968687264404224
131,46.80500030517578,437.94000244140625,9.356692652194642,55.70627069143316
132,47.02000045776367,440.8800048828125,9.37643557189751,55.0833520474483
133,46.92499923706055,440.0,9.37666504323554,54.93951677676844
134,46.959999084472656,441.010009765625,9.391184377417186,54.306704786934205
135,47.130001068115234,444.2699890136719,9.426479502336209,52.87885838663814
136,47.125,442.2799987792969,9.385251963486406,54.8149514783361
137,47.1150016784668,450.7300109863281,9.566592272718257,46.257186097425034
138,47.269901275634766,446.6000061035156,9.447872621932369,52.05656350162806
139,47.4900016784668,447.05999755859375,9.413770936152702,53.96862188497752
140,47.45500183105469,446.80499267578125,9.415340331593683,53.84642899199932
141,47.5099983215332,446.0,9.387497700623094,55.244125791331015
142,47.45000076293945,453.3299865722656,9.553845717244675,47.2675379528379
143,47.209999084472656,447.8500061035156,9.486337953580119,50.160990022255675
144,47.809898376464844,456.9200134277344,9.557017039230107,47.55617313082709
145,47.79999923706055,455.5733947753906,9.53082431060319,48.796107507620235
146,47.314998626708984,447.05950927734375,9.448579145154657,52.08308017579972
147,47.345001220703125,454.0849914550781,9.590980668440977,45.380939742653226
148,47.20500183105469,451.8900146484375,9.572926535745905,46.06712544613097
149,47.400001525878906,453.5899963378906,9.56940889738674,46.468680094865334
150,47.95500183105469,460.44000244140625,9.601501091868057,45.59998237279851
151,47.994998931884766,470.9750061035156,9.813001699863158,35.496032517682664
152,47.875,467.1400146484375,9.757493778557441,38.03778032883176
