,goog,nvda,Ratio,Spread
159,137.83599853515625,265.57000732421875,1.9267100768053917,-49.00668267837027
160,137.48800659179688,265.1099853515625,1.9282408111325406,-49.097409726517284
161,135.083251953125,242.44000244140625,1.7947450845019257,-30.23330878516551
162,135.22555541992188,249.2899932861328,1.8435124375122853,-36.85808322333189
163,134.6439971923828,246.40089416503906,1.830017671066131,-34.889386515194175
164,134.20074462890625,245.23500061035156,1.8273743658314174,-34.42500608447908
165,133.906005859375,245.25999450683594,1.831583228346026,-34.916467931758675
166,133.14700317382812,245.22500610351562,1.8417613634410208,-36.082714194438395
167,132.30850219726562,245.11849975585938,1.8526284833184754,-37.30326038520106
168,132.9969940185547,235.6999969482422,1.7722204827829355,-26.7951168441074
169,132.04092407226562,234.89199829101562,1.7789333113305077,-27.50024111051808
170,131.3280029296875,236.7799072265625,1.8029658712874324,-30.516453814808745
171,130.65499877929688,233.27099609375,1.7853966420970437,-28.07267187218959
172,131.5364990234375,239.10000610351562,1.8177464648873785,-32.50657660563296
173,130.79949951171875,236.86000061035156,1.8108632027994152,-31.432982482494243
174,130.50999450683594,236.38999938964844,1.8112789007685282,-31.421166001407915
175,131.85670471191406,240.4250030517578,1.8233809465893163,-33.324800415159146
176,129.68699645996094,232.8000030517578,1.795091330715116,-29.13368650934932
177,129.6407470703125,232.17999267578125,1.7909492032613414,-28.58687267297002
178,129.05551147460938,232.18499755859375,1.7991095064876348,-29.51809995093682
179,128.6638946533203,233.1898956298828,1.8123957483037771,-31.142789902385307
180,130.125,236.82290649414062,1.819964699282541,-32.4633841882419
181,129.4114990234375,234.0500030517578,1.8085719183993798,-30.81970218814452
182,129.58499145507812,232.77000427246094,1.7962728681673978,-29.265125825469017
183,128.82699584960938,231.30999755859375,1.79550874436769,-29.004759923555856
184,129.75698852539062,234.55430603027344,1.8076429539236436,-30.777216631668143
185,128.3943634033203,227.69000244140625,1.7733644718200934,-26.069470014946592
186,128.1894989013672,227.0,1.7708158776301992,-25.70369612538217
187,128.37850952148438,224.78990173339844,1.750993235326349,-23.19446043351137
188,127.58499908447266,223.85000610351562,1.754516657207537,-23.51041312000773
189,127.489501953125,221.6999053955078,1.7389659697393895,-21.511450829376816
190,128.31350708007812,224.04989624023438,1.7461131048378946,-22.55733097422534
191,128.1435089111328,222.56080627441406,1.7368090523317836,-21.337288401230115
192,128.5,223.39999389648438,1.738521353280034,-21.612275840321093
193,129.6855010986328,228.3101043701172,1.7604905902046448,-24.64615445947398
194,131.43576049804688,234.02639770507812,1.7805382402649523,-27.592401910402646
195,132.75799560546875,237.50999450683594,1.7890447458446872,-28.98336494698079
196,133.86880493164062,238.34010314941406,1.7804006188829513,-28.055452576823814
197,134.75,241.35000610351562,1.791094664961155,-29.670733240677652
198,134.64999389648438,240.6013946533203,1.7868652473782418,-29.080396327110623
199,133.88973999023438,239.30499267578125,1.787328832614326,-28.987209258477225
200,134.20700073242188,238.14999389648438,1.774497549284341,-27.33009815608374
201,134.12249755859375,240.00999450683594,1.7894834861838402,-29.323837610476705
202,134.51950073242188,241.60000610351562,1.796022173648205,-30.28553262278125
203,133.64849853515625,242.11500549316406,1.8115804378414,-32.17902256778761
204,135.43699645996094,245.00999450683594,1.8090329888500438,-32.243447542286745
205,134.29299926757812,241.92999267578125,1.8015085968385958,-30.973991459573927
206,133.75601196289062,240.44000244140625,1.7976014603972652,-30.333863521967704
207,133.0,238.05650329589844,1.7898985210217928,-29.146865778929385
208,133.9344940185547,240.3592987060547,1.7946034027108535,-29.970685380918685
209,134.91500854492188,243.88999938964844,1.8077306744448804,-31.949575956304177
210,135.45199584960938,242.02499389648438,1.7867953320171202,-29.234708166371338
211,135.1739959716797,238.2987060546875,1.762903466319169,-25.948396489180926
212,134.49349975585938,235.11000061035156,1.7481142288447937,-23.836677543168395
213,133.44850158691406,231.86000061035156,1.737449262098629,-22.240542608927957
214,134.00450134277344,233.26499938964844,1.740725102905119,-22.765589059011905
215,133.99497985839844,233.2924041748047,1.7410533172312914,-22.808063009693957
216,134.17300415039062,234.8800048828125,1.7505757314604236,-24.113913791116136
217,134.54100036621094,238.41000366210938,1.7720249070036231,-27.061503812423314
218,135.15699768066406,239.6999969482422,1.7734930566790352,-27.37658970708775
219,134.41049194335938,240.5063934326172,1.7893424088795586,-29.364442577710168
220,135.09649658203125,242.4803924560547,1.794868102362813,-30.252737204178704
221,134.95950317382812,242.4499969482422,1.7964648005258739,-30.439154145229327
222,135.17149353027344,242.8300018310547,1.7964586725282405,-30.483652751359376
223,134.71249389648438,242.13999938964844,1.7974576253908074,-30.520085515372006
224,134.79449462890625,238.15499877929688,1.7668006355522572,-26.405306546790303
225,134.60400390625,237.88999938964844,1.767332267139214,-26.44178706487263
226,133.99649047851562,237.5800018310547,1.7730315248006228,-27.093269884874946
227,135.3574981689453,240.8300018310547,1.7792143404605836,-28.189272738924405
228,135.36000061035156,238.4550018310547,1.761635643881779,-25.810312253113143
229,134.53500366210938,236.86590576171875,1.7606265976445652,-25.526896588397495
230,134.32199096679688,237.14999389648438,1.765533641882256,-26.148109003195305
231,131.12750244140625,231.3300018310547,1.764160816945503,-25.383870270276777
232,131.0865020751953,228.7700958251953,1.7451842272361928,-22.888853443532458
233,132.2584991455078,229.9575958251953,1.7386980595644077,-22.221493722851154
234,132.26126098632812,228.80999755859375,1.7299849997819534,-21.06952443227495
235,131.69969177246094,226.4302978515625,1.7192925420263603,-19.57859155031706
236,131.70999145507812,226.60499572753906,1.720484476721164,-19.73698864627774
237,132.10150146484375,229.36000061035156,1.7362406790765454,-21.8723706940569
238,128.36700439453125,219.01010131835938,1.7061245789084547,-17.43286859348264
239,128.9842529296875,220.66000366210938,1.7107514960170882,-18.105883302858604
240,128.55319213867188,218.8000030517578,1.7020192140832693,-16.92810052280139
241,127.85050201416016,218.59500122070312,1.7097703785042042,-17.83521035234138
242,128.0229949951172,218.63999938964844,1.7078181884276913,-17.60721271730218
243,127.1300048828125,215.75,1.69708166218413,-16.130503029682604
244,126.4645004272461,213.3800048828125,1.6872719550698587,-14.813767719906526
245,126.5,209.47999572753906,1.6559683456722456,-10.857575209511669
