,aapl,tsla,Ratio,Spread
1356,148.99000549316406,225.64999389648438,1.514531079783319,13.26888670593701
1357,148.86000061035156,224.0699005126953,1.5052391481524268,14.63909685490285
1358,148.52999877929688,222.13360595703125,1.4955470799343584,16.042627945834315
1359,148.80999755859375,221.89500427246094,1.4911296815598027,16.733266879114243
1360,151.72000122070312,226.375,1.492057725933565,16.95125609443159
1361,145.9600067138672,216.71859741210938,1.484780675825494,17.3085750363465
1362,145.0,214.86000061035156,1.481793107657597,17.617312246683756
1363,140.97999572753906,218.87109375,1.5524975200949427,7.116220558871992
1364,139.75,216.60000610351562,1.5499105982362478,7.401571388940288
1365,140.22279357910156,215.5500030517578,1.537196610836049,9.214864585181378
1366,140.05499267578125,215.44920349121094,1.538318623099447,9.044762040874847
1367,140.0850067138672,216.24960327148438,1.5437027012690114,8.292817697561194
1368,139.77000427246094,216.57000732421875,1.5494741411186306,7.463865581482854
1369,138.8800048828125,215.38499450683594,1.550871161680752,7.2120404367137825
1370,139.75,221.89939880371094,1.5878311184523144,2.102178688744975
1371,136.55020141601562,218.8300018310547,1.602560813252588,0.005738324676006767
1372,136.30569458007812,210.86929321289062,1.5470321607803934,7.5717088026044665
1373,134.85989379882812,204.8300018310547,1.518835556378249,11.276862125054269
1374,135.3699951171875,205.76499938964844,1.520019256937412,11.16538528713426
1375,137.27999877929688,206.7100067138672,1.5057547243003109,13.303937122042473
1376,138.39999389648438,207.47999572753906,1.4991329832190798,14.342097103209145
1377,136.69000244140625,200.32290649414062,1.4655271264627519,18.738532041572487
1378,137.63650512695312,199.83999633789062,1.4519403566195048,20.749500537738502
1379,137.32080078125,199.239501953125,1.4509054769532737,20.840313686765572
1380,137.09339904785156,199.02000427246094,1.4517110645348745,20.69268814576643
1381,138.22500610351562,199.45970153808594,1.4430073628552573,22.07988648785562
1382,138.76499938964844,198.72500610351562,1.432097481191933,23.68636100659953
1383,138.9600067138672,197.05999755859375,1.4181058436788965,25.66619440375624
1384,138.44000244140625,188.98959350585938,1.3651371725874382,32.89709015138022
1385,140.2678985595703,193.2205047607422,1.3775105119913338,31.617181519640358
1386,140.80999755859375,194.25999450683594,1.37958950269849,31.45287037490397
1387,139.63999938964844,192.3000030517578,1.3771126030670342,31.523986619120567
1388,137.68089294433594,189.3498992919922,1.3752808777071623,31.31125842050321
1389,139.9145050048828,191.91000366210938,1.371623361390672,32.3571549517819
1390,139.50999450683594,191.27999877929688,1.3710845553070696,32.334107656758285
1391,137.1697998046875,190.96229553222656,1.3921599054903688,28.87374023773319
1392,136.9550018310547,187.60650634765625,1.369840486578828,31.882754035377875
1393,136.24899291992188,185.64999389648438,1.36257883392648,32.69946749687421
1394,135.91000366210938,180.2449951171875,1.32620844868271,37.55719327795129
1395,135.3800048828125,181.5500030517578,1.341040009630011,35.39654164873898
1396,135.09500122070312,180.02999877929688,1.3326177664056125,36.45642866063324
1397,134.8699951171875,177.60000610351562,1.3168237008476225,38.52316568140237
1398,143.4499969482422,188.49000549316406,1.313977061715607,41.48494247225418
1399,143.08999633789062,189.0,1.320847053162949,40.39375369790836
1400,143.22999572753906,190.26499938964844,1.3283879429249041,39.35477293261474
1401,143.6199951171875,188.0800018310547,1.3095669699583947,42.16939556149567
1402,144.1820068359375,186.9600067138672,1.296694440705116,44.196716888191254
1403,145.16000366210938,188.28500366210938,1.2970859666026364,44.45062323252646
1404,146.8300018310547,190.61050415039062,1.2981713667054953,44.82121084697145
1405,147.60000610351562,192.44749450683594,1.303844759815712,44.22733524156886
1406,146.6999969482422,188.28160095214844,1.2834465226238336,46.94023081039041
1407,148.20570373535156,191.72999572753906,1.2936748781943515,45.92268789484553
1408,149.1999969482422,195.35000610351562,1.3093164215766235,43.907890118346735
1409,149.61000061035156,196.44000244140625,1.3130138469354067,43.47981426398898
1410,149.30169677734375,194.91900634765625,1.3055377839298263,44.503076700508565
1411,149.6649932861328,195.8800048828125,1.3087897215103923,44.128593416280246
1412,148.125,190.42410278320312,1.2855635630933544,47.09829064798664
1413,147.63999938964844,189.1199951171875,1.2809536433149522,47.619400823526185
1414,148.96009826660156,193.67739868164062,1.3001965018511616,45.193198923098414
1415,149.71499633789062,195.47000122070312,1.30561404002274,44.6193232944126
1416,150.0,194.0522003173828,1.2936813354492187,46.49724145829959
1417,149.32000732421875,192.6999969482422,1.2905169267091743,46.7516471189118
1418,148.3699951171875,190.9499969482422,1.2869852613894313,46.96792291702287
1419,153.1699981689453,200.08999633789062,1.3063262958140989,45.57717221611211
1420,152.15499877929688,198.40040588378906,1.303936166905511,45.628121485095626
1421,151.97000122070312,197.85000610351562,1.3019017208283221,45.87985643684832
