,amzn,nke,Ratio,Spread
597,106.8010025024414,108.86000061035156,1.0192788275359408,-8.514231635555484
598,105.53575134277344,108.93840026855469,1.0322416705475443,-9.792644503087184
599,105.74525451660156,109.0199966430664,1.0309682183038362,-9.675539952435566
600,105.55000305175781,108.45999908447266,1.0275698337146224,-9.30072644616447
601,105.37199401855469,107.93000030517578,1.024275959759959,-8.939558329136753
602,107.19999694824219,108.2699966430664,1.0099813407209408,-7.545805880824341
603,109.6810073852539,109.26000213623047,0.9961615483021171,-6.18272497359545
604,107.85350036621094,108.0999984741211,1.0022854901053113,-6.75599975682473
605,106.20050048828125,107.41500091552734,1.0114359199971954,-7.638771311404279
606,105.51600646972656,106.37999725341797,1.0081882437802392,-7.252968290365709
607,105.81949615478516,106.81999969482422,1.0094548129257352,-7.405129358790456
608,106.90049743652344,107.9800033569336,1.0100982310306943,-7.53986953271818
609,110.9780044555664,111.94400024414062,1.0087043896068701,-7.636600820844018
610,111.45024108886719,112.16500091552734,1.0064132640690318,-7.409713977123852
611,111.79524993896484,112.06500244140625,1.0024129155987278,-6.982495745653475
612,111.59849548339844,112.08999633789062,1.00440418889487,-7.194099189080214
613,110.63800048828125,111.58999633789062,1.008604600999728,-7.605069847219804
614,113.0634994506836,112.83999633789062,0.9980232071899521,-6.554632679583159
615,113.11199951171875,113.01000213623047,0.9990982621125205,-6.678639141387558
616,112.88850402832031,113.16999816894531,1.0024935589593285,-7.0506069476542965
617,110.9280014038086,112.30000305175781,1.012368397794843,-8.04002845961636
618,111.14300537109375,112.06999969482422,1.0083405547711737,-7.606107011931565
619,111.20024108886719,112.75669860839844,1.0139968897934977,-8.238521353744114
620,112.12699890136719,113.19999694824219,1.0095694886814803,-7.802846686252076
621,111.20875549316406,112.44999694824219,1.0111613644948525,-7.92374430274729
622,110.8499984741211,112.69999694824219,1.0166892061306882,-8.514003356059584
623,112.13749694824219,113.73500061035156,1.0142459365117336,-8.327893594063392
624,112.33174896240234,114.21040344238281,1.0167241630022983,-8.619060291514026
625,112.61395263671875,114.38999938964844,1.0157711074990772,-8.531003342899576
626,113.32149505615234,114.8949966430664,1.0138852879247169,-8.364939959073462
627,112.4625015258789,114.66000366210938,1.0195398653454708,-8.944649715339304
628,114.94825744628906,115.66000366210938,1.0061918834755097,-7.587062514674978
629,115.3800048828125,115.9000015258789,1.0045068176552303,-7.417574385910166
