,wfc,cb,Ratio,Spread
1142,44.70970153808594,194.74000549316406,4.355654338852495,6.227668640603083
1143,44.45000076293945,197.2550048828125,4.43768282333249,2.5186217302583724
1144,44.3849983215332,195.6300048828125,4.407570401729708,3.8447546823777667
1145,43.904998779296875,195.25,4.4471018204894905,2.0178263628563524
1146,43.44499969482422,194.5050048828125,4.477040079389957,0.6478460202004168
1147,43.625,195.3699951171875,4.478395303545845,0.6104579290938954
1148,43.564998626708984,195.52999877929688,4.488236082702884,0.1745810395130274
1149,43.65999984741211,196.0800018310547,4.491067396159807,0.06137287979858108
1150,44.393798828125,195.77999877929688,4.4100753696992365,3.73522359572088
1151,44.084999084472656,194.25,4.406260724374553,3.845428506124831
1152,44.0,192.8699951171875,4.383408979936079,4.834626137712219
1153,43.904998779296875,192.0399932861328,4.373989263762104,5.22783307672354
1154,43.58000183105469,191.8300018310547,4.401789668910902,3.94355944898261
1155,43.56999969482422,192.27999877929688,4.413128302182161,3.4475748599221685
1156,43.630001068115234,192.02000427246094,4.401100150620647,3.983442594229599
1157,44.244998931884766,193.25,4.36772527212643,5.581072906902802
1158,44.2599983215332,193.82000732421875,4.379123693502767,5.0800295047654185
1159,44.185001373291016,193.67999267578125,4.383387725610824,4.87522454279606
1160,44.369998931884766,195.64500427246094,4.409398444494176,3.760791370647963
1161,44.665000915527344,196.39999389648438,4.397178772433605,4.362156524426849
1162,44.775001525878906,197.30999755859375,4.406699962802976,3.9579116764422064
1163,44.849998474121094,197.85000610351562,4.411371523628414,3.76272274192719
1164,45.165000915527344,201.02000427246094,4.450791546499271,2.041037093274708
1165,45.084999084472656,202.05999755859375,4.4817567186817024,0.6332128371798955
1166,45.268798828125,202.88999938964844,4.48189491751204,0.6482821388120623
1167,45.099998474121094,203.0800018310547,4.502882676317259,-0.31782751319967595
1168,45.44499969482422,203.7631072998047,4.483729973993409,0.5853073825059152
1169,45.40999984741211,204.3350067138672,4.499779947158756,-0.147513696128458
1170,45.22999954223633,203.44000244140625,4.497899723643187,-0.08011156693599908
1171,45.255001068115234,199.86000061035156,4.416307499574108,3.6148418270183083
1172,45.29999923706055,198.97999572753906,4.392494460899479,4.701738476074935
1173,45.369998931884766,199.07130432128906,4.387729975928814,4.932273211468653
1174,45.33000183105469,199.4199981689453,4.399293847641688,4.399681417977417
1175,45.435001373291016,200.2899932861328,4.408275277479651,4.012451294505537
1176,45.5,200.67999267578125,4.4105492895776095,3.9213014135917046
1177,45.400001525878906,201.30999755859375,4.4341407663575305,2.831525357472726
1178,46.09000015258789,207.25999450683594,4.496853847269917,0.05399159899566364
1179,46.12220001220703,206.1750030517578,4.4701901253017,1.2870309854799142
1180,45.85499954223633,207.1300048828125,4.517064811919326,-0.8965003273117294
1181,45.7599983215332,205.97999572753906,4.501311260551586,-0.18328606408165804
