,ge,ba,Ratio,Spread
78,89.36571502685547,175.02999877929688,1.9585810814214184,6.914950289222875
79,89.69459533691406,176.27999877929688,1.9653357943937158,6.34211463112928
80,90.44204711914062,182.8699951171875,2.0219577170371896,1.291121020790345
81,90.52178192138672,181.94000244140625,2.0099030153804454,2.38528760190633
82,90.0932388305664,179.85000610351562,1.9962652962421523,3.5929139979108724
83,91.58815002441406,185.97999572753906,2.0306119915945846,0.5409455379091552
84,91.08984375,183.5500030517578,2.0150435602405765,1.944925922710385
85,91.40876007080078,181.02000427246094,1.9803354091254672,5.131573196591208
86,88.76774597167969,176.9199981689453,1.9930662453160586,3.793733008614768
87,89.57499694824219,175.91000366210938,1.9638293012027996,6.465856744773876
88,80.3165283203125,167.0399932861328,2.0797710854726708,-3.727313689241382
89,77.94459533691406,154.4600067138672,1.981664104434909,3.9688644316671313
90,77.46623229980469,154.22000122070312,1.99080291686126,3.2239207463327686
91,74.29702758789062,148.83999633789062,2.0033102422814753,2.078535213624124
92,75.29363250732422,148.61000061035156,1.9737392879257813,4.360539814204858
93,77.39646911621094,153.5800018310547,1.9843282721393147,3.7202777868872685
94,80.15707397460938,156.97000122070312,1.9582800798146036,6.014361983355516
95,78.32330322265625,150.47000122070312,1.9211396229414557,8.738629212268282
96,77.96453857421875,148.89999389648438,1.9098425594443587,9.56994036153154
97,72.72238159179688,133.30999755859375,1.8331357505160584,14.366338923564573
98,73.06122589111328,132.9499969482422,1.8197066272386953,15.424019723144998
99,72.19418334960938,129.38999938964844,1.7922496437567714,17.198777259562466
100,73.03132629394531,123.13999938964844,1.6861257440953445,25.172454030853036
101,74.79532623291016,127.19999694824219,1.7006409805894238,24.744531185334242
102,74.37675476074219,124.05000305175781,1.6678598501750488,27.032686696173332
103,76.14073944091797,132.0500030517578,1.73428842458541,22.664729991411665
104,74.94481658935547,125.5199966430664,1.6748322613267188,26.732332036020356
105,75.48297882080078,127.13999938964844,1.684353232686845,26.22040496970823
106,74.99464416503906,120.69999694824219,1.6094482251641913,31.654926676375258
107,75.20393371582031,124.06999969482422,1.6497807171052832,28.71585097707501
108,74.26712799072266,119.4000015258789,1.6077099620816653,31.456966774750104
109,74.27708435058594,122.05999755859375,1.6433062582595956,28.817470880439405
110,76.74867248535156,127.7300033569336,1.6642633575364114,28.23646342451804
111,78.49273681640625,132.22999572753906,1.6846144126280593,27.327498363424272
