,ge,de,Ratio,Spread
82,71.47541046142578,366.45001220703125,5.126938199323792,59.099846246736625
83,71.1241226196289,368.1199951171875,5.175740403658679,55.30869099612257
84,70.16393280029297,376.9800109863281,5.37284607548045,40.6507856357131
85,70.8118667602539,376.9100036621094,5.32269548744146,44.63319592634925
86,71.08118438720703,375.3900146484375,5.281144621951446,47.77939864035479
87,70.88999938964844,374.79998779296875,5.287064339398176,47.21499804209375
88,70.69477081298828,376.3399963378906,5.323448849327738,44.49614580374875
89,69.36026763916016,370.79998779296875,5.345999956661334,41.97805815582196
90,69.71116638183594,372.5400085449219,5.344050714979739,42.35686025711086
91,70.52302551269531,376.3500061035156,5.3365550239441495,43.44909080842941
92,70.30413818359375,379.79998779296875,5.402242280548989,38.67740738915838
93,69.5355224609375,377.6650085449219,5.431252907563615,36.17127408688193
