,pep,cost,Ratio,Spread
935,171.82000732421875,522.989990234375,3.043824746483161,-18.598098741396417
936,172.5050048828125,524.8699951171875,3.042636330892234,-18.455464592286877
937,173.4199981689453,528.2999877929688,3.0463613964422964,-19.183694157732067
938,173.33999633789062,531.1599731445312,3.0642666687793407,-22.279906374757605
939,173.22999572753906,529.6300048828125,3.057380464961907,-21.074744421092124
940,171.85000610351562,528.0250244140625,3.072592410011328,-23.544553478493743
941,173.0399932861328,531.510009765625,3.07160211735988,-23.51578247742093
942,170.99000549316406,523.2999877929688,3.0604127199346136,-21.358899341543225
943,172.46009826660156,528.614990234375,3.065143737870327,-22.33305853935376
944,172.50999450683594,529.0999755859375,3.067068531875533,-22.670711857716913
945,171.9949951171875,526.8400268554688,3.0631125428766706,-21.931436965936587
946,172.6999969482422,529.3200073242188,3.06496824943694,-22.329710422481913
947,173.0,532.1900024414062,3.0762427886786488,-24.313866058099837
948,173.0,532.469970703125,3.0778611023302025,-24.593834319818587
949,172.69000244140625,531.5700073242188,3.078174762922831,-24.609221884789395
950,173.2100067138672,534.9099731445312,3.088216340919444,-26.413735607425895
951,173.6649932861328,535.8400268554688,3.0854809407248323,-26.000319420522988
952,173.6300048828125,536.8131103515625,3.0917070509435964,-27.076715562526875
953,173.2100067138672,536.5700073242188,3.0978002801570295,-28.073769787113395
954,173.6699981689453,541.905029296875,3.1203145909503176,-32.050543602941666
955,174.2899932861328,540.3499755859375,3.1002925951052283,-28.664788004250045
956,173.66000366210938,540.239990234375,3.110906246930186,-30.415016002749145
957,174.24000549316406,540.3800048828125,3.1013543838760564,-28.84241966833024
958,173.50999450683594,538.0900268554688,3.1012047944838654,-28.70799489246149
959,173.4600067138672,539.5433959960938,3.1104772000043983,-30.308966400291684
960,173.9199981689453,539.5800170898438,3.102461032489763,-28.987339337213758
961,171.0500030517578,526.1900024414062,3.0762349783892553,-24.07175510480032
962,170.1699981689453,522.4000244140625,3.0698714816663633,-22.880227541882494
963,170.11000061035156,522.8699951171875,3.073716966910467,-23.52735713018784
964,170.14999389648438,523.2125244140625,3.075007600249306,-23.751795522165185
965,168.99000549316406,517.510009765625,3.0623705127138963,-21.474457783772767
966,167.9499969482422,511.9100036621094,3.0479905505438425,-18.9453558756092
967,167.4199981689453,510.29998779296875,3.0480228967510774,-18.900303566452056
968,168.0399932861328,508.19000244140625,3.0242205590670164,-14.959616327135498
969,168.15499877929688,509.2699890136719,3.0285747834477865,-15.700018332360278
970,168.10000610351562,508.0299987792969,3.0221890561173037,-14.622408724178106
971,168.88999938964844,508.67999267578125,3.0119012050097687,-12.939735539674748
972,168.22999572753906,505.93499755859375,3.007400644401091,-12.14357827080669
