,dhr,unh,Ratio,Spread
57,271.0,465.9549865722656,1.7193910943626038,49.054155912723296
58,269.0899963378906,464.8299865722656,1.7274145932522458,46.53593610470053
59,267.6199951171875,459.42999267578125,1.7167252113378244,49.13198900812491
60,269.6600036621094,460.1400146484375,1.7063710168342365,52.31316352206962
61,270.9700012207031,463.04998779296875,1.708860706745976,51.90193378238572
62,270.0299987792969,461.3800048828125,1.7086249934027196,51.77891724334787
63,275.989990234375,457.7799987792969,1.6586833398941134,66.74725700796589
64,278.79998779296875,461.45001220703125,1.6551292410733343,68.4371488877733
65,277.8599853515625,460.3999938964844,1.6569496083214825,67.69416774912597
66,277.92999267578125,459.7650146484375,1.6542475686845917,68.46268185648236
67,277.0799865722656,458.3999938964844,1.6543959005026456,68.2063658881444
68,279.07000732421875,461.4200134277344,1.653420293538261,68.98219406426742
69,281.1499938964844,466.05999755859375,1.657691650991786,68.30966215919622
70,285.0350036621094,468.2300109863281,1.6427105617574767,73.55007668679647
71,286.0199890136719,467.1099853515625,1.6331375543449673,76.54890402996384
72,285.4549865722656,469.19000244140625,1.6436567042510795,73.39117796659954
73,285.2799987792969,469.7099914550781,1.6464876383376008,72.53741001514183
74,285.114990234375,471.760009765625,1.6546306785827745,70.17264759636188
75,284.92999267578125,471.54998779296875,1.6549678865486805,70.02979759119157
76,285.7799987792969,472.44000244140625,1.6531597888565455,70.76111966304515
77,286.82501220703125,467.2699890136719,1.629111720132674,77.9244348289379
78,285.7200012207031,464.8299865722656,1.6268724086040087,78.25669371291698
79,286.32501220703125,463.9800109863281,1.6204662226674105,80.26069222205021
80,285.9049987792969,463.9100036621094,1.6226019329596357,79.5295486008998
