,v,acn,Ratio,Spread
78,217.47999572753906,325.2300109863281,1.4954479371692617,-23.351161236574445
79,217.02999877929688,325.3900146484375,1.4992858889490877,-24.13868043733537
80,215.74000549316406,321.5799865722656,1.4905904254389908,-22.12753307572523
81,216.72000122070312,323.510009765625,1.4927556660364225,-22.69096356385602
82,216.32000732421875,322.9800109863281,1.4930658286371459,-22.718751645981673
83,217.1199951171875,324.510009765625,1.494611353461367,-23.13317670243349
84,219.07000732421875,326.9800109863281,1.4925822798846442,-22.883908458638576
85,218.47000122070312,328.489990234375,1.5035931175856374,-25.23058927702407
86,217.5399932861328,328.05999755859375,1.5080445328831684,-26.09748190744715
87,217.63490295410156,327.2200012207031,1.5035272227897778,-25.125135135511858
88,217.77000427246094,326.4700012207031,1.4991504560574982,-24.186737909944032
89,217.98500061035156,327.0249938964844,1.500217872701443,-24.44192067966576
90,218.5,327.4700012207031,1.4987185410558495,-24.168767312655735
91,215.86000061035156,325.7799987792969,1.5092189282782487,-26.160213479970697
92,216.5800018310547,325.32000732421875,1.5020777752970367,-24.69618865176817
93,215.88999938964844,323.739990234375,1.4995599200965017,-24.078371984352362
94,214.72999572753906,321.1000061035156,1.4953663321026864,-23.05599954110504
95,214.97000122070312,321.510009765625,1.495604074707803,-23.131318319438027
96,215.2550048828125,321.32000732421875,1.4927411676172146,-22.54388156821067
97,214.58999633789062,320.3399963378906,1.492800232092308,-22.491217304798443
98,214.48399353027344,323.1000061035156,1.5064061461440084,-25.399046759379804
99,216.22500610351562,324.260009765625,1.4996415798938105,-24.13122852855223
100,215.72500610351562,322.6600036621094,1.4957005193328445,-23.22846664091718
101,215.64500427246094,322.9200134277344,1.4974611376562876,-23.600038034467662
102,216.39999389648438,322.8599853515625,1.4919593089545262,-22.48718566149545
103,217.4600067138672,324.4100036621094,1.4918145573726873,-22.55902836068343
104,217.19000244140625,325.1600036621094,1.497122335314819,-23.68554619515628
105,218.29249572753906,327.07000732421875,1.4983108156519036,-24.058135723659166
106,216.02999877929688,325.80999755859375,1.5081701587724936,-25.953151779252767
107,217.72000122070312,325.260009765625,1.4939372034814036,-23.04647513209493
108,217.5800018310547,324.8500061035156,1.493014079279921,-22.8316989993039
109,217.6199951171875,326.05999755859375,1.498299811021555,-23.985920279521725
110,217.25,325.67999267578125,1.499102382857451,-24.121869307435293
111,218.30999755859375,327.69000244140625,1.501030672465906,-24.653724739906227
112,218.72000122070312,328.3399963378906,1.5011887093333252,-24.731973272599408
113,219.0399932861328,327.5799865722656,1.495525915873941,-23.525738273477362
114,217.73500061035156,325.5274963378906,1.4950627846941316,-23.293045229012296
115,218.86500549316406,327.7029113769531,1.4972832712043063,-23.892681531159145
116,218.86000061035156,327.2799987792969,1.495385167991347,-23.476748184687256
117,219.97000122070312,329.8550109863281,1.4995454341766075,-24.503877381335474
118,220.77000427246094,330.6199951171875,1.497576612396838,-24.153266511144967
119,225.32000732421875,339.2749938964844,1.505747305468053,-26.463338670287715
120,226.14999389648438,338.2799987792969,1.4958213924787358,-24.3109368795587
121,226.50999450683594,337.69000244140625,1.4908393034781295,-23.218923855105903
122,227.0,338.5299987792969,1.4913215805255369,-23.375613201279794
123,227.67999267578125,338.64990234375,1.4873942078256788,-22.5472748456737
124,228.08999633789062,340.25,1.49173574230742,-23.57562713813245
125,228.19000244140625,340.67999267578125,1.4929663395891315,-23.866162459455655
126,224.9199981689453,338.05999755859375,1.5030232985537595,-25.806150472024445
127,224.61500549316406,340.2799987792969,1.5149477570840786,-28.451460450876358
128,225.08999633789062,340.1000061035156,1.5109512267838832,-27.609098536931516
129,224.7550048828125,339.5307922363281,1.5106706629886166,-27.507026378589263
130,223.4499969482422,338.79998779296875,1.5162228347286357,-28.596040403344706
131,223.25,337.1000061035156,1.5099664327145157,-27.174952144602845
132,223.9499969482422,338.3599853515625,1.5108729178940867,-27.458793746057882
133,221.05499267578125,340.82000732421875,1.5417883269621304,-33.95586568655994
134,223.30999755859375,343.3399963378906,1.5375039187298478,-33.33127647758493
135,223.66000366210938,341.6700134277344,1.5276312609916016,-31.173214105030343
136,224.08999633789062,341.17999267578125,1.5225132681127733,-30.08357354095823
137,224.6999969482422,340.6700134277344,1.5161104497309137,-28.722955498408897
138,224.97500610351562,339.9200134277344,1.510923454631801,-27.589458412751686
139,222.17999267578125,337.2300109863281,1.5178234859267232,-28.797069862938077
140,224.8699951171875,337.6650085449219,1.5016009955839285,-25.480890135581593
141,225.1750030517578,338.19500732421875,1.5019207404939288,-25.585558878524797
142,225.39999389648438,337.5799865722656,1.4976929712220854,-24.65679099634831
143,225.27670288085938,338.8999938964844,1.504372132415824,-26.14872621559623
144,226.42999267578125,339.5299987792969,1.4994921598812236,-25.170481820921953
145,225.60000610351562,338.45001220703125,1.5002216447269725,-25.247901922197844
146,226.36000061035156,340.739990234375,1.5053012427796961,-26.478076401556894
147,227.24000549316406,340.69000244140625,1.4992518667742025,-25.20093197961278
148,228.77000427246094,342.3800048828125,1.4966123114420373,-24.75736882268085
149,228.85000610351562,342.8949890136719,1.49833943573753,-25.1607913256148
150,227.66000366210938,342.8500061035156,1.5059738231945654,-26.775253053767063
151,227.7100067138672,343.55999755859375,1.5087610883534854,-27.415515831616165
152,227.39999389648438,343.9800109863281,1.512664996565095,-28.267838546888516
153,227.74000549316406,344.4100036621094,1.5122947016546344,-28.22368898443533
154,227.00999450683594,343.1499938964844,1.5116074278665785,-27.981671094303454
155,226.99000549316406,343.80999755859375,1.5146481749785579,-28.669549204740566
156,226.50999450683594,342.6700134277344,1.5128251368060177,-28.198934841434028
157,227.10479736328125,345.05999755859375,1.5193866512939798,-29.75947326980189
158,226.1199951171875,344.3800048828125,1.5229966934341048,-30.452775933770784
159,226.02000427246094,342.8599853515625,1.5169453095764662,-29.072192478774003
160,226.24000549316406,342.82000732421875,1.5152934892170395,-28.725425294186426
161,221.61000061035156,336.7900085449219,1.5197419232766798,-29.15191476296916
162,221.38999938964844,336.05999755859375,1.5179547336604173,-28.72869293388486
163,221.02000427246094,335.79998779296875,1.519319433995728,-28.98463707898593
164,220.75999450683594,338.0400085449219,1.5312557390666828,-31.587238441248065
165,218.96749877929688,338.1499938964844,1.5442930835928061,-34.196838348845056
166,219.2899932861328,339.7699890136719,1.5494094551333903,-35.36711860694333
167,219.0,340.0400085449219,1.5526941029448487,-36.041530420993915
168,215.75,339.8949890136719,1.5754113048142382,-40.428598292967585
169,215.33670043945312,338.3800048828125,1.5713995997535768,-39.489955618142794
170,214.6699981689453,338.2200012207031,1.5755345605142455,-40.259660559685464
171,215.50999450683594,341.0400085449219,1.5824788512725063,-41.90830270799403
172,215.77000427246094,341.5350036621094,1.5828660003678743,-42.04071721487252
173,216.2801971435547,343.0799865722656,1.5862755402638566,-42.87424206832156
174,216.25,342.0400085449219,1.5816879007857658,-41.87637360833701
175,216.86000061035156,341.7850036621094,1.5760629101731851,-40.77072993102205
176,218.35000610351562,343.6549987792969,1.573872173909519,-40.56292962473173
177,219.16000366210938,343.5,1.5673480300246398,-39.278398620221076
178,218.2104949951172,340.489990234375,1.5603740335312195,-37.592467706573636
179,217.16000366210938,339.7200012207031,1.5643764758324985,-38.287376704446494
180,217.9499969482422,340.7049865722656,1.5632254707173718,-38.170725557327835
181,217.27999877929688,339.2099914550781,1.5611652860861445,-37.61003513603571
182,214.27999877929688,327.29998779296875,1.5274406834866547,-29.883496769209717
183,214.36000061035156,327.45001220703125,1.52757049484361,-29.921959555346792
184,215.4550018310547,327.5350036621094,1.5202014382517808,-28.479984475390086
185,216.08999633789062,328.7799987792969,1.521495693235136,-28.839487098562973
186,216.50999450683594,329.2799987792969,1.5208535732002912,-28.753804510607882
187,215.5449981689453,328.1400146484375,1.522373599183404,-28.959496609628832
188,214.91000366210938,327.6300048828125,1.524498624074877,-29.334979338018446
189,214.13499450683594,331.0209045410156,1.545851509714113,-33.80662029775936
190,214.5,331.6300048828125,1.5460606288243006,-33.906724701809644
191,213.4600067138672,330.9599914550781,1.5504543288931587,-34.686969880696715
192,213.0500030517578,330.70001220703125,1.5522178243137215,-34.99873599644109
193,211.7899932861328,328.0,1.5487039539061933,-34.05579283147994
194,210.90499877929688,326.4750061035156,1.5479718735598005,-33.764913536950466
195,211.3300018310547,326.7200012207031,1.546018068375808,-33.417246814998514
196,211.5749969482422,325.2799987792969,1.5374217344730505,-31.635601516836335
197,212.05599975585938,326.3500061035156,1.5389802999172069,-32.0348559901883
198,211.5850067138672,324.54998779296875,1.5338987995111937,-30.891632028139487
199,211.4499969482422,324.5299987792969,1.534783653171364,-31.05991257080648
200,211.85000610351562,325.1400146484375,1.5347651889590475,-31.11212030031975
201,213.56500244140625,325.95001220703125,1.5262332708115833,-29.530575305212313
202,213.3300018310547,325.5400085449219,1.5259926205913183,-29.448277275694966
203,213.6999969482422,321.0299987792969,1.5022461551885276,-24.422313599343898
204,215.8000030517578,323.2799987792969,1.498053726633919,-23.74387938136356
205,215.1999969482422,322.56500244140625,1.498908025165941,-23.865584613811553
206,214.6699981689453,321.2659912109375,1.496557478693884,-23.305650549919836
207,215.10000610351562,322.1499938964844,1.4976754288953928,-23.590012145142897
208,214.3699951171875,321.2699890136719,1.4986705058142415,-23.72799913782352
209,212.7899932861328,319.4200134277344,1.5011044856710867,-24.081317827453223
210,214.89999389648438,317.5400085449219,1.4776175782391059,-19.258941502496487
211,213.55999755859375,315.7749938964844,1.4786242625323416,-19.362536245849743
212,211.64999389648438,313.07000732421875,1.4791874148474475,-19.32102768501709
213,212.47999572753906,313.0293884277344,1.4732181604009855,-18.122980836786372
214,213.15499877929688,314.1000061035156,1.4735756041486898,-18.252314565487882
215,212.40499877929688,312.9100036621094,1.4731762692046808,-18.108178447902493
216,213.3000030517578,313.6300048828125,1.4703703722250268,-17.58010656428205
217,214.97000122070312,316.7300109863281,1.4733684197226715,-18.35131954014115
218,214.5399932861328,317.6300048828125,1.480516522899244,-19.85095452694934
219,215.22500610351562,317.3699951171875,1.474596288149453,-18.635702311875878
220,214.23480224609375,317.1400146484375,1.4803384479247002,-19.78654966738593
221,214.38999938964844,318.20001220703125,1.4842110784687803,-20.630126604650332
222,216.30999755859375,320.0199890136719,1.479450754128853,-19.772688175694146
223,215.80999755859375,320.57000732421875,1.4854270467112258,-21.019950702121594
224,220.01499938964844,325.4049987792969,1.4790127931368982,-19.991115748259563
225,220.2550048828125,327.30999755859375,1.4860502158974334,-21.56142964377999
226,219.1699981689453,326.7250061035156,1.4907378237584437,-22.489467499572857
227,218.6750030517578,326.6499938964844,1.4937692435708811,-23.10472025723782
228,218.25999450683594,325.9700012207031,1.4934940411651743,-23.003452196432125
229,218.74000549316406,324.510009765625,1.483542112171001,-20.874090973801163
230,217.85000610351562,323.6199951171875,1.4855174939192484,-21.225170178502925
231,221.15499877929688,330.0899963378906,1.4925730739068945,-23.086397345773765
232,220.19000244140625,329.4700012207031,1.4962986401182172,-23.812078458466647
233,218.30999755859375,325.010009765625,1.4887545847660655,-21.973732064124977
234,218.50999450683594,325.0299987792969,1.487483442177875,-21.71482764708559
235,217.3249969482422,324.12701416015625,1.4914391750220517,-22.464308415069173
236,216.55999755859375,323.3800048828125,1.4932582588126273,-22.784081936894484
237,216.52999877929688,322.30999755859375,1.4885235273432738,-21.755907563372194
238,211.8699951171875,316.5924987792969,1.494277179759155,-22.536729982851387
239,211.5500030517578,318.1199951171875,1.503757932063732,-24.510451554239058
240,210.97500610351562,316.5249938964844,1.5002961712970886,-23.717276926157627
241,211.3300018310547,316.3349914550781,1.4968768689453211,-23.03223704937351
242,210.5500030517578,314.6199951171875,1.4942768490003155,-22.404939986000205
243,209.89999389648438,313.239990234375,1.4923296776695212,-21.93136535075529
244,208.3000030517578,310.8699951171875,1.4924147410595254,-21.792538957462728
245,206.56500244140625,308.5050048828125,1.493500841074578,-21.846987003321477
246,207.0,309.3599853515625,1.4944926828577898,-22.095368408768184
247,207.99000549316406,311.0400085449219,1.4954565139195821,-22.39484039453031
248,207.86000061035156,312.4599914550781,1.503223277867716,-23.996113609841007
249,209.13999938964844,313.92999267578125,1.5010518962988937,-23.681171340146296
250,209.75,316.0899963378906,1.506984487904127,-24.990536207753156
251,210.25999450683594,316.8699951171875,1.5070389203633574,-25.059353547005617
252,205.3800048828125,309.7099914550781,1.5079851207121897,-24.70443896271131
253,202.83999633789062,308.8800048828125,1.5227766242328291,-27.41646492291368
254,204.3300018310547,308.20001220703125,1.5083443911572956,-24.658676823654606
255,203.39999389648438,306.2550048828125,1.5056785352642328,-24.010554805640187
256,203.5,306.4100036621094,1.5057002636958692,-24.026096230479016
257,202.25,303.385009765625,1.5000494920426453,-22.744212873696075
258,201.35000610351562,303.1700134277344,1.5056866363931087,-23.78424761310855
259,215.25999450683594,303.3125,1.4090518802385634,-4.529416271012442
260,217.8800048828125,306.20001220703125,1.4053607735676432,-3.7633543176502164
261,218.625,307.010009765625,1.4042767742281304,-3.534464803607468
262,217.39999389648438,306.6400146484375,1.4104876874764083,-4.872726526609304
263,216.83380126953125,305.3800048828125,1.4083597810620658,-4.402265829418857
264,214.39999389648438,303.3500061035156,1.4148788000897878,-5.766183276970812
265,214.05999755859375,303.0799865722656,1.415864664248185,-5.970284705750478
266,220.74659729003906,306.7900085449219,1.389783635676297,-0.35592070508908114
267,219.9499969482422,308.6383056640625,1.4032203225567224,-3.3150677856024138
268,220.52499389648438,310.8800048828125,1.4097268495050554,-4.75494041173072
269,222.58999633789062,314.0299987792969,1.4108001435185826,-5.0253122921155775
270,222.49000549316406,314.6199951171875,1.4140859694789936,-5.754744706259421
