,amd,ma,Ratio,Spread
361,110.94989776611328,338.760009765625,3.053270138921122,91.32463674135424
362,114.7300033569336,342.3900146484375,2.984311031380664,102.48105194458269
363,115.4000015258789,345.0799865722656,2.9902944714856012,102.41187305017728
364,112.47000122070312,344.8800048828125,3.066417721522422,91.1507422591307
365,111.3499984741211,343.1700134277344,3.0819040694238597,88.47968384388291
366,110.62999725341797,344.6099853515625,3.114977799033757,84.22332484937816
367,110.9937973022461,344.7099914550781,3.1056689637926507,85.54637432461622
368,109.87999725341797,343.7300109863281,3.1282309754120052,82.16956765656788
369,110.9000015258789,345.3800048828125,3.1143372419360773,84.50946539136224
370,111.68000030517578,346.69000244140625,3.1043159159566995,86.25054387818129
371,112.90499877929688,349.04998779296875,3.0915370582951835,88.68231410273295
372,114.25150299072266,348.5675048828125,3.0508789447707882,94.43183954368907
373,113.88990020751953,349.6400146484375,3.0699826236686145,91.94486911598436
374,113.4800033569336,352.69000244140625,3.107948466762686,87.29151155487283
375,113.27999877929688,351.2200012207031,3.1004590837344916,87.97916645402096
376,114.05999755859375,351.3500061035156,3.080396402104284,90.9002376166212
377,113.47000122070312,350.1700134277344,3.086014009523464,89.77237579160173
378,112.9999008178711,344.260009765625,3.046551433000725,93.84351493739398
379,115.9677963256836,348.29998779296875,3.0034199047363472,101.41288185971506
380,116.16999816894531,347.45001220703125,2.9908755933845916,103.05379868388154
381,113.58999633789062,343.7200012207031,3.0259707043061783,96.69176594810533
382,115.25,345.80999755859375,3.000520586191703,101.09510978354807
383,115.12999725341797,345.1700134277344,2.998089304805286,101.26568612147445
384,115.94000244140625,345.5799865722656,2.980679483312197,104.02416335318473
385,116.87999725341797,350.1199951171875,2.995551021087561,103.16107806745894
386,117.5250015258789,352.5899963378906,3.0001275623063965,103.21410269901223
387,114.58000183105469,352.8599853515625,3.079594865706545,91.42432896115666
388,114.37999725341797,352.4700012207031,3.0815702892506445,91.03196677046104
389,114.55000305175781,351.2250061035156,3.066128299837928,92.94196372183545
390,114.54000091552734,349.92498779296875,3.055046141051078,94.20285725543941
391,114.75759887695312,349.989990234375,3.0498197388187407,94.98902015590117
392,114.70999908447266,344.7250061035156,3.0051870704807477,100.06781093561874
393,116.77999877929688,345.260009765625,2.9564995151107483,107.62990517997433
394,116.62999725341797,344.125,2.950570248683728,108.17816266529825
395,115.0999984741211,343.8599853515625,2.987489052216412,102.45836971027823
396,115.0,344.3399963378906,2.994260837720788,101.587200484903
397,114.18000030517578,344.0,3.012786819763272,98.71965151306982
398,113.9000015258789,341.9800109863281,3.0024583529845503,99.64438552002541
399,113.95999908447266,343.3299865722656,3.012723669098776,98.52909890882408
400,119.47989654541016,346.8699951171875,2.903166182315485,116.5809535349997
401,119.19999694824219,345.45001220703125,2.8980706464030286,116.90606940342836
