,amzn,bkng,Ratio,Spread
82,141.40574645996094,1995.0450439453125,14.108656075799649,530.6917397965725
83,141.82550048828125,1990.2900390625,14.033372222980123,542.9976335581017
84,142.50601196289062,2002.5250244140625,14.052214337003068,543.0042615771821
85,141.85299682617188,2000.199951171875,14.100512473648623,533.5823487255979
86,145.72349548339844,2073.5,14.229002626664439,529.9080885596803
87,146.83499145507812,2091.60009765625,14.244561714679177,531.8025162803023
88,146.4322509765625,2092.840087890625,14.29220731043463,523.3176912258735
89,145.6645050048828,2079.469970703125,14.275749405343596,522.8769474612258
90,145.74600219726562,2072.179931640625,14.21774800269274,531.6330266379149
91,147.35000610351562,2087.18994140625,14.164844621315911,545.4771896495885
92,147.3665008544922,2079.889892578125,14.113722457397436,553.0739599462471
93,150.14999389648438,2224.75,14.816850419146707,458.2856689614158
