,amzn,nvda,Ratio,Spread
78,158.4530029296875,261.1199951171875,1.6479333953238982,-27.692071378555774
79,159.19923400878906,261.44000244140625,1.6422189721526719,-26.90577289607166
80,159.1068115234375,259.239990234375,1.6293456436727551,-24.842779281642358
81,159.05250549316406,258.2200012207031,1.6234890511158984,-23.903300284657043
82,156.864501953125,252.54989624023438,1.6099875567494712,-21.47696400964876
83,156.71499633789062,249.39999389648438,1.5914239206486478,-18.54870739320834
84,156.19749450683594,249.55999755859375,1.5977208747587934,-19.475920163472843
85,155.25152587890625,246.93069458007812,1.5905202424398726,-18.24903878779015
86,153.5762481689453,241.30999755859375,1.5712716024494542,-15.1119819017462
87,153.65074157714844,239.77000427246094,1.5604871269174565,-13.461550317927598
88,153.17250061035156,239.41000366210938,1.5630090434518231,-13.810553625246664
