,tmus,chtr,Ratio,Spread
1118,133.4149932861328,322.4800109863281,2.4171197182816693,96.14375589191528
1119,133.19000244140625,322.2250061035156,2.4192882363319335,95.68746281220004
1120,133.36000061035156,325.29998779296875,2.4392620448722355,93.14992232997113
1121,133.05999755859375,325.8900146484375,2.4491960065227714,91.61144995118886
1122,132.44000244140625,323.6400146484375,2.443672672020838,91.90136457896594
1123,132.55999755859375,328.55999755859375,2.478575766519343,87.36074058215777
1124,132.0850067138672,324.1600036621094,2.454177137336488,90.25907328667702
1125,132.55499267578125,323.2099914550781,2.4383086968713696,92.69492398430285
1126,131.94000244140625,322.94000244140625,2.4476276827781773,91.02065032712235
1127,131.9199981689453,323.57000732421875,2.452774498297324,90.32740287877076
1128,131.5800018310547,323.260009765625,2.4567563859794017,89.56251802291601
1129,134.77999877929688,327.510009765625,2.429960029172613,95.42915771172622
1130,134.52999877929688,330.17999267578125,2.454322423784883,91.96881157213252
1131,134.74000549316406,333.67999267578125,2.476473052338641,89.132737910435
1132,134.3000030517578,332.20001220703125,2.473566676532426,89.22167137698423
1133,134.3300018310547,330.9949951171875,2.4640437028615256,90.52152819516502
1134,133.92999267578125,331.3500061035156,2.47405379096563,88.9019070977711
1135,133.91000366210938,331.5799865722656,2.4761405235185436,88.60873230342523
1136,135.61000061035156,332.0050048828125,2.4482339310414356,93.55817430506406
1137,134.78500366210938,329.0,2.4409243688917015,93.95499017872177
1138,135.38999938964844,330.69000244140625,2.4424994750881868,94.17765324536995
1139,135.99000549316406,331.1199951171875,2.4348847837485543,95.64455161621575
1140,135.89999389648438,330.7300109863281,2.4336278575424117,95.74996832212085
1141,135.77000427246094,327.6400146484375,2.413198824026956,98.4290085838654
1142,136.22000122070312,329.0799865722656,2.4157978536433244,98.41168082503597
1143,136.44500732421875,328.7049865722656,2.409065696271329,99.49802702750694
1144,136.10000610351562,326.5799865722656,2.3995589414145493,100.53232191168783
1145,136.17999267578125,325.6199951171875,2.391100107432279,101.7451871490359
1146,135.83999633789062,322.30999755859375,2.3727179494092048,103.98030229318115
1147,136.00999450683594,325.1300048828125,2.390486126124145,101.69773617618668
1148,135.7899932861328,324.7149963378906,2.3913028381528854,101.41722122000814
1149,135.75999450683594,324.8399963378906,2.3927519849857823,101.19738149167111
1150,136.94000244140625,327.9100036621094,2.3945523427488995,101.85791369516741
