,fcx,nem,Ratio,Spread
1056,29.28499984741211,45.58000183105469,1.5564282762010173,-1.4958731262930118
1057,29.309999465942383,45.599998474121094,1.55578298549979,-1.4769061346836583
1058,29.854999542236328,45.875,1.5365935589816349,-0.9024873445979711
1059,29.975000381469727,45.494998931884766,1.5177647490543273,-0.3354566682104039
1060,29.649999618530273,45.470001220703125,1.533558239652923,-0.8169951260179775
1061,29.51799964904785,45.959999084472656,1.55701604549464,-1.5127240725196873
1062,29.729999542236328,45.64500045776367,1.5353178997839365,-0.8673089484752257
1063,29.81999969482422,45.79999923706055,1.5358819485504533,-0.8820362647515398
1064,30.600000381469727,45.3650016784668,1.4825163762395974,0.7686463157754571
1065,30.889999389648438,45.564998626708984,1.4750728237948199,1.0206328806946854
1066,31.049999237060547,45.470001220703125,1.464412313621934,1.3650011159071422
1067,31.05500030517578,45.2599983215332,1.4574141966435579,1.5827985256530834
1068,31.549999237060547,45.470001220703125,1.4412045109431033,2.1442857003614586
1069,31.575000762939453,45.505001068115234,1.4411718121484847,2.1482524603598856
1070,31.549999237060547,45.290000915527344,1.4354992713383954,2.32428600553724
1071,30.329999923706055,44.599998474121094,1.4704912161658645,1.1128351310594848
1072,30.479999542236328,44.81999969482422,1.4704724530168336,1.1266186911457023
1073,30.34000015258789,44.989898681640625,1.482857562800742,0.7385209719572157
1074,29.780000686645508,44.91999816894531,1.5083947996377702,-0.06437641757057011
1075,29.885000228881836,44.66999816894531,1.4947297248395124,0.34927263170849554
1076,29.889999389648438,44.68199920654297,1.4948812351604572,0.34506313195208205
1077,29.975000381469727,44.93000030517578,1.4989157542413611,0.2295419584985805
1078,29.299999237060547,46.220001220703125,1.5774744854682814,-2.112494929682952
1079,29.387500762939453,46.249900817871094,1.5737949678319292,-2.006017346383593
1080,29.7450008392334,46.345001220703125,1.5580769848079639,-1.5439291524213974
1081,29.739999771118164,46.310001373291016,1.5571621294450957,-1.5167238155853073
1082,29.665000915527344,45.625,1.5380077057782535,-0.9486133463215711
1083,29.485000610351562,45.1150016784668,1.5301000761257528,-0.7191579508294896
1084,29.334999084472656,44.849998474121094,1.528890399654408,-0.6879425000078985
1085,28.940000534057617,44.20000076293945,1.5272978558145958,-0.6535773512667322
1086,28.739999771118164,43.97999954223633,1.5302713950065294,-0.7452911534392459
1087,28.760000228881836,44.34000015258789,1.5417246105603315,-1.0741196669562914
1088,28.764999389648438,44.439998626708984,1.544933063433384,-1.1663266032361423
1089,28.801799774169922,44.54999923706055,1.5467783119933343,-1.218971268868535
1090,28.864999771118164,44.654998779296875,1.5470292441844369,-1.22546924438621
1091,28.700000762939453,44.40999984741211,1.547386713130653,-1.2376326795492918
1092,29.290000915527344,45.59000015258789,1.556503882812087,-1.4980769372502027
1093,29.190000534057617,45.290000915527344,1.5515587559748398,-1.3539352116274717
1094,29.139999389648438,45.15999984741211,1.5497598075947299,-1.3018643855985335
1095,29.05500030517578,45.54999923706055,1.567716357206384,-1.8243407276915125
1096,29.049999237060547,45.71500015258789,1.5736661395249527,-1.9971361537948684
1097,28.899999618530273,45.494998931884766,1.574221437107356,-2.010919713881086
1098,28.760000228881836,45.27000045776367,1.5740611994954679,-2.004119972132073
1099,30.165000915527344,44.47999954223633,1.4745565454082377,0.9756716958964102
1100,29.81730079650879,44.469200134277344,1.4913891917233533,0.44455641832721793
1101,29.864999771118164,44.16999816894531,1.4789887328799254,0.8181005348739714
1102,30.209999084472656,44.51599884033203,1.4735518103081433,1.0098051565762145
1103,30.059999465942383,44.529998779296875,1.481370577858753,0.7620204368220282
