,amzn,adbe,Ratio,Spread
79,167.14700317382812,545.1400146484375,3.2614405541061804,-21.03467115849767
80,166.69699096679688,544.114990234375,3.2640960528360896,-21.42919568504433
81,166.65200805664062,542.0250244140625,3.2524362036480383,-19.481126998765287
82,167.82949829101562,551.8900146484375,3.2883969759086247,-25.631762403053497
83,167.4875030517578,554.0999755859375,3.308306383997538,-28.920536252728677
84,166.8675079345703,535.1099853515625,3.2067955707793163,-11.88630054686396
85,166.75,531.2100219726562,3.185667298186844,-8.357012143938757
86,166.40699768066406,527.6900024414062,3.171080602355715,-5.918982326372114
87,166.5229949951172,525.030029296875,3.1528980685956918,-2.893099408122251
88,165.46900939941406,519.97998046875,3.142461433449491,-1.1678140251224507
89,165.30799865722656,514.2999877929688,3.1111621456345406,4.004275476194354
