,cl,pep,Ratio,Spread
52,83.02999877929688,173.58999633789062,2.090690098639077,7.852716756129527
53,82.91999816894531,173.24000549316406,2.089242755893413,7.959396501487592
54,83.16000366210938,173.5500030517578,2.0869407817358394,8.180268728157674
55,83.18000030517578,174.1199951171875,2.0932915902664777,7.654507373745079
56,82.91999816894531,173.3699951171875,2.090810406965457,7.829406877464154
57,83.12000274658203,173.9600067138672,2.092877778700754,7.681786768504312
58,82.99500274658203,173.83999633789062,2.0945838976437634,7.525308792972143
59,82.74500274658203,173.72999572753906,2.0995829350518136,7.082332700306185
60,82.68000030517578,173.52999877929688,2.0988146847942604,7.138550305600719
61,82.63999938964844,173.5800018310547,2.100435662065088,7.000068956298949
62,82.87000274658203,173.94000244140625,2.098950122800381,7.148814337947758
63,82.36000061035156,174.08999633789062,2.1137687596861165,5.8707432421649655
64,82.68000030517578,174.35000610351562,2.10873252854356,6.318542981381969
65,82.58999633789062,173.72999572753906,2.103523470527571,6.739472969007184
66,82.5250015258789,174.27000427246094,2.1117237328109812,6.055701956647371
67,82.3499984741211,174.02999877929688,2.113296927795168,5.908617007495283
68,82.56500244140625,174.30999755859375,2.111185034873535,6.104186968058516
69,82.55000305175781,174.19000244140625,2.1101150333355085,6.191004833105754
70,82.30000305175781,174.28500366210938,2.117679188328862,5.543026909385136
71,82.66999816894531,174.9600067138672,2.116366403641585,5.6864185777669745
72,83.4749984741211,175.5050048828125,2.1024858711105283,6.922006067558416
73,83.52999877929688,175.38499450683594,2.0996647560146444,7.163671993219199
74,83.28500366210938,175.16000366210938,2.1031397725902803,6.846756469314843
75,83.37999725341797,175.2100067138672,2.101343397521938,7.006870389275522
76,83.44999694824219,175.64999389648438,2.1048532093467536,6.721716008482846
77,82.2699966430664,173.74000549316406,2.1118270643299777,6.021653698540152
78,82.93199920654297,174.69000244140625,2.106424590179468,6.535944730059586
79,82.67500305175781,174.22999572753906,2.1074083978982645,6.427499898481702
80,82.7300033569336,174.22000122070312,2.1058865484271947,6.5591499550018595
