,bac,blk,Ratio,Spread
81,36.89463424682617,673.567626953125,18.2565199710868,-8.439557421237932
82,38.1516227722168,665.5709838867188,17.4454174036185,22.849100422856882
83,38.85867691040039,686.6832885742188,17.671298746417953,14.838518704610042
84,38.94706344604492,684.1677856445312,17.566607726211217,18.99182536344566
85,38.21054458618164,667.0,17.455914518454996,22.511906338078948
86,36.88481521606445,648.8729858398438,17.591873025223666,16.07313691609048
87,36.619667053222656,654.0997314453125,17.861979206273244,5.933192182356979
88,35.79476547241211,633.320068359375,17.693091713297857,11.427417555641487
89,35.59836196899414,629.3756713867188,17.67990538258191,11.732454890882227
90,36.14829635620117,637.156982421875,17.626196713211684,14.141435664161268
91,35.03860855102539,611.4248046875,17.450030979315443,19.31108300571285
92,35.49033737182617,611.542236328125,17.231231980724836,27.564192668422184
93,36.46254348754883,617.66943359375,16.939833991687134,39.451988186708405
94,37.92575454711914,651.1143798828125,17.168132517280963,33.12036308870282
95,36.865177154541016,620.361083984375,16.82783406638152,44.22114521965355
96,36.776790618896484,615.2811889648438,16.730149058974785,47.663236510036796
97,35.71620559692383,592.7105102539062,16.59500219432479,50.58126008070124
98,35.11717224121094,597.2814331054688,17.008243972575418,34.910240854546174
99,34.93058776855469,587.6110229492188,16.82224836417438,41.12323814933339
100,34.4395751953125,587.6600341796875,17.063509954666127,31.975757138932668
101,34.537776947021484,602.2732543945312,17.438101338090636,19.182216742796673
102,34.18424606323242,585.898193359375,17.13942124906332,29.006345606933255
103,35.34303665161133,598.73974609375,16.94081218871307,37.63719851793215
104,34.25299072265625,579.3012084960938,16.91242709831237,36.87716996106374
105,33.830718994140625,580.4953002929688,17.158822441624984,27.85837718871281
106,33.25132369995117,587.69921875,17.674460844121615,9.91825590899467
107,35.22519302368164,598.5342407226562,16.991652545956697,35.65905983201927
108,35.00914764404297,605.2291259765625,17.287742396080475,24.960850702398634
109,35.19573211669922,613.3040161132812,17.42552233548478,20.34337342714267
110,36.01081085205078,638.5958251953125,17.733447542155112,10.154984595418373
111,36.35451889038086,652.3867797851562,17.94513583723351,2.732944714248365
112,36.53128433227539,654.8826904296875,17.9266265175106,3.512500155226949
113,36.01081085205078,646.4945678710938,17.95279119171171,2.256241919637123
114,36.24785614013672,671.9232177734375,18.536909194732395,-18.779955512734173
115,35.744136810302734,662.1935424804688,18.525934644744336,-18.384206375260387
116,35.70463180541992,665.742431640625,18.64582822947823,-22.665123822816636
117,35.902164459228516,669.95166015625,18.660481067013816,-23.214069528655354
118,35.44783401489258,652.99609375,18.421325643639015,-14.677252545863976
119,34.084835052490234,650.4724731445312,19.083926096248128,-37.410021583557494
120,32.7613410949707,608.8919677734375,18.585685061192763,-20.353877568226007
121,31.625513076782227,590.2112426757812,18.66250331632036,-22.72006137241291
122,31.072410583496094,582.8276977539062,18.757080213901116,-25.585513308479303
123,31.655141830444336,591.37451171875,18.681783669975395,-23.334309199831605
124,31.45760726928711,577.4453125,18.356301150207795,-13.065428134064373
125,31.526744842529297,573.9851684570312,18.206293460488517,-8.324163901752595
126,32.44528579711914,605.806396484375,18.671630765482895,-23.124815323935845
127,32.1983642578125,600.6212158203125,18.653780391175612,-22.515094201695856
128,31.68477439880371,615.8319091796875,19.436209373892176,-47.24261475882608
129,31.911941528320312,638.5740356445312,20.01050406406102,-65.77533116874392
130,31.951444625854492,627.868408203125,19.650704860307506,-54.33771078313427
