,hon,ba,Ratio,Spread
1262,176.5601043701172,132.3800048828125,0.7497730325606775,18.013425431730834
1263,177.63999938964844,132.97999572753906,0.7485926378318157,18.338525836804987
1264,177.47999572753906,132.39999389648438,0.7459995328134902,18.781460652014285
1265,175.07000732421875,132.13999938964844,0.7547837657019879,16.976940420185567
1266,175.33999633789062,133.5,0.7613779102785969,15.848225693714252
1267,174.61000061035156,132.82000732421875,0.7606666677735792,15.902868082917276
1268,174.44000244140625,133.25999450683594,0.7639302490356102,15.317252097750636
1269,174.33999633789062,133.19400024414062,0.7639899222321629,15.297576207685037
1270,174.67999267578125,133.47999572753906,0.7641401495550073,15.302838329385505
1271,174.14999389648438,133.27999877929688,0.765317275052672,15.048812225141145
1272,176.86000061035156,135.25999450683594,0.7647856725095997,15.390341694549416
1273,177.69000244140625,135.9199981689453,0.76492766222886,15.441358471779179
1274,177.44000244140625,135.5850067138672,0.7641174754753495,15.562187616385156
1275,176.99000549316406,135.8350067138672,0.7674727526866684,14.926698071821303
1276,176.61000061035156,136.6999969482422,0.7740218361124328,13.736176942671019
1277,176.97500610351562,136.49000549316406,0.7712388799881086,14.258850076753301
1278,177.07000732421875,136.19000244140625,0.7691308341792724,14.640235852204935
1279,178.75,137.29119873046875,0.7680626502403847,14.978204015228837
1280,178.16000366210938,135.6199951171875,0.7612258213375352,16.143987712939033
1281,178.6999969482422,136.32000732421875,0.7628428072312828,15.906560345098395
1282,179.52999877929688,137.25999450683594,0.7645518600798016,15.677593601820345
1283,179.9499969482422,137.48500061035156,0.7640177990661231,15.81237861132632
1284,179.00999450683594,136.8000030517578,0.7642031576428755,15.692123791115986
1285,179.92999267578125,137.4199981689453,0.7637414759226085,15.860244407894381
1286,180.0800018310547,140.7375946044922,0.7815281717762737,12.671153201488831
1287,180.31500244140625,140.1383056640625,0.7771860564380978,13.47175523661954
1288,179.7100067138672,139.75779724121094,0.7776851150182871,13.333994528128951
1289,178.30999755859375,138.32000732421875,0.7757277169989638,13.572467663619047
1290,179.05999755859375,138.69500732421875,0.7745728203689584,13.83995459503549
1291,179.13499450683594,138.22000122070312,0.7715968708471898,14.379206777406747
1292,179.30999755859375,138.4499969482422,0.7721264783521086,14.2991272814842
1293,180.35000610351562,140.88999938964844,0.781203186146729,12.750047371642946
1294,179.05999755859375,140.94000244140625,0.7871104901321496,11.59495947784799
1295,178.8000030517578,140.34500122070312,0.7849272864949393,11.967236601374903
1296,178.1300048828125,139.10000610351562,0.7808903738313274,12.638278295068655
1297,177.5102996826172,138.64999389648438,0.7810814028503483,12.557420512158185
1298,177.55999755859375,139.08999633789062,0.7833408326782149,12.15999171853073
1299,177.5800018310547,139.05999755859375,0.7830836587719605,12.207127142665794
1300,178.5800018310547,138.91000366210938,0.7778586753153074,13.213770281038759
1301,179.3000030517578,138.53500366210938,0.7726436213284338,14.205558780912948
1302,179.88229370117188,139.66000366210938,0.7763966135217206,13.57937762429233
1303,180.91000366210938,140.09500122070312,0.774390572023659,14.02476702461706
1304,181.88999938964844,140.47999572753906,0.7723349068059535,14.479285114831523
1305,183.22500610351562,140.8968963623047,0.7689828989974379,15.206016969416392
1306,182.83999633789062,141.3300018310547,0.7729709290185888,14.443093176824046
1307,185.07330322265625,140.78500366210938,0.7606986054208752,16.9012519955084
1308,185.83999633789062,141.0312957763672,0.7588855927437002,17.311746957177316
1309,186.60000610351562,142.17999267578125,0.7619506325037709,16.81411184731385
1310,186.84820556640625,141.3699951171875,0.7566034401488769,17.83672928762999
1311,187.27999877929688,142.10499572753906,0.7587836216028866,17.47162400575382
1312,187.47000122070312,142.2899932861328,0.7590013994752091,17.449391894547713
1313,186.97000122070312,142.10000610351562,0.7600150033468628,17.211054456220605
1314,188.5,144.4550018310547,0.7663395322602371,16.16673102305671
1315,188.22999572753906,144.9499969482422,0.770068534443659,15.440436950558844
