,nke,bkng,Ratio,Spread
729,107.36000061035156,2115.31005859375,19.702962430775113,-232.4330753146661
730,107.75,2125.320068359375,19.72454819823086,-235.53897761462724
731,107.43000030517578,2113.2099609375,19.670575769659468,-229.0937823456601
732,107.98030090332031,2117.179931640625,19.607094200786054,-223.32185455136994
733,108.08000183105469,2100.5,19.43467768702852,-204.87693061133393
734,108.61000061035156,2105.550048828125,19.386336773737632,-200.54448134828283
735,105.31999969482422,2047.97998046875,19.445309403750358,-201.21686281276254
736,105.9749984741211,2025.9200439453125,19.116962237466215,-167.56156977807325
737,107.06999969482422,2042.530029296875,19.07658573940961,-164.78689375982606
738,106.44000244140625,2028.2950439453125,19.055759088899503,-161.70466622306833
739,107.0999984741211,2043.239990234375,19.077871329084,-164.9657902864534
740,107.13999938964844,2039.5899658203125,19.03668076758802,-160.60763497050755
741,107.36000061035156,2051.800048828125,19.111401240345113,-168.9230655490411
742,107.1050033569336,2124.0,19.83100633423863,-245.63719927549334
743,107.06999969482422,2135.20751953125,19.94216424411241,-257.46438399420106
744,107.1500015258789,2130.9951171875,19.887961613073998,-251.83571984668436
745,107.54000091552734,2131.89990234375,19.824250364460728,-245.8363975372705
746,107.96160125732422,2142.830078125,19.848076104555076,-249.30303838850398
747,108.69999694824219,2164.77001953125,19.915088135301524,-258.17125881878985
748,108.19999694824219,2147.489990234375,19.84741266916702,-249.74266320221807
749,110.9000015258789,2205.070068359375,19.88340881893328,-259.5249184162848
750,111.83999633789062,2223.3701171875,19.879919438393593,-261.1843637677081
751,112.77999877929688,2241.1201171875,19.871609695378933,-262.29362522884696
752,113.2300033569336,2232.7900390625,19.719067145340468,-245.99717575427837
753,113.16000366210938,2232.284912109375,19.726801342061425,-246.73124411390938
754,112.51000213623047,2219.300048828125,19.725357805441423,-245.25327162948554
755,112.93000030517578,2221.5400390625,19.67183240112577,-240.05808998732402
756,114.43000030517578,2257.43994140625,19.72769322193337,-249.40369129016415
757,114.625,2246.050048828125,19.594765965785168,-234.56174497920745
758,115.22000122070312,2256.4150390625,19.583535976018194,-234.39350752407597
759,115.06999969482422,2245.3701171875,19.513080065546358,-226.0040427655989
760,114.98999786376953,2242.514892578125,19.501825673871807,-224.5650799599906
761,115.51499938964844,2253.780029296875,19.510713251138547,-226.53618430199037
762,115.9800033569336,2265.969970703125,19.537591870294246,-230.49422215323523
763,116.95999908447266,2232.5400390625,19.08806477888291,-179.71555613402518
764,117.38999938964844,2229.699951171875,18.99395146745773,-169.2632298758532
765,118.28500366210938,2248.75,19.01128571144771,-172.46913678142585
766,118.25,2245.93994140625,18.993149610200845,-170.27874337513379
