,adi,avgo,Ratio,Spread
766,147.27999877929688,490.54998779296875,3.330730525928856,11.614707859789323
767,144.7949981689453,483.1400146484375,3.3367175714503254,10.493920916764953
768,147.41000366210938,491.57000732421875,3.334712672899642,11.040982168816218
769,148.4550018310547,492.510009765625,3.3175710059679435,13.688354569119245
770,148.7949981689453,490.114990234375,3.2938942589850164,17.25054773288682
771,147.9149932861328,489.8500061035156,3.3116994783343547,14.494562573083133
772,146.83999633789062,485.57000732421875,3.3067966455602678,15.084203683207793
773,146.14500427246094,486.05499267578125,3.325840627228144,12.213379652878675
774,141.04539489746094,473.3699951171875,3.356153495555983,7.391925125643841
775,141.8699951171875,472.8500061035156,3.332981055740024,10.742684728799677
776,141.30999755859375,471.44000244140625,3.3362112418544565,10.230272435725713
777,140.75,472.80499267578125,3.3591828964531527,6.94286624616743
778,142.32000732421875,477.3599853515625,3.3541312590301535,7.7775526565094175
779,142.375,477.6549987792969,3.354907805297959,7.671323618488405
780,142.88999938964844,477.8299865722656,3.3440407909112335,9.26427753950853
781,142.77999877929688,480.57000732421875,3.3658076161428117,6.146635626222551
782,143.5500030517578,481.7300109863281,3.355834209300835,7.629980093443326
783,143.91000366210938,482.9700012207031,3.3560557913311078,7.625836170529883
784,144.3800048828125,481.7300109863281,3.336542420658104,10.479293877699352
785,144.57000732421875,482.2799987792969,3.3359616403540437,10.581565579933429
786,145.69000244140625,486.44500732421875,3.3389045176236967,10.261388945378176
787,144.7100067138672,482.6199951171875,3.3350837725511573,10.722173230838596
788,148.52999877929688,496.510009765625,3.34282645826583,9.94581163777659
789,148.0800018310547,495.7149963378906,3.3476160873056626,9.196030271660536
790,148.97000122070312,497.94000244140625,3.3425521807151934,10.02630360732687
791,148.88999938964844,497.80999755859375,3.343475046002344,9.881670156269454
792,149.5,499.6499938964844,3.342140427401233,10.13574527996909
793,149.30999755859375,499.9649963378906,3.34850314455125,9.16848334336007
794,148.5399932861328,498.4100036621094,3.355392663186819,8.08012788981117
795,148.30799865722656,494.5199890136719,3.334412125381179,11.173728037360181
796,150.24000549316406,499.32501220703125,3.3235156679340685,13.001092271289483
797,148.5500030517578,494.885009765625,3.3314372238228573,11.63948431672063
798,149.00999450683594,496.07000732421875,3.329105601043836,12.033591700496263
799,150.1699981689453,498.5152893066406,3.319673006493597,13.57048698632909
800,150.16000366210938,497.9800109863281,3.316329241086626,14.071455158122692
801,149.9499969482422,498.69000244140625,3.3257086534889204,12.640531528897643
802,147.4199981689453,482.3699035644531,3.272079158566063,20.275396077100797
803,147.66000366210938,483.7799987792969,3.276310353386767,19.689215863866796
804,148.00999450683594,484.30999755859375,3.272143879015046,20.36070086560645
805,148.82000732421875,487.8599853515625,3.2781881557680106,19.591406559855873
806,148.30499267578125,485.45001220703125,3.2733221144368594,20.23338560849206
807,147.85000610351562,483.70001220703125,3.2715589600204265,20.42146193133519
808,147.57000732421875,482.9599914550781,3.272751694007785,20.200274705696675
809,148.3699951171875,487.57000732421875,3.2861766082766257,18.336537411443008
810,149.66000366210938,492.0450134277344,3.2877522476789127,18.290002416458922
811,149.6999969482422,490.17498779296875,3.274382082736071,20.297321027206497
812,149.72000122070312,488.7300109863281,3.264293394346747,21.81097051279116
813,149.5800018310547,487.66619873046875,3.260236614258572,22.39417877985463
814,147.9600067138672,481.6499938964844,3.2552715060896444,22.849101403214977
815,148.0500030517578,481.3500061035156,3.2512664382400396,23.458037678572598
816,148.24000549316406,479.3399963378906,3.2335400605472517,26.12030693940037
817,148.17999267578125,480.75,3.2443651218952616,24.504285240458987
818,148.7899932861328,483.5400085449219,3.2498153798222376,23.808348157127373
819,149.02999877929688,483.70001220703125,3.245655345695584,24.472259496627803
820,149.35000610351562,484.05999755859375,3.2411113342913964,25.210827480545024
821,149.66000366210938,483.9200134277344,3.2334625256343776,26.415002416458922
822,149.19000244140625,481.55999755859375,3.227830214345123,27.16155081280508
823,149.50999450683594,476.5899963378906,3.1876798464874523,33.23005298708185
824,149.6699981689453,477.6099853515625,3.1910869993627133,32.759340641149805
825,150.33999633789062,476.489990234375,3.169416002668106,36.17937287485344
826,151.67999267578125,479.17999267578125,3.1591509481414417,38.08944466647969
827,153.52000427246094,484.9949951171875,3.1591648099256076,38.59101914026937
828,153.69000244140625,486.239990234375,3.1637711139978166,37.9296108393406
829,153.32000732421875,484.4100036621094,3.159470261684438,38.48944095162571
830,155.6699981689453,490.3999938964844,3.1502537397364376,40.56673569931692
831,156.58999633789062,490.95001220703125,3.135257830568289,43.174979655414944
832,157.56500244140625,490.80499267578125,3.1149365980449693,46.66709822492939
833,157.4199981689453,490.6400146484375,3.116757847512334,46.33429099826478
834,157.7899932861328,491.05499267578125,3.112079431965709,47.18946943090154
835,157.8300018310547,492.2250061035156,3.118703670994099,46.156801361055244
836,157.97000122070312,494.6099853515625,3.1310374218490558,44.25242610180416
837,157.125,498.2699890136719,3.171169381153043,37.691617241707235
838,157.7899932861328,500.114990234375,3.169497506267573,38.12947187230779
839,157.3000030517578,499.9200134277344,3.178130983654471,36.642360909116036
840,157.17999267578125,497.7099914550781,3.1664971029850846,38.4403991900144
841,155.50999450683594,491.57000732421875,3.1610187427703256,38.847445603842715
842,155.47000122070312,491.3900146484375,3.1606741544361787,38.890145303642015
843,155.25,490.9800109863281,3.1625121480600846,38.54490664308568
844,158.46499633789062,505.5199890136719,3.190105074913612,35.04169147473962
845,159.76499938964844,507.7099914550781,3.1778549331498565,37.31447029038392
846,159.6999969482422,506.5199890136719,3.171696923562447,38.281325811651726
847,160.41000366210938,508.1700134277344,3.167944653240911,39.06868387199344
848,160.5,508.0899963378906,3.1656697591145835,39.45764944422612
849,161.52000427246094,509.2799987792969,3.153045971446453,41.769220282278724
850,161.4600067138672,509.0,3.1524834561788975,41.84325340664961
851,161.5,512.6533203125,3.174323964783282,38.32722607013156
852,161.89999389648438,514.635009765625,3.178721613137752,37.71867590445001
853,162.66000366210938,515.3375244140625,3.1681883241842512,39.625199236823704
854,162.2050018310547,512.9299926757812,3.162232895937609,40.470754916041955
855,162.47999572753906,511.7650146484375,3.149710906606686,42.57975965576483
