,gs,spgi,Ratio,Spread
79,319.0,393.75,1.2343260188087775,-57.016264581382075
80,321.2699890136719,397.1000061035156,1.2360320592740355,-57.9700892431016
81,321.6499938964844,396.9700012207031,1.2341676006636542,-57.43895438014249
82,321.5828857421875,397.1300048828125,1.2349226979733958,-57.6697968493786
83,322.4150085449219,396.3599853515625,1.2293471918083427,-56.021395438217155
84,323.29998779296875,391.3800048828125,1.2105784709569494,-50.10723826738945
85,323.1300048828125,393.989990234375,1.2192924961495322,-52.89665615905926
86,320.0299987792969,390.989990234375,1.2217291870316647,-53.16899670782834
87,320.80999755859375,390.0,1.215672837405166,-51.35564627729474
88,322.489990234375,389.3800048828125,1.207417335960797,-48.962264924396436
89,321.3689880371094,387.94000244140625,1.2071482217711988,-48.70558303878249
90,321.45001220703125,387.42999267578125,1.2052573587281599,-48.110044836176314
91,323.8800048828125,389.7699890136719,1.2034394934466546,-47.88496120304592
92,326.2900085449219,388.57000732421875,1.190873140912381,-44.14099977843722
93,326.05999755859375,387.4800109863281,1.1883702811986223,-43.29380111645128
94,329.5450134277344,389.17999267578125,1.1809615585675497,-41.31502916449722
95,330.7749938964844,390.8299865722656,1.1815584423971766,-41.66666595209716
96,330.2099914550781,388.8999938964844,1.177735392508226,-40.333085134044325
97,330.04998779296875,390.4100036621094,1.18288143645381,-42.01199342889424
98,333.9100036621094,396.1099853515625,1.1862776826309003,-43.637374609285075
99,334.92999267578125,395.7900085449219,1.1817096623175647,-42.24070591969877
100,335.6199951171875,394.6199951171875,1.1757940553553703,-40.342331678350945
101,334.8299865722656,394.70001220703125,1.1788072396014149,-41.25627518933629
102,335.3380126953125,395.019287109375,1.1779734839315363,-41.03928195969314
103,336.54998779296875,397.05999755859375,1.1797950139961026,-41.80064161935661
104,336.05999755859375,395.5,1.1768731859585357,-40.75787365932007
105,341.9200134277344,400.7250061035156,1.1719846466027641,-39.79709595961276
106,342.989990234375,400.25,1.166943675897065,-38.19263127643768
107,343.1600036621094,400.95001220703125,1.1684054316592924,-38.71317872926102
108,342.8699951171875,401.3599853515625,1.1705894101768342,-39.42928247139372
109,341.79998779296875,398.5950012207031,1.1661644688593014,-37.7937891342944
110,341.875,398.55999755859375,1.1658062085808958,-37.67960321301376
111,341.1400146484375,397.239990234375,1.1644485348450004,-37.135440286630796
112,344.0899963378906,399.4750061035156,1.1609608252349128,-36.25648012534481
113,341.55999755859375,394.8500061035156,1.1560194663480172,-34.30212570389398
114,339.0,392.4800109863281,1.1577581445024427,-34.63444262610403
115,338.1400146484375,393.54998779296875,1.1638669508018467,-36.61221278646548
116,336.4049987792969,391.8599853515625,1.1648459053031124,-36.753678604075844
117,334.614990234375,391.0299987792969,1.1685967759705176,-37.81321010003211
118,334.3599853515625,390.75,1.1686506074856604,-37.802392344996804
119,329.0375061035156,384.6300048828125,1.168954899511691,-37.30076186380586
120,327.31500244140625,384.5400085449219,1.1748316015968736,-39.02902600370311
121,326.2300109863281,384.8699951171875,1.1797504280908016,-40.50432049310274
122,325.7699890136719,385.7300109863281,1.1840563096502417,-41.84993171405267
123,323.9599914550781,383.2200012207031,1.1829238527247037,-41.25054025251501
124,323.010009765625,383.05999755859375,1.1859075136295028,-42.09332932667161
125,319.69000244140625,379.7900085449219,1.1879946374442252,-42.327912312690444
126,316.32000732421875,379.1199951171875,1.1985330878188827,-45.21523758136061
127,314.2699890136719,376.1499938964844,1.19690077654892,-44.4092185656325
128,316.1499938964844,374.989990234375,1.1861141783135898,-41.264697452756025
129,318.135009765625,375.9200134277344,1.1816367324824781,-40.09935447532871
130,319.7225036621094,378.17999267578125,1.1828382060821443,-40.683588426455685
131,320.739990234375,379.8900146484375,1.1844173667612812,-41.319560072412
132,321.42999267578125,381.010009765625,1.1853592335732674,-41.711194375986054
133,319.4800109863281,378.2650146484375,1.18400213359397,-41.02458364214482
134,315.20001220703125,376.8299865722656,1.1955265608452903,-44.10748652691262
135,316.510009765625,377.1099853515625,1.1914630618817132,-43.00466282566231
136,313.9800109863281,375.44500732421875,1.1957608579756596,-44.01033037686773
137,315.6000061035156,376.5299987792969,1.1930608095609365,-43.38526851793188
138,313.864990234375,376.0799865722656,1.198222160080461,-44.766724569917244
139,312.82000732421875,375.6700134277344,1.200914278601034,-45.45982665668856
140,314.3500061035156,380.0199890136719,1.2089072105458496,-48.19474831115724
141,315.9200134277344,380.2799987792969,1.2037224063561411,-46.79747145948204
142,316.3999938964844,383.6099853515625,1.2124209631845537,-49.62079465817345
143,314.5199890136719,383.70001220703125,1.2199542973732973,-51.6953389644093
144,315.67999267578125,382.55999755859375,1.2118601318883757,-49.330834139666536
145,314.4800109863281,381.2799987792969,1.212414097746495,-49.31752600840571
146,313.2699890136719,380.4200134277344,1.2143519225237114,-49.73482974396279
147,313.0199890136719,381.67999267578125,1.2193470259789398,-51.25870690377974
148,313.7799987792969,382.05999755859375,1.2176046881411422,-50.836451826299026
149,315.0,384.4700012207031,1.2205396864149305,-51.95863239040642
150,317.92999267578125,386.68499755859375,1.2162583161914122,-51.08075293373588
151,316.5450134277344,386.55999755859375,1.2211849220832647,-52.41772545935373
152,318.70001220703125,388.30999755859375,1.2184185211337333,-51.89292674845967
153,318.5,386.9100036621094,1.214788080571772,-50.704064067031595
154,315.17999267578125,382.3699951171875,1.213179782989979,-49.66862752180043
155,315.6000061035156,384.29998779296875,1.2176805461369977,-51.15525753160375
156,313.8800048828125,381.75,1.216229113232386,-50.42088866017713
157,313.6400146484375,383.5199890136719,1.2228031217367579,-52.44420936063608
158,310.2601013183594,380.3999938964844,1.2260680386555864,-52.89202252253443
159,307.6400146484375,377.6600036621094,1.2276036460786441,-52.91777389155544
160,305.489990234375,376.8299865722656,1.2335264611555943,-54.3573046142148
161,308.8500061035156,370.0899963378906,1.1982839210754281,-44.07050969431765
162,307.4800109863281,366.0400085449219,1.1904513967289978,-41.46667730359286
163,308.7250061035156,367.0450134277344,1.1889060042796276,-41.15747574004649
