,hd,bkng,Ratio,Spread
81,298.83935546875,2227.2900390625,7.453134931203566,-225.48583870112586
82,294.6097412109375,2199.31005859375,7.465164083013355,-225.9334633548485
83,302.0581359863281,2239.3798828125,7.413738006096481,-215.9419787722131
84,309.26123046875,2251.800048828125,7.281223208661014,-179.94952058034048
85,304.57037353515625,2239.320068359375,7.352389670628593,-198.9971973554884
86,294.5115661621094,2213.8701171875,7.517090571474905,-241.15336498648568
87,299.2514953613281,2246.0400390625,7.5055265349653215,-241.46581065429197
88,294.3643798828125,2159.9599609375,7.337708325298692,-188.23246051507724
89,295.97381591796875,2258.949951171875,7.632262820836688,-276.40529124305243
90,305.9443054199219,2317.800048828125,7.575888839136403,-268.24286218584433
91,294.79620361328125,2210.31005859375,7.497756183771189,-235.68023333884295
92,301.24365234375,2192.919921875,7.279555618229767,-174.9562332024993
93,299.2711181640625,2105.929931640625,7.036863244805801,-101.22381666935777
94,309.4280700683594,2103.330078125,6.797476640242524,-30.358206424269127
95,293.5302429199219,2171.909912109375,7.399271334033866,-205.788718729093
96,288.8197937011719,2194.22998046875,7.597228542926721,-259.7681257841295
97,291.4890441894531,2023.5699462890625,6.942181830250349,-71.16782702507336
98,285.72857666015625,2044.97998046875,7.157071946993374,-131.2944642475097
99,277.6815185546875,2072.14990234375,7.462325592027667,-212.54936320932572
100,284.2859802246094,2053.050048828125,7.221777335646472,-149.06034866033812
101,290.5076904296875,2101.889892578125,7.235229778148858,-156.0835372461638
102,290.46844482421875,2046.010009765625,7.0438288434525065,-100.46742755978218
103,295.3359680175781,2146.590087890625,7.268298887871531,-168.3324591507605
104,279.860107421875,2050.3798828125,7.326445707825216,-176.1368585090731
105,282.3919982910156,2103.39990234375,7.44851098853062,-212.1398194023686
106,281.8326110839844,2115.89990234375,7.507647515330385,-228.39950945038524
107,280.6942443847656,2106.64990234375,7.505141072490356,-226.80057099818234
108,282.5489807128906,2050.06005859375,7.255591768270785,-157.74488314789525
109,288.0935974121094,2147.219970703125,7.453202674378043,-217.63894440817214
110,297.1612243652344,2221.510009765625,7.475773511537345,-230.9846744370054
111,302.705810546875,2265.97998046875,7.48574986510824,-238.18899940232788
112,297.10235595703125,2243.56005859375,7.5514717861013105,-253.430382954308
113,293.48797607421875,2238.570068359375,7.6274677358273575,-272.7329541234739
114,302.059814453125,2372.360107421875,7.853941484129557,-348.91092226033123
115,301.2796630859375,2335.8701171875,7.753162272095388,-317.6643971862126
116,300.1044921875,2347.300048828125,7.8216091725863715,-336.9927545971065
117,298.0108947753906,2326.72998046875,7.807533285729018,-330.49393644853825
118,293.82373046875,2345.800048828125,7.983698406816108,-377.7063001182316
119,296.12469482421875,2277.840087890625,7.69216525235345,-294.2813577164456
120,285.636962890625,2104.9599609375,7.369354230753123,-191.8901888255966
121,279.6327209472656,1979.3199462890625,7.078284471087814,-106.60520624901662
122,275.19866943359375,1951.510009765625,7.091277053708757,-108.59691541715526
123,276.2454528808594,1973.239990234375,7.143067766930464,-123.29137333614946
124,270.0535583496094,1846.239990234375,6.836569758670782,-37.907634764540234
125,267.3575439453125,1906.8699951171875,7.132284232485448,-116.65778683294681
126,265.84661865234375,1937.2900390625,7.287247243855139,-157.23289102252053
127,265.6293640136719,1889.8399658203125,7.114574749059155,-111.24300509358065
128,271.9891357421875,1835.06005859375,6.746813815141363,-13.718519201631322
129,279.4747314453125,1931.050048828125,6.909569386976912,-59.3971699653068
130,279.1685791015625,1896.239990234375,6.792454925754794,-26.644787888834543
131,266.7847900390625,1838.4200439453125,6.891022699143125,-52.05736445655336
132,270.45843505859375,1810.3299560546875,6.693560715392318,0.723610973632761
133,270.85345458984375,1748.989990234375,6.457329454715241,64.71853740395775
134,275.603515625,1767.97998046875,6.414939869179145,77.65412032690963
135,280.1956481933594,1787.9599609375,6.381112527856436,88.53826206085003
136,280.0474548339844,1750.8599853515625,6.2520117756095805,124.64221719544187
137,283.1187744140625,1785.9200439453125,6.3080240709625155,110.22476450035245
138,282.9014892578125,1769.47998046875,6.2547566826563985,125.20443555237173
139,282.822509765625,1724.550048828125,6.097640708503929,169.60353916003058
140,281.56829833984375,1738.25,6.17345777294143,147.47392396232956
