,abbv,jnj,Ratio,Spread
644,151.47000122070312,176.2899932861328,1.163860776823162,-0.800938295632186
645,153.02999877929688,176.6699981689453,1.1544795110646413,0.6384393903343335
646,153.27999877929688,176.88999938964844,1.154031842369381,0.7100063452921928
647,152.94000244140625,177.52999877929688,1.1607819795040963,-0.32652149223698523
648,152.0500030517578,177.86000061035156,1.1697467743542762,-1.6945053168083677
649,151.47999572753906,177.9499969482422,1.1747425532564288,-2.4492856372424328
650,150.88999938964844,177.3300018310547,1.1752270034353258,-2.517387143596629
651,152.8000030517578,176.82000732421875,1.1571989777010978,0.22019249630736915
652,153.49000549316406,177.50999450683594,1.156492202449896,0.33493632585993516
653,152.3000030517578,177.33999633789062,1.1644122966801465,-0.8829328686864744
654,151.8000030517578,177.5,1.169301689272559,-1.6260728821177894
655,152.03500366210938,176.9499969482422,1.16387669080145,-0.8019950334022996
656,152.0500030517578,177.0800018310547,1.1646168910024728,-0.9145065375114927
657,152.07000732421875,177.10000610351562,1.1645952362317706,-0.9111803730650012
658,153.3000030517578,177.42999267578125,1.1574037126136036,0.19334349606680923
659,154.05999755859375,177.69000244140625,1.15338183342386,0.81969457792389
660,153.97999572753906,176.69000244140625,1.147486734277169,1.7263906262032618
661,152.35000610351562,176.32000732421875,1.1573350853981357,0.19537333929944345
662,152.6999969482422,176.6699981689453,1.156974470856262,0.25356726295274945
663,152.47000122070312,176.77999877929688,1.1594411842589585,-0.1246710861523399
664,151.9600067138672,176.1699981689453,1.1593181783721838,-0.10946314762187392
665,150.77999877929688,175.64999389648438,1.1649422689914646,-0.965669918153502
666,150.9600067138672,175.14999389648438,1.16024103144396,-0.255731577804845
667,152.14999389648438,175.69000244140625,1.1547158034126335,0.5921094448558291
668,152.91000366210938,176.14999389648438,1.1519847601712785,1.0184966331689294
669,153.13999938964844,176.58999633789062,1.1531278375454095,0.8467319305162062
670,152.86500549316406,176.6300048828125,1.1554639618987956,0.48600551073094045
671,154.30999755859375,177.94000244140625,1.1531333371568477,0.8612627535848458
672,153.77999877929688,177.66000366210938,1.155286806297123,0.5231384241531953
673,153.1999969482422,177.92999267578125,1.1614229518287391,-0.42329089256124797
674,153.22999572753906,176.86000061035156,1.1542126577150693,0.681687930275025
675,153.36000061035156,176.5334930419922,1.1511051926148497,1.1598166446690426
676,153.35000610351562,176.1699981689453,1.1488098543017047,1.5116551972167895
677,153.66969299316406,176.8800048828125,1.1510402697992046,1.174490576139682
678,153.49000549316406,176.86000061035156,1.1522574387960935,0.9849302223443102
679,155.3300018310547,177.00999450683594,1.1395737617988415,2.9808738277065245
680,155.72999572753906,178.08999633789062,1.143581848223203,2.36737395934572
