,intc,asml,Ratio,Spread
83,48.95000076293945,681.3499755859375,13.919304697984694,51.48852062577986
84,48.55179977416992,679.989990234375,14.005453832756514,46.7626455152623
85,48.8661003112793,677.7000122070312,13.868510232861864,53.85620079618126
86,48.879398345947266,680.8400268554688,13.928977235701167,50.919425179518264
87,49.060001373291016,682.9373779296875,13.920451667608159,51.58230035898031
88,49.07500076293945,681.0,13.876719091449894,53.748919789797235
89,49.45500183105469,683.5,13.820644519131413,57.05662379158013
90,49.5099983215332,686.760009765625,13.871137811510184,54.637146762929426
91,49.18000030517578,662.3499755859375,13.467872539159597,74.00369301326668
92,48.79199981689453,657.6500244140625,13.478644590959092,72.77368193618986
93,48.665000915527344,655.9500122070312,13.478886260489928,72.53272057872425
94,48.814998626708984,657.0399780273438,13.459797122023193,73.73522807120696
