,wmt,cost,Ratio,Spread
1151,132.71609497070312,543.8099975585938,4.097543690376355,-53.183857454714904
1152,132.9149932861328,544.2100219726562,4.094421618794412,-52.843010278299936
1153,132.77000427246094,545.5219116210938,4.108773774696982,-54.69496604508932
1154,132.6300048828125,545.77001953125,4.114981523324789,-55.464554342098744
1155,139.97999572753906,551.8400268554688,3.942277780387888,-34.15675610087677
1156,139.7050018310547,552.4000244140625,3.9540461484842186,-35.741071864578736
1157,140.28140258789062,555.4400024414062,3.95946998101481,-36.634028462671345
1158,140.41250610351562,555.8499755859375,3.958692790342699,-36.55565724929064
1159,140.61000061035156,557.2849731445312,3.9633381034457127,-37.25501223055024
1160,139.24899291992188,553.0499877929688,3.9716623883306075,-38.08961195859202
1161,139.35000610351562,553.02001953125,3.9685683194046018,-37.68338209894758
1162,141.85549926757812,552.6500244140625,3.8958660557220552,-27.98073526281822
1163,140.9550018310547,554.7999877929688,3.936007808065859,-33.484940061903295
1164,139.74000549316406,553.780029296875,3.9629312117349627,-36.99069244140306
1165,140.0500030517578,555.2335815429688,3.964538160972213,-37.289542176400424
1166,139.77000427246094,558.260009765625,3.994133166636954,-41.358931172763015
1167,139.4199981689453,556.521728515625,3.9916922667094523,-40.9243793084457
1168,139.5565948486328,556.3099975585938,3.9862680668153585,-40.203842637724016
1169,138.98989868164062,557.7999877929688,4.0132412001437725,-43.804705906141486
1170,139.17999267578125,558.0050048828125,4.009232894433907,-43.30164641185271
1171,138.65750122070312,556.9000244140625,4.016371415258932,-44.142881900228154
1172,138.59500122070312,558.8400268554688,4.032180251332109,-46.31568910071345
1173,139.07000732421875,560.22998046875,4.028402609936349,-45.93630381015392
1174,139.16690063476562,561.3300170898438,4.033502323681243,-46.67542485015584
1175,139.10000610351562,561.02001953125,4.033213478896251,-46.61460113526399
1176,137.5500030517578,555.3400268554688,4.0373683354009335,-46.70817785206392
1177,138.2100067138672,557.5198974609375,4.033860577224031,-46.429616560753594
1178,138.22000122070312,556.7050170898438,4.027673362561498,-45.57750788956306
1179,137.74000549316406,556.9099731445312,4.043196972082089,-47.570388579589995
1180,137.42030334472656,554.9299926757812,4.038195078668311,-46.781259017145
1181,137.36270141601562,554.52001953125,4.036903859744538,-46.585845922790405
1182,136.99000549316406,554.5399780273438,4.048032380398845,-47.99405057135154
1183,135.50999450683594,548.1099853515625,4.044793798024341,-47.07691551327459
1184,135.27999877929688,547.2999877929688,4.0456829740652465,-47.12362355370404
1185,135.64190673828125,549.47998046875,4.050960309257244,-47.95555390628274
1186,134.75,546.8142700195312,4.057990872130102,-48.61208559028923
1187,134.97999572753906,547.5399780273438,4.056452773435915,-48.48108799907853
1188,134.7550048828125,546.3200073242188,4.054172294374648,-48.09918032637861
1189,134.61000061035156,545.780029296875,4.054528094660036,-48.09932525448621
1190,133.64999389648438,539.3900146484375,4.035840174195668,-45.28521671382716
1191,133.52000427246094,539.2999877929688,4.039095045956358,-45.67938510801533
1192,133.97999572753906,539.510009765625,4.026795245334754,-44.17599588262518
1193,134.26499938964844,541.8200073242188,4.035452350108095,-45.42439009891441
1194,134.1699981689453,541.3049926757812,4.034471193732717,-45.26324323124512
1195,134.52499389648438,542.6649780273438,4.033934232659538,-45.300913465626216
1196,134.02999877929688,541.9099731445312,4.043199120197546,-46.38970408684829
1197,134.19970703125,540.280029296875,4.025940452843644,-44.127618019837165
1198,134.72000122070312,543.5800170898438,4.034887263690946,-45.48957439799178
1199,134.9362030029297,544.780029296875,4.037315540033736,-45.88426174384343
1200,134.9600067138672,542.989990234375,4.0233399764538,-44.00555680630358
1201,135.11000061035156,543.9600219726562,4.026052990269769,-44.41687985763476
