,intc,avgo,Ratio,Spread
83,47.400001525878906,601.4400024414062,12.688607237977386,146.43649369214904
84,47.95500183105469,609.3599853515625,12.706911940037783,147.4620209099702
85,47.994998931884766,612.4099731445312,12.759870544297184,145.05670748425587
86,47.875,608.5900268554688,12.712063224135118,146.94250770076508
87,48.119998931884766,608.7899780273438,12.651496083553605,150.69145602692663
88,48.16999816894531,609.1500244140625,12.645838645822808,151.13729871332225
89,48.3849983215332,610.4400024414062,12.616307194739257,153.31269903722557
90,48.38999938964844,611.08837890625,12.628402285885825,152.7449299253118
91,48.630001068115234,606.3099975585938,12.467817895157877,161.39166490346975
92,48.647098541259766,608.0891723632812,12.500009057015678,159.88806763946263
93,48.915000915527344,608.9749755859375,12.449656837124323,163.3203222268121
94,48.45000076293945,603.6799926757812,12.45985517378052,161.12041993475475
95,48.630001068115234,602.5800170898438,12.391116673960585,165.12164537221975
96,48.38999938964844,601.7349853515625,12.435110414163082,162.0983234799993
97,48.2599983215332,599.27001953125,12.417530882172882,162.46792852189856
98,49.9900016784668,604.7100219726562,12.096619357249097,184.9121675963287
99,50.62990188598633,614.7000122070312,12.141046877619408,185.23610644249322
100,50.595001220703125,620.22998046875,12.258720535714824,179.1436083013266
101,51.040000915527344,624.3350219726562,12.23226901986049,182.21108407330928
102,51.26499938964844,623.8599853515625,12.169316156815052,186.31265226611492
103,51.4900016784668,623.8200073242188,12.115361953563527,189.97922335056558
104,51.63010025024414,626.6599731445312,12.137492859924633,189.39737014940295
105,51.650001525878906,626.739990234375,12.134365376937131,189.63812236561216
106,51.29999923706055,620.7349853515625,12.100097360296378,190.00178076583438
107,51.59000015258789,622.7661743164062,12.071451298206027,192.6448345046067
108,51.50640106201172,623.3200073242188,12.101796950902578,190.74354906394922
109,51.79999923706055,628.5150146484375,12.133494669991492,190.28076517089255
110,51.42499923706055,623.0449829101562,12.115605097785695,189.706536632724
111,51.849998474121094,629.4400024414062,12.13963396268115,190.16166645103817
112,51.220001220703125,624.2899780273438,12.188402248124229,185.15737787014928
113,51.040000915527344,620.9299926757812,12.165556064613677,185.61611337018428
114,50.56999969482422,616.5499877929688,12.192010905945724,182.4206256978532
115,50.935001373291016,621.9199829101562,12.210070995232659,182.93373763665068
116,50.96500015258789,625.3900146484375,12.270970524399804,179.94722704515902
117,51.25899887084961,630.5599975585938,12.301449724902564,179.51592353264675
118,51.52000045776367,633.2000122070312,12.290372798543189,181.08273961454267
119,51.66999816894531,632.8099975585938,12.247145732219613,183.89042148232306
120,51.7400016784668,632.8699951171875,12.231735109907735,184.95874240856347
121,51.692100524902344,632.3599853515625,12.233203505570973,184.6966800683598
122,51.42499923706055,632.1199951171875,12.29207592601453,180.63152442569276
123,51.775001525878906,635.9453125,12.28286419619192,182.44755352547043
124,52.19499969482422,640.47998046875,12.270906872565066,184.68242755335473
125,52.2599983215332,641.9600219726562,12.28396560640805,184.25003569595754
126,52.220001220703125,638.8099975585938,12.233052137603769,186.7553857427656
127,52.08000183105469,636.1500244140625,12.214861790475856,187.1588448884188
128,52.02830123901367,636.5999755859375,12.235647915188512,185.8755821572306
129,51.89500045776367,636.6599731445312,12.26823330819115,183.66703895349258
130,51.63930130004883,636.5700073242188,12.327238969122474,179.63563874261172
131,51.29999923706055,628.8200073242188,12.257700130138437,181.91675879317813
132,51.439998626708984,631.4299926757812,12.275077945821064,181.5632874404938
133,50.55500030517578,636.3300170898438,12.586885832234815,162.3988358275834
134,50.52000045776367,637.5650024414062,12.620051398741195,160.59972197630134
135,50.22999954223633,636.2000122070312,12.665737965457813,157.29046950706038
136,50.0,635.7750244140625,12.71550048828125,154.00831837538726
137,49.90520095825195,634.0499877929688,12.705088359896223,154.20538144372574
138,50.005001068115234,635.1599731445312,12.701928998648283,154.70397699784849
139,49.5099983215332,629.530029296875,12.715210071479154,152.35545301110642
140,48.244998931884766,628.969970703125,13.036998334089368,132.52621677662876
141,48.062801361083984,624.2899780273438,12.989046837640757,134.26954401332512
142,47.51499938964844,622.5,13.10112612851295,127.23003485317874
143,47.42499923706055,618.9400024414062,13.050922770658305,129.33940748600867
144,47.90340042114258,624.2000122070312,13.030390467469513,131.79028111545995
145,47.790000915527344,622.1900024414062,13.019250690979833,131.97251454199375
146,48.119998931884766,627.0999755859375,13.032003106933054,132.38145846833288
147,48.845001220703125,631.030029296875,12.919029860304532,140.13701151643556
148,48.92499923706055,631.9299926757812,12.916300511602177,140.52645835743317
149,48.92499923706055,631.7750244140625,12.913133045804827,140.68142661915192
150,48.96500015258789,630.72998046875,12.88124126423422,142.37120641711385
151,49.020999908447266,630.760009765625,12.867138796508574,143.24378271979015
152,49.1349983215332,634.1799926757812,12.906889474703707,141.66122935575027
153,49.21500015258789,634.6400146484375,12.895255769191865,142.490679088393
154,48.54999923706055,619.2999877929688,12.755921679195977,147.11220296379577
155,48.380001068115234,614.4400024414062,12.700289145846092,149.2321531696906
156,48.45500183105469,614.3699951171875,12.679186294518708,150.51102484627836
