,de,noc,Ratio,Spread
603,360.0899963378906,441.3599853515625,1.2256935483911975,11.897813080991499
604,363.9649963378906,445.19000244140625,1.2231670817819786,12.958976438495698
605,366.0299987792969,445.8599853515625,1.2180968413476958,14.895522448373514
606,366.3800048828125,449.6099853515625,1.2271684572289125,11.58731419288141
607,365.510009765625,449.5299987792969,1.229870555576707,10.569158027992033
608,364.8749084472656,448.4800109863281,1.2291336033350337,10.817495459555788
609,328.010009765625,443.739990234375,1.3528245389567326,-30.97483775626007
610,322.04998779296875,440.6199951171875,1.3681726806971408,-35.37782146189075
611,318.6600036621094,442.67999267578125,1.3891922035662068,-41.716792981175914
612,312.9800109863281,437.7349853515625,1.398603648750859,-43.94130026776004
613,309.6759033203125,439.6099853515625,1.4195808606291624,-49.98687750955311
614,310.5539855957031,440.95001220703125,1.4198819936611122,-50.2185536923629
615,313.0,443.239990234375,1.4161022052216454,-49.42107421564772
616,329.989990234375,455.8900146484375,1.381526798205734,-40.62565139486942
617,334.739990234375,456.07000732421875,1.3624604786685095,-34.81000352228865
618,334.5899963378906,454.6449890136719,1.358812259750115,-33.57431352495617
619,334.8900146484375,455.3500061035156,1.3597001588164257,-33.90063546785974
620,334.6700134277344,456.3399963378906,1.3635520902037093,-35.16832006845301
621,335.2699890136719,457.67999267578125,1.3651087412333756,-35.75100315348591
622,335.35009765625,456.7699890136719,1.362069050243376,-34.739883149120615
623,330.9800109863281,461.55999755859375,1.3945252952984508,-45.045990396787786
624,330.0799865722656,459.9700012207031,1.3935107244679925,-44.5920409792064
625,333.3599853515625,464.1199951171875,1.3922486666410339,-44.601888837852826
626,333.1300048828125,463.3999938964844,1.391048500898314,-44.17217819057471
627,335.17999267578125,467.9949951171875,1.39624979218219,-46.17960258282086
628,335.5799865722656,470.6700134277344,1.4025568635225443,-48.34973255129212
629,337.010009765625,471.2900085449219,1.3984451348275455,-47.164695027805195
630,343.57000732421875,470.42999267578125,1.369240570035695,-38.02438708298861
631,340.8349914550781,471.9599914550781,1.3847169547944793,-43.0066326086925
632,337.760009765625,470.92999267578125,1.3942739787417824,-45.85799907208106
633,340.2799987792969,471.0799865722656,1.3843892919425003,-42.82716174502902
634,341.75,470.4700012207031,1.3766496012310259,-40.36168188294245
635,345.07000732421875,469.82000732421875,1.3615208431684651,-35.5210415582592
636,342.9700012207031,467.6099853515625,1.363413662090676,-35.96173153213893
637,344.4649963378906,471.375,1.3684264149081249,-37.83970337126853
638,345.4100036621094,474.6499938964844,1.37416400470208,-39.92187111373495
639,346.9065856933594,473.2900085449219,1.364315432637178,-36.6728398862751
640,346.5150146484375,471.5799865722656,1.3609222303129198,-35.45707459456584
641,348.32000732421875,469.8999938964844,1.3490468075785784,-31.498747755329713
642,347.7099914550781,469.19000244140625,1.3493716429544205,-31.558742801338735
643,347.510009765625,467.29998779296875,1.3447094318466828,-29.921153063683345
644,356.5299987792969,468.6199951171875,1.3143914866116997,-19.85576841397552
645,356.010009765625,467.3800048828125,1.3128282690436335,-19.272129172247684
646,356.8999938964844,467.5,1.3098907480945325,-18.268750617355305
647,356.4100036621094,468.1199951171875,1.3134311335463624,-19.507231064547067
648,358.0950012207031,467.82000732421875,1.306413118668164,-17.08037175869499
649,359.9700012207031,469.4599914550781,1.3041642077480924,-16.35365567309567
650,360.8800048828125,470.760009765625,1.3044779522170908,-16.505030856126563
651,360.7799987792969,458.9049987792969,1.271980155030786,-4.776251585445221
652,358.3599853515625,462.4649963378906,1.2905040050277874,-11.390887172439944
653,358.0299987792969,464.44000244140625,1.2972097422699613,-13.782415565027305
654,356.5899963378906,465.6600036621094,1.3058695096451003,-16.820045633611652
655,358.4100036621094,467.20001220703125,1.3035350783553563,-16.062767923501564
656,359.44000244140625,466.8999938964844,1.298965030951433,-14.462643834867164
657,357.94000244140625,467.7200012207031,1.3066994413323991,-17.17601133225288
658,351.29449462890625,462.6549987792969,1.3170004251504923,-20.49923543928487
659,350.8399963378906,460.95001220703125,1.3138468162651977,-19.367934842340173
660,349.2300109863281,462.9100036621094,1.3255161042852976,-23.36011439343873
661,352.0299987792969,463.55999755859375,1.3168195868705495,-20.475851374882676
662,352.8800048828125,463.8900146484375,1.3145828843504188,-19.73295666249619
663,352.760009765625,465.3599853515625,1.3191971098445918,-21.354390016192735
664,352.1199951171875,464.1400146484375,1.318130242771272,-20.942271476797725
665,352.04998779296875,457.19500732421875,1.298665028197879,-14.085630205582857
666,356.6400146484375,455.57000732421875,1.2773945396264712,-6.666914177641969
