,amat,txn,Ratio,Spread
80,115.99514770507812,171.42251586914062,1.4778421275430296,7.048037205630246
81,112.52105712890625,170.0030517578125,1.5108554442663455,3.0757706314916877
82,114.01988220214844,172.8419647216797,1.5158932054958998,2.563009206382455
83,116.19367218017578,175.28933715820312,1.508596241681652,3.489322593907085
84,117.01753234863281,175.64173889160156,1.5009865219880762,4.415538113976519
85,114.83381652832031,173.49786376953125,1.5108603808072791,3.170322670166465
86,111.96520233154297,169.66041564941406,1.5152959322757114,2.5557293565877135
87,113.62284851074219,170.24778747558594,1.498358734242526,4.540996779183908
88,108.1139144897461,164.89297485351562,1.5251781015583767,1.3460355960054162
89,108.00472259521484,165.82296752929688,1.5353307109613712,0.24657891937560272
90,113.78165435791016,172.14694213867188,1.5129586848611691,2.888306144721705
