,alb,lin,Ratio,Spread
521,210.3350067138672,314.0450134277344,1.4930705940687794,-41.08250222133883
522,207.91000366210938,313.2900085449219,1.5068539417375688,-43.489581564581115
523,209.22999572753906,314.1000061035156,1.5012188143068124,-42.5783746547569
524,211.55999755859375,315.1099853515625,1.489459203005944,-40.55014657711975
525,212.97999572753906,315.3999938964844,1.4808902254837544,-38.98854763322062
526,208.75999450683594,314.7300109863281,1.5076164939064614,-43.82123791939064
527,207.60000610351562,316.54998779296875,1.5248072181420234,-47.153782320487224
528,208.39999389648438,317.9750061035156,1.5257918206152103,-47.53565605463895
529,209.07000732421875,317.1199951171875,1.5168124743278382,-45.806980645683396
530,212.10499572753906,318.53900146484375,1.5017986746244545,-43.26851199163117
531,211.85000610351562,318.04998779296875,1.5012979873956716,-43.1119921973815
532,208.19000244140625,319.135009765625,1.5329026659454674,-48.969478204204464
533,213.49000549316406,320.1000061035156,1.499367641890689,-43.02353229158645
534,213.38999938964844,319.5199890136719,1.4973522186024797,-42.57391822214579
535,211.36000061035156,319.02801513671875,1.509405820474312,-44.7289625063748
536,208.8300018310547,318.2900085449219,1.5241584339132521,-47.28994938436075
537,212.31500244140625,319.20001220703125,1.5034265527002626,-43.65568434965515
538,211.17999267578125,318.1400146484375,1.506487478370496,-44.075683475477675
539,204.77000427246094,318.2200012207031,1.5540362093135915,-52.51397838250627
540,202.17999267578125,317.5799865722656,1.5707785046839005,-55.251210954117894
541,203.19500732421875,318.8500061035156,1.569182286033029,-55.19770150806944
542,205.36000061035156,317.9200134277344,1.5481106957676403,-51.444664500598506
543,206.91000366210938,318.2650146484375,1.5381808951498275,-49.76853828529808
544,207.24000549316406,317.75,1.533246436873315,-48.823217545579226
545,206.02999877929688,317.25,1.5398243065556878,-49.901006546944146
546,208.39999389648438,316.8399963378906,1.5203455163980002,-46.40064628901395
547,209.25999450683594,316.1199951171875,1.5106566157673331,-44.559246741649375
548,206.25,315.739990234375,1.5308605587121211,-48.104126053798225
549,206.55499267578125,315.0,1.5250176038806251,-46.96644043159638
550,203.47000122070312,314.2449951171875,1.5444291209116727,-50.234112060693874
551,202.6649932861328,313.2950134277344,1.5458763171072591,-50.33382096437573
552,205.02000427246094,313.9700012207031,1.5314115436435818,-47.937990728205946
553,207.9199981689453,314.2300109863281,1.51130249015778,-44.41655166263003
