,bac,schw,Ratio,Spread
572,38.92499923706055,74.61000061035156,1.9167630590295626,2.479112407666519
573,38.869998931884766,74.94999694824219,1.9282222538668832,2.0273184474419272
574,39.6349983215332,77.23999786376953,1.9487826702343014,1.2923109556110566
575,39.689998626708984,77.11000061035156,1.9428068349304797,1.5341058313630063
576,39.51499938964844,76.98999786376953,1.9483740112099874,1.2983923950783938
577,39.47999954223633,76.83999633789062,1.9463018548337616,1.3772506843839798
578,39.53499984741211,76.75,1.9413178271461133,1.5790446446085857
579,39.70000076293945,76.65499877929688,1.9308563553191533,2.0094387323136393
580,39.58000183105469,76.94000244140625,1.9439110379484292,1.4805165096716015
581,39.98500061035156,76.6500015258789,1.9169688722234328,2.5937474132661995
582,40.11000061035156,76.66999816894531,1.9114933184308747,2.827834865680429
583,40.0,76.80000305175781,1.9200000762939453,2.474234738199967
584,39.85499954223633,76.69000244140625,1.9242254001316457,2.2894968673102474
585,39.775001525878906,77.43000030517578,1.9467001215524105,1.3868892145293605
586,39.82419967651367,76.94999694824219,1.9322421435533195,1.9668963122897898
587,39.65999984741211,76.44999694824219,1.9276348270896602,2.1331317918470196
588,40.02000045776367,78.05000305175781,1.9502749165165618,1.2648891239606277
589,39.80500030517578,75.33000183105469,1.8924758511120938,3.547865390275816
590,39.46500015258789,73.68779754638672,1.8671683076518293,4.498960625075198
591,39.470001220703125,73.90989685058594,1.872558767791933,4.287026855823952
592,39.19029998779297,73.48999786376953,1.8752088625670196,4.138384764489998
593,38.80500030517578,73.2699966430664,1.8881586410732152,3.5751978144190124
594,38.915000915527344,73.26000213623047,1.882564574397819,3.808787565922912
595,38.6349983215332,71.62000274658203,1.853759696080138,4.879633308953486
596,38.255001068115234,71.13999938964844,1.8596261247772434,4.587226598528445
597,37.94499969482422,71.48999786376953,1.8840426522264784,3.6070967761641404
598,37.96500015258789,71.16000366210938,1.874358050206902,3.977745363584943
599,37.80759811401367,70.87000274658203,1.8744910092639164,3.9477994423287717
600,37.724998474121094,70.79000091552734,1.876474586581851,3.8599032350704183
601,37.5531005859375,70.33000183105469,1.8728147805028688,3.970490164069786
602,36.53499984741211,70.01000213623047,1.9162447633399813,2.221024216842891
603,36.209999084472656,69.05000305175781,1.9069319192931822,2.520403102259663
604,36.61349868774414,69.30000305175781,1.8927446306833011,3.090585756051893
605,36.810298919677734,68.93000030517578,1.8725737722365459,3.8606189740037413
606,36.98500061035156,69.29000091552734,1.8734622082481212,3.8557297320825503
607,37.20500183105469,70.02999877929688,1.8822737624714603,3.5629223576489286
608,37.290000915527344,70.30999755859375,1.8854919772693561,3.455698902311396
609,37.29999923706055,70.26000213623047,1.8836462084004955,3.5260176405393784
610,36.77000045776367,69.25,1.883328777206432,3.4587056932219573
611,36.935001373291016,70.52999877929688,1.9095707636902803,2.514099780927011
612,36.68669891357422,69.48500061035156,1.8940107087324187,3.054380302810258
613,36.810001373291016,69.75,1.8948654549795787,3.0400144647432503
614,36.5900993347168,68.71499633789062,1.8779669251319475,3.6280292423288065
615,36.45000076293945,68.51000213623047,1.8795610617898266,3.5482488928835627
