,amd,txn,Ratio,Spread
80,97.73999786376953,171.42251586914062,1.7538624883956937,10.96636604506464
81,93.05999755859375,170.0030517578125,1.8268112638921228,3.5623854399563104
82,93.88999938964844,172.84197998046875,1.840898723016979,2.288302258603304
83,96.93000030517578,175.28932189941406,1.8084114448316382,5.572430054821675
84,94.0199966430664,175.64175415039062,1.868131891316585,-0.26638141900524714
85,89.8499984741211,173.49786376953125,1.930972361891611,-5.9844025578178925
86,88.13999938964844,169.66041564941406,1.9248969460435434,-5.370903455463596
87,90.69000244140625,170.24777221679688,1.8772496155438079,-1.1506084231134162
88,85.16000366210938,164.89297485351562,1.936272519524118,-6.221801514816596
89,84.91000366210938,165.82296752929688,1.9529261615530287,-7.62313201864662
90,89.63999938964844,172.14694213867188,1.9204255166310418,-5.029402976428818
91,85.5199966430664,166.66485595703125,1.9488407682315283,-7.314969379303866
