,ibm,nvda,Ratio,Spread
669,135.1300048828125,156.4499969482422,1.1577739309927415,23.536697111855297
670,135.51499938964844,155.66000366210938,1.1486551626254868,24.843307754240648
671,135.81509399414062,157.8699951171875,1.1623891754181488,23.036007969941274
672,135.375,157.6739959716797,1.1647201918498962,22.64145272644209
673,136.74000549316406,159.94000244140625,1.1696650286400787,22.207123116066448
674,136.0500030517578,158.7899932861328,1.1671443566651298,22.43123013310757
675,135.40499877929688,157.39999389648438,1.162438575499256,22.955709635864828
676,135.75999450683594,158.44000244140625,1.1670595819995286,22.392063612968066
677,137.61000061035156,162.08999633789062,1.1778940165610143,21.224560363179002
678,136.7949981689453,161.86000061035156,1.183230401527184,20.360918651371215
679,137.2449951171875,163.11000061035156,1.1884586426709336,19.714761640283406
680,137.30499267578125,163.02000427246094,1.1872838787253763,19.88526764662891
681,136.1699981689453,161.36500549316406,1.185026126628565,20.01723726298605
682,138.08999633789062,167.25,1.2111666625782083,16.708654524209273
683,137.0500030517578,165.27000427246094,1.2059102560548332,17.293101555695706
684,135.7657928466797,156.68099975585938,1.1540535835326298,24.15884698875218
685,135.35000610351562,156.77999877929688,1.158330193641747,23.50191104880225
686,135.4105987548828,155.75,1.1502053859309427,24.613218041078348
687,135.8699951171875,156.43499755859375,1.1513579390627708,24.544676379781386
688,135.6999969482422,154.29010009765625,1.1369941309321074,26.461456288263186
689,135.85049438476562,156.05999755859375,1.1487628239069143,24.89350868998347
690,135.69000244140625,156.02499389648438,1.1498635941425324,24.71315103652612
691,134.39999389648438,155.1199951171875,1.1541666827504604,23.887110042040668
692,134.33009338378906,157.38760375976562,1.1716481377713324,21.525703131102496
693,134.16000366210938,157.3000030517578,1.1724806108974775,21.385063433650863
694,134.77000427246094,158.9272003173828,1.1792475720048499,20.576415256484815
695,135.72000122070312,158.64999389648438,1.1689507255345017,22.128405870753575
696,136.11599731445312,158.64999389648438,1.1655499502382043,22.65978606295625
697,135.02000427246094,158.77999877929688,1.175973883535731,21.059087396799818
698,137.57009887695312,168.47000122070312,1.2246120530260562,14.791012046233881
699,137.9199981689453,169.40240478515625,1.2282657122547704,14.328132186597323
700,138.08999633789062,167.41000366210938,1.212325353767669,16.548650862099898
701,137.69000244140625,168.30999755859375,1.222383575962371,15.111912192249271
702,137.9550018310547,167.07000732421875,1.2110471175870774,16.70750044596705
703,138.3300018310547,166.33999633789062,1.2024867645201445,17.940717335638773
704,137.8800048828125,165.64999389648438,1.2014069337847373,18.02687678813283
705,137.37649536132812,166.0778045654297,1.2089244534053025,16.923415549585776
706,137.72999572753906,164.9394989013672,1.1975568432286503,18.5360771366122
