,mcd,bkng,Ratio,Spread
1105,266.8500061035156,2132.199951171875,7.9902563327832885,31.170218629942116
1106,266.70001220703125,2122.3701171875,7.95789283856488,39.77946839819238
1107,266.7099914550781,2140.7900390625,8.026658571668367,21.440753245200955
1108,266.41558837890625,2135.110107421875,8.014208629508726,24.724962417269087
1109,266.1700134277344,2139.550048828125,8.03828358151628,18.286640301526365
1110,265.80999755859375,2139.889892578125,8.050449239052488,15.017146094227389
1111,266.6099853515625,2148.840087890625,8.0598634933237,12.576898826792746
1112,266.5799865722656,2145.93994140625,8.049891400322805,15.232928467943072
1113,266.7699890136719,2098.4599609375,7.866177033991461,64.25906505665075
1114,266.7099914550781,2088.550048828125,7.830790430586095,73.68074347957595
1115,267.2250061035156,2091.179931640625,7.825539840498907,75.2418228708038
1116,267.260009765625,2092.7900390625,7.830539409535241,73.91655982245761
1117,266.5299987792969,2091.14990234375,7.845833159198525,69.61618890460109
1118,266.3999938964844,2092.110107421875,7.853266348927961,67.5980613929682
1119,266.42999267578125,2086.5400390625,7.831475796351544,73.41224659556788
1120,265.0950012207031,2015.7099609375,7.603726783438416,133.3787526891583
1121,264.56500244140625,2007.4300537109375,7.587662900180938,137.34576345967977
1122,264.3699951171875,1995.72998046875,7.549003356391111,147.45895305160545
1123,263.6199951171875,1988.141845703125,7.541695935542873,148.94391839800707
1124,262.9599914550781,1993.780029296875,7.582066071208691,137.93491591470817
1125,262.79998779296875,1976.8399658203125,7.522222441568938,153.57294011453766
1126,262.9599914550781,1970.4300537109375,7.493269385991554,161.28489150064567
1127,262.2550048828125,1998.3800048828125,7.619988056188975,127.59807034368437
1128,261.69000244140625,1995.6949462890625,7.626179554703887,125.68538810786454
1129,261.70001220703125,1985.6800537109375,7.587619262853007,135.78173574659783
1130,261.8999938964844,1994.25,7.614547714683127,128.83915229950205
1131,261.1199951171875,1994.969970703125,7.640050582138708,121.77189533392853
1132,261.0299987792969,1998.030029296875,7.654407687394684,117.9794862105036
1133,260.6099853515625,1992.8299560546875,7.646790484126549,119.76167530894232
1134,260.5400085449219,2011.81005859375,7.721693377648282,100.21213236142098
1135,261.4649963378906,2014.93994140625,7.706346813637523,104.60939249719054
1136,261.625,2005.02001953125,7.663717227066412,115.8313536489231
1137,260.8399963378906,1992.989990234375,7.640661011406653,121.47336915304591
1138,260.43499755859375,1998.6600341796875,7.6743143314677615,112.50762365489659
1139,261.0,1993.4000244140625,7.637547986260776,122.36537425009097
1140,260.92999267578125,1991.0,7.630399171757608,124.19570991709539
1141,262.375,2028.97998046875,7.733129987494045,97.97456213064693
1142,261.1050109863281,2017.280029296875,7.725933798346379,99.33990248786581
1143,260.5899963378906,2008.6600341796875,7.708124112236391,103.76893540132546
1144,260.55999755859375,2015.219970703125,7.734187863008212,96.96488203466284
1145,261.1600036621094,2011.8299560546875,7.703438228839999,105.23748188619898
1146,261.7950134277344,2011.5250244140625,7.683588002982806,110.70984310345189
1147,262.6700134277344,2009.094970703125,7.6487412646966115,120.26026113681696
1148,260.989990234375,1979.4100341796875,7.584237358690009,136.27390942385816
1149,259.9100036621094,1952.56005859375,7.512446735725245,154.33543031509723
1150,259.56500244140625,1943.405029296875,7.487161254474497,160.68299174558567
1151,259.0849914550781,1943.8900146484375,7.502904756200368,156.29188856382413
1152,258.57501220703125,1926.97998046875,7.452305480027938,169.05193640868717
1153,257.70001220703125,1921.885009765625,7.457838256606753,167.02654278938505
1154,256.9800109863281,1910.9599609375,7.436220247648627,172.09253904151134
1155,255.2100067138672,1911.324951171875,7.489224171820142,157.32403421036494
1156,255.35499572753906,1889.5899658203125,7.3998550936378935,180.23887624774804
1157,256.010009765625,1911.06005859375,7.464786475901115,164.09899900285515
1158,256.0299987792969,1912.35498046875,7.4692613740050025,162.966738910472
1159,255.60000610351562,1907.530029296875,7.462949858163709,164.2925992165892
1160,256.2200012207031,1917.3800048828125,7.483334617703077,159.4878706163672
1161,255.6999969482422,1898.6400146484375,7.425264127135492,173.99629528601005
1162,255.24000549316406,1889.8800048828125,7.404325200633284,179.01309734265257
1163,254.63479614257812,1882.3050537109375,7.39217531235195,181.66312158022853
1164,254.0500030517578,1881.52001953125,7.406101149103023,177.6893673486256
1165,253.25,1875.02001953125,7.4038302844274435,177.67929513426085
1166,252.9600067138672,1875.5999755859375,7.41461071238625,174.73950153863186
1167,253.90370178222656,1884.5699462890625,7.422380741441335,173.44890534521753
1168,253.49000549316406,1880.22998046875,7.417373228624016,174.42239311185992
1169,253.8300018310547,1900.3175048828125,7.486575626105989,157.1016090338803
1170,253.52999877929688,1893.25,7.467558115866649,161.72782131514347
1171,253.72999572753906,1896.1400146484375,7.473062099778518,160.46529367797208
1172,253.80999755859375,1890.9300537109375,7.450179551238534,166.3262742538386
1173,254.0500030517578,1889.489990234375,7.437472810616057,169.7193966455006
1174,253.39999389648438,1883.824951171875,7.434194935069455,170.0949477097606
1175,252.32000732421875,1875.31005859375,7.432268564355538,169.82138559318716
1176,254.4199981689453,1840.9300537109375,7.235791474569874,221.29019034824566
1177,255.343994140625,1810.27001953125,7.089534357852506,259.4692964717214
1178,255.86000061035156,1820.75,7.116196340407326,253.18834921118057
1179,256.2200012207031,1825.7099609375,7.125555976267706,251.1579145616797
1180,256.010009765625,1831.8599853515625,7.155423286099691,243.29907224504265
1181,255.59750366210938,1838.8499755859375,7.1943189946676105,232.95228916237463
1182,256.4599914550781,1852.7099609375,7.224167599888668,226.11084930747936
1183,257.5,1858.0350341796875,7.215670035649272,229.24890719475658
1184,258.2300109863281,1869.6800537109375,7.240367014544746,223.5443953001131
1185,256.8399963378906,1852.0699462890625,7.210987278836967,229.84317619583268
1186,254.63999938964844,1824.3900146484375,7.164585371588727,239.62050237392893
1187,255.0428009033203,1834.030029296875,7.191067627868882,233.25830889917003
1188,254.76699829101562,1831.1199951171875,7.187430112221729,233.92398298664418
1189,254.5800018310547,1838.22998046875,7.220637784772438,225.29230286716617
1190,255.33999633789062,1789.97998046875,7.010182525811879,279.7268031776984
1191,255.42140197753906,1809.030029296875,7.082531124216268,261.33919756351264
1192,253.86000061035156,1805.155029296875,7.110828901586581,252.50820146304292
1193,253.6649932861328,1805.9000244140625,7.119232342702552,250.17632269559314
1194,254.52999877929688,1814.8199462890625,7.130082721065402,248.2954342517123
1195,254.38999938964844,1819.6500244140625,7.152993548409541,242.32610280189598
1196,254.39999389648438,1816.6700439453125,7.140998771739427,245.3874141619544
1197,258.9100036621094,1826.81005859375,7.0557724025906285,271.9478710894659
1198,258.635009765625,1836.2900390625,7.099928353576516,260.2301115013874
1199,257.9100036621094,1835.8599853515625,7.118219376076401,254.76038510602208
1200,258.2699890136719,1843.760009765625,7.138886003778097,249.7897628106593
1201,258.8599853515625,1858.7724609375,7.18060946504755,239.57844178127468
1202,258.92999267578125,1876.9949951171875,7.249044329397034,221.92559634864526
1203,258.44000244140625,1871.8900146484375,7.243035122137619,223.04325226518765
1204,258.8299865722656,1898.18994140625,7.333732719861163,199.9168444693
1205,260.69000244140625,1901.7049560546875,7.2948902460581415,211.53781911660823
1206,258.0799865722656,1881.010009765625,7.288476858467748,210.99360669070117
