,tgt,tsla,Ratio,Spread
80,221.80999755859375,303.9766540527344,1.3704371191493987,1.8971404531944704
81,222.5,308.4850158691406,1.3864495095242275,-1.655405651492128
82,222.25,308.0466613769531,1.3860367216060883,-1.5633599744487123
83,222.99000549316406,307.1216735839844,1.377288963712768,0.3867095206710365
84,223.07000732421875,313.0133361816406,1.4032067328831648,-5.394131719697565
85,223.23500061035156,315.3454284667969,1.4126164248643995,-7.497669487144275
86,222.30999755859375,313.510009765625,1.4102380154225582,-6.943597629408043
87,222.42999267578125,317.5033264160156,1.4274303685241554,-10.770692812373522
88,222.13999938964844,325.5733337402344,1.4656222861023644,-19.242409061873854
89,222.5500030517578,329.5977478027344,1.4810053618650403,-22.69887159465453
90,222.77999877929688,331.3933410644531,1.4875363267810997,-24.1758666648043
91,218.91000366210938,342.0,1.562285844770629,-40.14337929493736
