,cb,spgi,Ratio,Spread
1239,214.00999450683594,316.94000244140625,1.480958883120211,54.33690482761538
1240,213.91000366210938,315.8999938964844,1.4767892500973336,55.20262910164545
1241,213.4199981689453,316.1499938964844,1.4813513101345686,54.09854840713164
1242,214.19000244140625,312.19000244140625,1.4575376949575827,59.400659068987444
1243,213.83999633789062,313.760009765625,1.4672653158385291,57.22059030638676
1244,213.4550018310547,313.260009765625,1.4675693100579763,57.049544001050016
1245,213.61000061035156,314.30999755859375,1.4714198617129832,56.26971943465217
1246,214.78500366210938,320.0400085449219,1.4900482021007164,52.587741453058506
1247,211.15499877929688,310.0799865722656,1.4684946525768352,56.22065661843855
1248,210.47000122070312,310.54998779296875,1.4755071316188177,54.55670308751477
1249,209.33999633789062,311.3299865722656,1.487197821814019,51.80710321480044
1250,210.22000122070312,307.5,1.4627532975664184,57.170940309097695
1251,211.4199981689453,308.92498779296875,1.4611909491461985,57.83754993956027
1252,210.36000061035156,309.6400146484375,1.4719529081100435,55.27494491679207
1253,210.94500732421875,310.44000244140625,1.471663190227894,55.494625163152115
1254,210.6699981689453,310.6719970703125,1.4746855260385547,54.783288948058875
1255,209.6999969482422,309.1700134277344,1.4743443868720858,54.59455824597152
1256,212.04849243164062,316.82000732421875,1.4940922413129345,51.037997344639145
1257,209.33999633789062,314.80999755859375,1.5038215489908893,48.32709222847232
1258,208.17999267578125,313.70001220703125,1.506869167276735,47.41518854573932
1259,207.69000244140625,312.2049865722656,1.503225879446678,48.056160082095325
1260,207.9600067138672,313.2799987792969,1.5064434923313874,47.45176593906999
1261,208.6199951171875,314.9100036621094,1.5094909933499705,46.97212235167704
1262,209.11000061035156,316.4800109863281,1.5134618624770901,46.2561957219721
1263,211.3800048828125,317.69000244140625,1.502933083086696,49.002826901986886
1264,212.14999389648438,317.1300048828125,1.4948386236463982,50.90491707125407
1265,213.02000427246094,315.7076110839844,1.4820561672704784,53.84374094385593
1266,213.11000061035156,317.6400146484375,1.4904979294200635,52.06820120203671
1267,213.69839477539062,319.44000244140625,1.494817042388906,51.2937857835315
1268,213.58999633789062,319.7950134277344,1.4972377869318925,50.749836072891505
1269,212.19000244140625,319.44000244140625,1.5054432290211968,48.66465449790045
1270,212.72000122070312,321.8599853515625,1.5130687453203966,47.168460671393895
1271,212.1710968017578,325.1000061035156,1.532253973345262,42.97169826267416
1272,212.0850067138672,323.2349853515625,1.5240822081668999,44.68666379467127
1273,211.2899932861328,320.7200012207031,1.5179138218172887,45.81593770395191
1274,210.2550048828125,317.04998779296875,1.507930752800293,47.68196397918795
1275,212.7899932861328,320.3699951171875,1.5055688952741064,48.780447235782766
1276,212.38999938964844,319.8500061035156,1.5059560573599429,48.60324597367893
1277,212.6649932861328,318.3399963378906,1.4969083130178178,50.59257072938667
1278,212.44000244140625,316.69000244140625,1.4907267878080237,51.85040506928633
1279,211.94000244140625,316.3599853515625,1.4926865231070505,51.30892101635832
1280,211.73500061035156,315.2900085449219,1.4890783651076136,52.02157916293002
1281,211.1300048828125,315.3599853515625,1.4936767776167237,50.897093420444754
1282,210.2899932861328,313.75,1.4919873033287583,51.04293663911151
1283,210.19000244140625,313.8399963378906,1.493125232849162,50.77865603032908
1284,211.36000061035156,337.69000244140625,1.5977006125390196,28.96795940936685
1285,212.0,339.1700134277344,1.5998585539044075,28.603468821942364
1286,211.80999755859375,341.5899963378906,1.6127189475246342,25.85231122215621
1287,212.00999450683594,342.07000732421875,1.6134617055196858,25.72089537371594
1288,211.88999938964844,343.0400085449219,1.6189532754403348,24.541742389500918
1289,210.9199981689453,345.19000244140625,1.6365920986065612,20.701034148351006
