,jnj,unh,Ratio,Spread
1141,168.42999267578125,548.5999755859375,3.2571394611526414,-53.32755221471617
1142,169.25999450683594,550.0499877929688,3.249734170177784,-52.32234709957364
1143,169.5399932861328,551.1300048828125,3.250737446666462,-52.574103542999715
1144,170.00999450683594,552.1889038085938,3.2479790697622235,-52.2426981401185
1145,169.45010375976562,550.0003051757812,3.2457950333009697,-51.710304842401534
1146,169.02000427246094,548.280029296875,3.243876555659325,-51.26230050794074
1147,169.27999877929688,548.3200073242188,3.2391305014073457,-50.53319225984526
1148,167.97999572753906,547.9500122070312,3.2619956312881304,-54.008718793494005
1149,168.07000732421875,547.5850219726562,3.258076980483059,-53.37746645812623
1150,168.17999267578125,545.6599731445312,3.2444999221545867,-51.12707143166997
1151,168.14500427246094,544.405029296875,3.2377115909713563,-49.97562631220094
1152,167.44000244140625,542.280029296875,3.2386527794434294,-49.936082805194665
1153,167.27000427246094,544.2050170898438,3.253452521011508,-52.36393990942988
1154,167.58999633789062,544.6099853515625,3.249656884373539,-51.82234391959414
1155,166.55999755859375,537.7000122070312,3.2282662109062232,-47.959196396560706
1156,166.55999755859375,535.5,3.21505768401334,-45.759184189529456
1157,166.1199951171875,533.344970703125,3.210600688537721,-44.90572023325935
1158,166.25999450683594,536.27001953125,3.225490420121485,-47.416638738175514
1159,166.1999969482422,535.843017578125,3.2240856041952672,-47.16711476116571
1160,166.55990600585938,537.3200073242188,3.2259864946448547,-47.579462334668015
1161,166.1300048828125,535.8800048828125,3.2256665811863443,-47.41114465904766
1162,165.47999572753906,538.6400146484375,3.2550158844293313,-52.093937818500784
1163,165.50999450683594,539.4600219726562,3.2593803388131666,-52.825206154661906
1164,165.9199981689453,537.8499755859375,3.24162235728981,-50.00233341539589
1165,165.19000244140625,535.9500122070312,3.2444458156427203,-50.2617606405914
1166,165.59500122070312,537.6799926757812,3.2469578713862717,-50.79371963374373
1167,165.9510040283203,538.416015625,3.244427587392703,-50.47665543628286
1168,165.63400268554688,536.9500122070312,3.2417861278545628,-49.94836945315486
1169,165.44500732421875,534.6199951171875,3.2314060349340434,-48.177417015438
1170,165.5500030517578,533.5399780273438,3.2228327888374424,-46.78681346739264
1171,165.4871063232422,533.9099731445312,3.2262934859810595,-47.34286255648933
1172,165.41000366210938,534.655029296875,3.2323016592698917,-48.31599506013273
1173,165.8300018310547,536.8400268554688,3.237291328033596,-49.258601649099965
1174,166.32000732421875,539.3250122070312,3.2426947357914,-50.29410830102156
1175,167.19000244140625,542.0,3.2418206357162442,-50.39557516667971
1176,166.3000030517578,538.0,3.2351171986001552,-49.02827046496875
1177,166.30499267578125,538.0,3.2350201358587842,-49.0135107248391
1178,166.17999267578125,534.5850219726562,3.216903631808654,-45.9682935266754
