,sbux,nke,Ratio,Spread
987,88.4801025390625,116.11000061035156,1.3122724463287203,-0.4890369630815281
988,88.54000091552734,116.15499877929688,1.3118929023969172,-0.4548684666164997
989,88.52999877929688,116.11000061035156,1.3115328387139251,-0.4230899510087165
990,88.66999816894531,116.2300033569336,1.3108154478076957,-0.35805788542927197
991,88.55999755859375,116.0,1.3098464679072646,-0.27344046428555324
992,87.3499984741211,114.12000274658203,1.3064682855191119,0.007321579084820007
993,86.79000091552734,113.86499786376953,1.3119598647613135,-0.4778127867485831
994,87.1720962524414,113.77999877929688,1.3052341709186588,0.11219520577154518
995,87.25,113.66500091552734,1.3027507268255283,0.33015712768716177
996,87.08000183105469,113.56999969482422,1.3042030007666192,0.20047465985721025
997,87.01000213623047,113.33200073242188,1.3025169285133378,0.3459562161788232
998,86.91000366210938,113.1500015258789,1.301921490715683,0.3957891402694462
999,85.08000183105469,110.72000122070312,1.3013634090013582,0.4071071503675403
1000,84.91000366210938,111.12000274658203,1.3086797544936242,-0.21757806404444247
1001,85.05999755859375,111.2217025756836,1.3075676671524508,-0.12103351128800122
1002,84.69999694824219,110.80000305175781,1.3081464822184659,-0.17514067110343157
1003,84.50900268554688,110.19000244140625,1.3038847807897687,0.182426070711333
1004,84.69499969482422,110.19000244140625,1.3010213452794905,0.42825515439986694
1005,84.93000030517578,110.37000274658203,1.299540825974257,0.558851158989629
1006,85.36000061035156,112.31500244140625,1.3157802441227475,-0.8178244460126332
1007,85.06999969482422,111.19999694824219,1.3071587792071868,-0.08610823050905148
1008,85.02999877929688,111.19000244140625,1.3076561688541246,-0.12898225338225822
1009,85.19999694824219,111.26000213623047,1.3058686164486528,0.025701740326599554
1010,85.0999984741211,111.26000213623047,1.3074031037740221,-0.10646454212573198
1011,84.8499984741211,110.93000030517578,1.307365967001272,-0.10688345902239527
1012,84.69000244140625,110.69000244140625,1.3070019984706978,-0.07834963044841126
1013,85.66999816894531,110.80000305175781,1.2933349529581515,1.1068934443303566
1014,86.22000122070312,112.0,1.2990025332208717,0.6338261750375158
1015,86.33000183105469,112.01000213623047,1.297463219744056,0.7692099745969221
1016,85.90149688720703,111.7699966430664,1.3011414316775645,0.4428677715730236
1017,86.0,111.42500305175781,1.295639570369277,0.9180512516999675
1018,85.98999786376953,111.80999755859375,1.3002674768724822,0.5198370915265007
1019,86.05000305175781,111.41999816894531,1.2948285208302412,0.9891443175591268
1020,87.37999725341797,112.88999938964844,1.2919432700626758,1.2769738123900145
1021,86.69499969482422,112.30000305175781,1.2953457921110327,0.9616205276590681
1022,86.76699829101562,112.01000213623047,1.2909286288843376,1.3467807632064568
1023,86.9000015258789,112.01000213623047,1.288952821282446,1.5225688765803544
1024,87.0,112.36499786376953,1.2915516995835579,1.2997394314936377
1025,87.09500122070312,112.55000305175781,1.2922670816267678,1.240295741109424
1026,87.4000015258789,113.23999786376953,1.2956521268508157,0.9534146449439793
1027,86.52510070800781,111.58999633789062,1.2896835187105777,1.4470746403260397
1028,85.27999877929688,109.72000122070312,1.2865853985839815,1.6714397152722176
1029,85.12000274658203,109.12999725341797,1.282072294785024,2.049979647361827
1030,85.05000305175781,108.8499984741211,1.2798353270825824,2.237461020577957
1031,84.7249984741211,108.70999908447266,1.2830923699299646,1.9479073877050614
1032,84.625,108.70999908447266,1.2846085563896326,1.8157411052527157
1033,84.08000183105469,108.29000091552734,1.2879400399290997,1.5154244637379326
1034,84.01000213623047,107.96929931640625,1.2851957692052363,1.7436086567782814
1035,84.0,107.5999984741211,1.280952362787156,2.0996898457259086
1036,84.27999877929688,108.02999877929688,1.2817987700995805,2.039759164873079
1037,84.30000305175781,108.11000061035156,1.2824436144323161,1.9861966404934497
1038,84.29000091552734,108.02999877929688,1.2816466675277531,2.052978818210608
1039,84.41000366210938,108.11000061035156,1.2807723719941126,2.131582576283325
1040,84.12999725341797,107.88999938964844,1.2824200987985312,1.981504089022511
1041,83.79000091552734,108.47000122070312,1.2945458889546602,0.9521348809016705
1042,83.50499725341797,107.98999786376953,1.293215992044708,1.0554537450230475
1043,83.51000213623047,108.12999725341797,1.2948149262051836,0.9220692238638752
1044,82.94999694824219,107.41999816894531,1.2949970117053955,0.8919189760496413
