,ibm,v,Ratio,Spread
354,124.05000305175781,209.08999633789062,1.6855299572274196,-17.181287091961078
355,124.08499908447266,208.81500244140625,1.682838409010685,-16.85171340433109
356,123.87000274658203,208.47999572753906,1.6830547437223795,-16.852014847098697
357,125.24500274658203,209.52499389648438,1.6729209892743795,-15.752563859856988
358,124.66000366210938,208.05999755859375,1.6690196650606546,-15.199931735106414
359,125.12000274658203,209.00999450683594,1.670476262138234,-15.432514393498277
360,126.33999633789062,210.5500030517578,1.666534819968265,-15.069821682103562
361,126.66000366210938,209.94000244140625,1.65750826126188,-13.96073784528323
362,126.3499984741211,208.22000122070312,1.6479620398519481,-12.724220525521982
363,125.91999816894531,207.3000030517578,1.6462834026857747,-12.474850568645305
364,125.43000030517578,200.55999755859375,1.5989794871292669,-6.499045443113256
365,125.55000305175781,198.57000732421875,1.5816009756874203,-4.321898998812453
366,126.7300033569336,199.22500610351562,1.5720429324254075,-3.1365700263023326
367,126.55000305175781,200.16000366210938,1.5816673159639967,-4.352295950385236
368,126.25260162353516,199.47999572753906,1.5800070110424826,-4.136115100761027
369,126.43000030517578,199.83999633789062,1.5806374741399853,-4.219444836092289
370,126.61000061035156,200.2100067138672,1.5813127379252072,-4.3087268465796695
371,127.33999633789062,192.86000061035156,1.5145280835300696,4.179780145620502
372,127.72000122070312,192.10000610351562,1.5040714396139283,5.532430034488617
373,126.37999725341797,190.58999633789062,1.5080709010913995,4.952570435072208
374,126.08000183105469,192.2100067138672,1.524508279841443,2.8646873824797057
375,126.61000061035156,192.8300018310547,1.5230234649828207,3.0712780362328305
376,126.36499786376953,192.3000030517578,1.5217821889180967,3.219170682314176
377,126.06999969482422,190.74000549316406,1.5129690327190097,4.319089277655938
378,125.61000061035156,187.97999572753906,1.4965368586428267,6.361684753430613
379,125.22000122070312,189.9499969482422,1.5169301636840824,3.7834407239674634
380,127.12000274658203,193.3800048828125,1.5212397789852317,3.3166740031608457
381,127.23999786376953,194.27000427246094,1.5267998077181484,2.6138189246391663
382,126.16010284423828,193.02499389648438,1.5300002896700222,2.174625690867093
383,126.16999816894531,192.27999877929688,1.5239756009334988,2.9350535503950868
384,125.63999938964844,191.55999755859375,1.5246736587804894,2.8284690001576154
385,126.62999725341797,197.6300048828125,1.560688692800853,-1.6975382632702134
386,127.41000366210938,196.00999450683594,1.5384191890195165,1.1389696290254436
