,cat,noc,Ratio,Spread
568,204.0500030517578,446.3800048828125,2.1876010693789945,22.780142417355798
569,203.0800018310547,447.7850036621094,2.2049684834778978,19.13389316405418
570,201.9499969482422,444.5450134277344,2.201262788539021,19.762934128287647
571,200.2100067138672,444.6099853515625,2.2207180982066634,15.677602379829786
572,201.21499633789062,446.8599853515625,2.220808555447687,15.74969581965005
573,203.10000610351562,450.9100036621094,2.220137814433597,16.05511432767569
574,205.6699981689453,450.6322021484375,2.191044907669376,22.271048507466823
575,205.4949951171875,449.102294921875,2.1854658536368037,23.39659987928085
576,204.9315948486328,450.4700012207031,2.1981481262244147,20.727120869241766
577,204.41000366210938,448.0400085449219,2.19186928485914,21.951943418345287
578,203.25,447.9200134277344,2.2037885039494927,19.391675148167828
579,204.8699951171875,451.4949951171875,2.2038122022647983,19.559796814450728
580,204.38059997558594,452.5799865722656,2.2143979743005358,17.344026274068916
581,206.82000732421875,454.69000244140625,2.198481705537401,20.870418648261115
582,204.47000122070312,455.94500732421875,2.229887047499333,14.185572873495268
583,206.22000122070312,456.9200134277344,2.215692031437456,17.25405480462897
584,207.91000366210938,458.45001220703125,2.2050406624593872,19.62891582553457
585,208.8800048828125,460.489990234375,2.2045671173395593,19.83018827219562
586,207.82000732421875,459.55999755859375,2.2113366440298354,18.310988122301787
587,207.1699981689453,458.3599853515625,2.212482451140314,18.00911219118408
588,211.3699951171875,459.26251220703125,2.1727895293388615,26.810949567590207
589,211.13999938964844,458.7699890136719,2.172823673107219,26.772052776764077
590,211.73500061035156,457.8399963378906,2.1623255249161066,29.07683420483952
591,212.08529663085938,458.8399963378906,2.1634691495682277,28.886215786272977
592,211.27999877929688,458.8550109863281,2.1717863197530978,27.01050843662305
593,212.78500366210938,457.9599914550781,2.152219299167778,31.38293895972513
594,213.2100067138672,459.5400085449219,2.155339778032254,30.784918872436926
595,214.25999450683594,457.989990234375,2.137543181070897,34.761001798639235
596,211.27000427246094,457.18011474609375,2.163961307808272,28.662311723255506
597,210.47999572753906,457.822509765625,2.175135495338305,26.19455093306008
598,208.6300048828125,459.5899963378906,2.2028950082997043,20.152541020872924
599,208.88499450683594,455.8699951171875,2.1823970467264404,24.461712237975213
600,208.2100067138672,452.1199951171875,2.171461411739513,26.65210934403033
601,208.02999877929688,455.0799865722656,2.1875690488998605,23.276197929193906
602,203.44000244140625,448.5199890136719,2.2046794319266305,19.230712475590487
603,203.9199981689453,441.3599853515625,2.1643781351248395,27.499777269692437
604,206.1199951171875,445.19000244140625,2.1598583979603623,28.75299522926722
605,206.3000030517578,445.8599853515625,2.161221419079196,28.498932278869212
606,207.5399932861328,449.6099853515625,2.166377565270954,27.614009807884862
607,206.89999389648438,449.5299987792969,2.1726921799920618,26.215236452021124
608,206.74000549316406,448.4800109863281,2.169294761874993,26.895560705270817
609,201.81500244140625,443.739990234375,2.198746301644288,20.25604379414157
610,199.25999450683594,440.6199951171875,2.2112817789025447,17.47252804740382
611,197.97999572753906,442.67999267578125,2.235983443928342,12.4550106325514
612,194.92999267578125,437.7349853515625,2.2456009941970727,10.35278890224064
613,194.55499267578125,439.6099853515625,2.2595667132745154,7.611327180530032
614,196.39990234375,440.95001220703125,2.24516411131028,10.534083277884442
615,197.89999389648438,443.239990234375,2.2397170485322033,11.710163675889284
616,204.39999389648438,455.8900146484375,2.230381742962854,14.078809104810013
617,204.6300048828125,456.07000732421875,2.228754319706931,14.430271669631999
618,204.77000427246094,454.6449890136719,2.2202714241717487,16.178767612694152
