,txn,avgo,Ratio,Spread
1496,175.16000366210938,573.5599975585938,3.274491810727601,-17.421030823456956
1497,175.69000244140625,574.4099731445312,3.269451677172699,-16.57858009283964
1498,171.1999969482422,560.6199951171875,3.274649562562061,-17.126377462239386
1499,171.7100067138672,561.6199951171875,3.2707470337069844,-16.497781354548604
1500,170.88499450683594,561.5800170898438,3.2863038601518566,-19.092285566034004
1501,170.06500244140625,559.4749755859375,3.2897713671494375,-19.60569566071538
1502,169.42999267578125,558.72998046875,3.2977040938550206,-20.8884547206957
1503,171.1750030517578,561.6500244140625,3.2811451111482532,-18.23621888286962
1504,170.00999450683594,558.0499877929688,3.2824540075526567,-18.35636275549862
1505,168.0500030517578,553.2849731445312,3.2923829996844733,-19.85011935026594
1506,168.97999572753906,552.2849731445312,3.2683452900249073,-15.880406701524432
1507,168.8300018310547,553.5,3.278445738298801,-17.574403750225567
1508,167.6199951171875,551.1500244140625,3.288092354547196,-19.088299715980522
1509,168.32000732421875,553.5999755859375,3.2889730958696477,-19.302926718503524
1510,169.10000610351562,556.6749877929688,3.2919867989371725,-19.887196470025767
1511,169.52000427246094,555.9500122070312,3.279554024275984,-17.821055617687218
1512,167.89500427246094,549.25,3.2713897735079365,-16.310098313858273
1513,168.41000366210938,549.5346069335938,3.2630757970658113,-14.950175950220366
1514,167.7100067138672,548.3800048828125,3.2698108814604767,-16.03084934344079
1515,167.4199981689453,548.989990234375,3.279118362433521,-17.56690870238631
1516,166.52999877929688,547.2999877929688,3.2864948766276547,-18.71890976664295
