,crm,adbe,Ratio,Spread
79,194.80999755859375,426.7699890136719,2.1906986004930813,5.672989490865482
80,195.72000122070312,431.6700134277344,2.2055487979532704,2.8034315081006502
81,189.41000366210938,420.44000244140625,2.219734936447358,-0.04588351025618298
82,187.00999450683594,425.4700012207031,2.2751190509507797,-10.430957469463898
83,191.38999938964844,436.3999938964844,2.2801609033292447,-11.587964327961835
84,186.22999572753906,428.1099853515625,2.2988240088771854,-14.81133167100095
85,177.22999572753906,417.4800109863281,2.3555832593266692,-24.2628126257595
86,171.42999267578125,408.6700134277344,2.3838886477737637,-28.39420419379875
87,174.57000732421875,413.95001220703125,2.371255054358942,-26.667973654571064
88,170.0800018310547,399.1199951171875,2.3466603411354896,-21.856383753338072
89,174.67999267578125,397.8999938964844,2.277879611748185,-10.372548019217994
90,185.74000549316406,410.5299987792969,2.2102400486598777,1.6753530125052611
91,175.94000244140625,395.95001220703125,2.2504831573984747,-5.611140795192264
92,177.57000732421875,407.2900085449219,2.293686950191231,-13.314151552464047
93,178.36000061035156,407.5799865722656,2.2851535387840243,-11.841439037744443
94,185.47999572753906,423.3500061035156,2.282456415005507,-11.724807032953471
95,172.3000030517578,400.510009765625,2.324492180335681,-18.292970032455663
96,169.6999969482422,391.010009765625,2.3041250253226666,-14.594292965728734
97,163.60000610351562,376.9100036621094,2.303850792179218,-14.10503059562891
98,167.14999389648438,393.0299987792969,2.3513611315038365,-22.30403446270285
99,161.27000427246094,379.3299865722656,2.3521422243618146,-21.72388324643257
100,160.4199981689453,388.489990234375,2.4217054897684216,-32.780482418483054
101,166.91000366210938,405.45001220703125,2.429153455821734,-35.25953157586347
102,164.1199951171875,402.8599853515625,2.454667300373158,-38.8947749356444
103,163.72999572753906,409.6499938964844,2.5019850032744,-46.55497851590511
104,157.3300018310547,397.8800048828125,2.5289518861765923,-49.06512188895304
105,155.60000610351562,394.3800048828125,2.5345757674356664,-49.425214322992396
106,159.64999389648438,399.0899963378906,2.4997808430650927,-45.09857812129068
