,cb,blk,Ratio,Spread
416,206.71499633789062,593.0346069335938,2.8688514013963253,87.94438996839573
417,207.5850067138672,584.85498046875,2.817424002470985,99.00401450666003
418,208.4600067138672,598.3175048828125,2.870178862193288,88.43800533405589
419,209.3300018310547,599.7000122070312,2.8648545691555243,89.9354455720404
420,209.85000610351562,599.3599853515625,2.8561351818875234,91.99684419985952
421,208.4499969482422,599.260009765625,2.874838179606308,87.4623650927334
422,208.00999450683594,599.1500244140625,2.8803905592833057,86.11580898393923
423,209.10499572753906,605.0933227539062,2.8937296339984844,83.79729661573207
424,208.61000061035156,606.2999877929688,2.9063802599063084,80.95204768937695
425,209.47999572753906,607.5,2.9000382489512133,82.63198304454907
426,210.94500732421875,609.5800170898438,2.8897579744702373,85.40159843321486
427,210.44500732421875,608.0499877929688,2.8893533542289562,85.27647616354226
428,212.02000427246094,612.6950073242188,2.8897981085636695,85.84517396467378
429,212.4499969482422,611.719970703125,2.879359752837061,88.24361668761422
430,209.09500122070312,600.72998046875,2.87300020068232,88.12755405359563
431,209.4600067138672,596.4500122070312,2.8475603603976376,93.61580114293234
432,209.41000366210938,594.0,2.836540707761223,95.90028809106535
433,208.57000732421875,589.7550048828125,2.827611757073239,97.36464069914506
434,208.4947052001953,590.594970703125,2.832661722205556,96.27540202174895
435,206.66600036621094,589.5850219726562,2.852839949134909,91.23178341077288
436,207.53500366210938,592.1699829101562,2.8533499046468154,91.52348680635554
437,203.1699981689453,585.0,2.8793621364978566,84.24397835651301
438,200.5500030517578,585.1099853515625,2.917526683859275,75.46101495983054
439,201.83999633789062,590.780029296875,2.926972057153026,74.0612398312753
440,201.36000061035156,588.3900146484375,2.92207992086284,74.86232311896798
441,201.8800048828125,591.3200073242188,2.929066737775585,73.653702215537
442,203.02000427246094,592.2000122070312,2.9169539934216298,76.54744088400433
443,203.9499969482422,593.1799926757812,2.908457962989412,78.64601808364863
444,204.00999450683594,602.1500244140625,2.9515712005662826,69.8745964515583
445,201.50999450683594,594.5,2.9502258756690725,69.2488630328828
446,201.42999267578125,591.25,2.935262977205521,72.23403272088909
447,199.72999572753906,589.9400024414062,2.9536875535018323,67.91652505546448
448,201.49000549316406,590.3800048828125,2.930070915615923,73.30268845548481
449,202.0050048828125,593.7113037109375,2.9390920490082033,71.6761937204552
450,203.9600067138672,600.0900268554688,2.9421945827709606,71.76911926247111
451,207.13999938964844,605.5800170898438,2.923530070842063,76.80586874595461
452,207.75999450683594,611.0499877929688,2.9411340197781115,73.38826982175918
453,207.41000366210938,612.510009765625,2.9531362950239473,70.76967205924994
454,207.4199981689453,610.7100219726562,2.9443160127464076,72.60274469951138
455,207.5399932861328,612.64501953125,2.9519371656074207,71.0649673532996
456,207.86000061035156,611.7899780273438,2.943279015832333,72.97933010518055
457,207.3699951171875,611.510009765625,2.948883754470133,71.6372316476445
458,205.14999389648438,600.4600219726562,2.92693170771255,75.3383424442445
459,203.24000549316406,604.3150024414062,2.9734057572721935,65.16072137980767
460,204.86000061035156,612.9749755859375,2.9921652531468554,61.8634231473012
461,205.5800018310547,613.9727172851562,2.9865391176993863,63.24910374480839
