,aapl,acn,Ratio,Spread
185,171.83999633789062,329.3699951171875,1.9167248727679447,2.164968206458722
186,171.82000732421875,329.5299987792969,1.9178790870232272,1.9661735290330549
187,172.19000244140625,330.1099853515625,1.9171263178528273,2.104205689126017
188,172.8000030517578,329.29998779296875,1.90567119199839,4.09798066703277
189,170.72999572753906,326.5350036621094,1.9125813379812477,2.8458738529988903
190,170.86990356445312,331.70001220703125,1.9412430468301405,-2.047627196170909
191,170.86819458007812,330.7900085449219,1.935936698797948,-1.140940017813792
192,170.8699951171875,330.6700134277344,1.9352140391936659,-1.017450748101597
193,172.4149932861328,333.94000244140625,1.936838531711759,-1.2891903924437165
194,173.13999938964844,335.2300109863281,1.9361788851107655,-1.1722399284044818
195,172.5500030517578,333.7300109863281,1.9341060856789614,-0.8171967209391104
196,170.9199981689453,327.94500732421875,1.9187047205562369,1.8045921166289227
197,171.30499267578125,329.989990234375,1.926330255061085,0.5067360060495767
198,171.0500030517578,329.07000732421875,1.9238234519332096,0.9318817734952896
199,170.64500427246094,326.6499938964844,1.9142077747259307,2.5659477748743864
200,169.80499267578125,325.57000732421875,1.9173170481850843,2.015793748530852
201,169.2100067138672,324.010009765625,1.914839530226622,2.4211515664919414
202,168.9199981689453,322.9100036621094,1.9116150080652439,2.9583622218383123
203,168.5,325.30499267578125,1.9305934283429154,-0.25168228540710147
204,168.10499572753906,323.1300048828125,1.9221915653627248,1.1567535888645162
205,167.69549560546875,322.1400146484375,1.9209819171668445,1.3520610155725572
206,166.35000610351562,320.4599914550781,1.9264200763278816,0.4210047062133222
207,168.0399932861328,322.7716064453125,1.920802305054297,1.3890071979313043
208,167.375,321.6000061035156,1.921433942366038,1.2701104111022496
209,167.60000610351562,321.25,1.9167660399820319,2.056767134353974
210,166.6300048828125,326.9100036621094,1.9618915806431054,-5.485637171768845
211,164.5500030517578,322.50390625,1.959914313392988,-5.116026212210928
212,164.40499877929688,321.67999267578125,1.9566314592880227,-4.573510362076805
213,163.89999389648438,320.010009765625,1.9524711512053885,-3.8835484007056795
214,163.35000610351562,319.0899963378906,1.9534128216419036,-4.030850511949128
215,165.1199951171875,322.5,1.9531250577564405,-4.00598379645473
216,164.3300018310547,321.1000061035156,1.953995025410113,-4.139064125902538
217,163.88999938964844,320.69000244140625,1.9567392985277023,-4.5829365841450755
218,162.93499755859375,318.7799987792969,1.956485736986365,-4.526225498830884
219,164.30490112304688,320.4599914550781,1.9503982490156377,-3.5477603325759635
220,162.16000366210938,317.260009765625,1.9564627688754586,-4.5102026438729315
221,161.42999267578125,315.281005859375,1.953050982865314,-3.9478703061441554
222,160.8000030517578,315.0,1.9589551867023831,-4.889432881398394
223,160.07000732421875,313.1499938964844,1.95633147727797,-4.45606873494191
224,155.85000610351562,307.29998779296875,1.9717675698315982,-6.795467805402241
225,158.02999877929688,309.8399963378906,1.9606403767085392,-5.1049459868048945
226,157.25999450683594,307.8699951171875,1.9577133782985392,-4.62922797671766
227,157.9114990234375,308.260009765625,1.9521061586520214,-3.7549220290021896
228,159.50999450683594,311.9800109863281,1.9558649722914883,-4.372856094345794
229,160.35000610351562,312.5050048828125,1.9488930027297386,-3.2677093922210094
230,162.77000427246094,316.3599853515625,1.9436012597382935,-2.4264008104974852
231,162.14999389648438,318.7200012207031,1.9655875005716752,-5.989619218071285
232,164.02999877929688,321.7200012207031,1.9613485558430008,-5.341250198917438
233,164.3000030517578,320.2900085449219,1.9494218052085128,-3.387282701745308
234,164.48500061035156,320.9200134277344,1.9510594415107894,-3.6582782183785145
235,164.77999877929688,321.44000244140625,1.9507222042884995,-3.6057888357830468
236,164.6750030517578,321.42498779296875,1.9518747948159685,-3.794530657873425
237,164.8699951171875,322.55999755859375,1.956450579920999,-4.5511355496609855
238,163.77999877929688,314.1600036621094,1.9181829649752187,1.7335931650638068
239,165.0800018310547,319.1700134277344,1.9334262774868254,-0.7536088662837719
