,googl,meta,Ratio,Spread
584,120.062255859375,183.8000030517578,1.5308724772507754,2.9191751989370127
585,120.13299560546875,184.52000427246094,1.5359643979781117,2.3101114635431665
586,119.84449768066406,185.77999877929688,1.5501754554833516,0.5976805816549426
587,119.53800201416016,184.0800018310547,1.5399287149642091,1.817016227337889
588,122.44999694824219,185.83970642089844,1.5176783262759095,4.62404269123951
589,120.77850341796875,182.25999450683594,1.5090433259973672,5.5824377474000935
590,121.26350402832031,183.6199951171875,1.5142230680906617,4.9830385111976065
591,121.93550109863281,183.97000122070312,1.50874847409608,5.68689065898056
592,121.99100494384766,185.8300018310547,1.5233090498483233,3.9139338585540324
593,122.34150695800781,186.00039672851562,1.5203376299129447,4.2932131427791385
594,123.0564956665039,187.02999877929688,1.519870997189518,4.384890906035651
595,119.79449462890625,180.6750030517578,1.5082078989643417,5.624259109159824
596,119.05074310302734,180.27000427246094,1.5142282994105634,4.862870835461224
597,120.17500305175781,182.10000610351562,1.5152902140979145,4.795987737979488
598,119.0637435913086,181.2104034423828,1.5219612450990563,3.9428596589568494
599,120.39825439453125,182.9716033935547,1.5197197360850245,4.274503982789413
600,119.51824951171875,181.87989807128906,1.521775116472533,3.9861431590765912
601,118.88299560546875,180.92999267578125,1.5219165007939812,3.9398127072169595
602,113.27950286865234,175.67999267578125,1.5508541989231919,0.40214484723736743
603,114.45024108886719,177.23500061035156,1.5485769092677917,0.6831451156645312
604,116.01100158691406,179.57989501953125,1.5479557331895986,0.7859106767919581
605,115.44999694824219,176.02999877929688,1.5247293497826035,3.4560123560081033
606,114.47003173828125,171.9499969482422,1.5021398556207302,5.999185429725174
607,113.7959976196289,173.4600067138672,1.5243067448968584,3.432122815241457
608,114.29399108886719,174.92999267578125,1.5305265920740108,2.743114256109096
609,115.11500549316406,196.16000366210938,1.7040350458373392,-17.19934230085093
610,116.34849548339844,199.97999572753906,1.7188017335047865,-19.08491580773216
611,116.9625015258789,203.27999877929688,1.7379929133468432,-21.422004937983843
612,118.70550537109375,206.72000122070312,1.7414525179304952,-22.128544592907133
