,tsla,nflx,Ratio,Spread
79,328.98333740234375,344.1000061035156,1.0459496484549438,18.30063258451024
80,340.7900085449219,350.42999267578125,1.0282871677254255,25.016263502260514
81,328.3333435058594,341.1300048828125,1.0389746019710142,20.55243206638447
82,334.7633361816406,337.8599853515625,1.009250263799025,30.927182804158903
83,342.7166748046875,348.6099853515625,1.0171958675492914,28.96511398237776
84,325.73333740234375,226.19000244140625,0.694402372950908,132.61959383250073
85,336.260009765625,218.22000122070312,0.6489620974340767,152.22089564891954
86,335.01666259765625,215.52000427246094,0.6433112986123117,153.54707339234622
87,332.67333984375,209.91000366210938,0.6309793377512605,156.56785203369864
88,292.1400146484375,198.39999389648438,0.6791263912793314,123.29112642651101
89,293.836669921875,188.5399932861328,0.6416489587098222,135.0258227442633
90,292.5033264160156,199.52000427246094,0.68211191550243,122.57255234804875
91,290.2533264160156,190.36000061035156,0.6558408923710715,129.24644972346042
92,300.9800109863281,199.4600067138672,0.6627018387707068,131.99874492913463
93,303.0833435058594,199.8699951171875,0.659455557026754,133.9128046146242
94,317.5400085449219,204.00999450683594,0.6424702053819306,145.74649670866293
95,291.09332275390625,188.32000732421875,0.6469403198349098,132.2145853102301
96,288.54998779296875,180.97000122070312,0.6271703651935241,136.75436873127248
97,262.3699951171875,173.10000610351562,0.659755342931651,115.69714412536693
98,266.67999267578125,177.66000366210938,0.66619172244429,115.8994185783606
99,244.6666717529297,166.3699951171875,0.6799863419288751,102.8661135511068
100,242.6666717529297,174.30999755859375,0.718310414444003,92.71623885485819
101,256.5299987792969,187.63999938964844,0.7314544118915415,94.70432790149128
102,241.4566650390625,186.50999450683594,0.7724367205877818,79.17926177404193
103,253.8699951171875,190.55999755859375,0.7506204010861166,88.84519558720864
104,236.60333251953125,177.19000244140625,0.7488905610692507,83.13663140025339
105,236.47332763671875,183.47999572753906,0.7759014412374216,76.70299102235991
106,221.3000030517578,186.35000610351562,0.8420696047615144,57.06742613937173
107,224.96665954589844,187.44000244140625,0.8331901394622616,60.02885102870066
108,209.3866729736328,180.33999633789062,0.8612773381264819,49.91396710378284
109,219.60000610351562,187.8300018310547,0.8553278534177949,53.70904236721411
110,235.91000366210938,191.39999389648438,0.811326314803606,68.1605558424262
111,253.2100067138672,195.19000244140625,0.7708621194500231,83.48594567388851
112,252.75332641601562,197.44000244140625,0.781156890162675,80.73134311411086
113,246.7899932861328,192.91000366210938,0.7816767653072789,78.67223967835245
114,258.3333435058594,205.08999633789062,0.7938967287559567,79.24691169182249
115,234.51666259765625,198.97999572753906,0.8484684777768438,59.04100113143771
116,238.27999877929688,197.13999938964844,0.8273459811968787,65.03924357605443
117,238.8866729736328,198.61000061035156,0.8313984122181366,64.2395785902472
118,241.86666870117188,202.8300018310547,0.8386025363488704,63.31228230846283
119,239.7066650390625,192.77000427246094,0.8041912570142645,70.98561378542983
120,232.22999572753906,182.94000244140625,0.7877535452226349,72.5543735814009
121,215.73666381835938,169.69000244140625,0.7865607979563346,67.58029529339943
122,220.88999938964844,167.5399932861328,0.7584770417360245,75.4244110981149
123,233.0,180.11000061035156,0.7730042944650282,76.23518095136636
124,213.10000610351562,173.35000610351562,0.8134678608094877,61.00695326651537
125,216.75999450683594,175.50999450683594,0.8096973563140633,62.89101827596632
126,237.0366668701172,170.91000366210938,0.7210277039364483,89.89543695876527
127,236.086669921875,178.88999938964844,0.7577301990359986,80.86575528217354
128,235.07000732421875,181.7100067138672,0.7730037905824577,76.92240072440653
129,245.7066650390625,190.85000610351562,0.7767392312014583,79.53522871890236
130,244.9199981689453,189.13999938964844,0.7722521672533251,80.3760187877317
131,232.663330078125,179.60000610351562,0.7719308669879715,76.37317669850653
132,228.49000549316406,178.36000061035156,0.7806030737553976,73.00192508629219
133,224.47332763671875,174.8699951171875,0.7790234900432899,72.05375810365707
134,227.26333618164062,179.9499969482422,0.7918127049073012,70.05653750970042
135,233.06666564941406,185.8800048828125,0.7975400701978499,70.53883796340101
