,jpm,blk,Ratio,Spread
899,113.76000213623047,619.8099975585938,5.448400016873731,-12.918172008069645
900,114.43000030517578,623.35498046875,5.447478622793948,-12.857120826673862
901,114.59220123291016,623.2999877929688,5.439288023851669,-11.929137593303052
902,114.72000122070312,623.6400146484375,5.436192538462868,-11.581325087051153
903,114.51000213623047,618.955810546875,5.405255427473615,-8.02736863824738
904,114.87000274658203,622.6799926757812,5.420736291349216,-9.813971630257141
905,114.37000274658203,619.3209838867188,5.415064868530199,-9.14604041326369
906,114.26000213623047,616.6599731445312,5.396988986656038,-7.077070021938097
907,114.80750274658203,620.239990234375,5.402434295635268,-7.710353885359508
908,114.91500091552734,620.8599853515625,5.402775794327751,-7.75177717957264
909,114.37999725341797,619.4099731445312,5.415369715145029,-9.181237684695942
910,113.30999755859375,610.0900268554688,5.384255935050965,-5.620195757357704
911,113.12830352783203,607.2999877929688,5.368240916328775,-3.8080621571811104
912,113.13999938964844,607.2999877929688,5.367685973741773,-3.745113214340803
913,113.41000366210938,610.8300170898438,5.3860329544625865,-5.8219376272509304
914,113.1050033569336,608.3499755859375,5.378630100616537,-4.983455084810215
915,112.49500274658203,604.780029296875,5.376061287444612,-4.6966267186786705
916,112.86000061035156,604.5999755859375,5.3570793223129165,-2.5520978776545586
917,113.95999908447266,609.9600219726562,5.35240458821454,-1.9917818183385076
918,114.80999755859375,614.9299926757812,5.356066594827243,-2.3869288614632875
919,114.71880340576172,614.77001953125,5.358929846546616,-2.717776795712224
920,114.66999816894531,612.2576293945312,5.339300943325048,-0.4680640153857336
921,114.45999908447266,610.9849853515625,5.337978247760157,-0.32566762517582326
922,113.21499633789062,603.655029296875,5.331935245532881,0.303490492529237
923,113.0199966430664,602.9299926757812,5.3347196123171186,-0.02099149698052649
924,111.08000183105469,588.010009765625,5.293572200871488,4.457638356105905
925,111.22000122070312,594.344970703125,5.343867687285102,-1.123824146221649
926,111.93000030517578,596.4000244140625,5.328330409970384,0.6424473676686251
927,112.22000122070312,597.364990234375,5.323159719625533,1.2383114666664472
928,112.05000305175781,595.5,5.31459155538736,2.188345181558349
929,112.02999877929688,597.85498046875,5.336561519085132,-0.2743013851220564
930,111.8499984741211,596.22998046875,5.330621266004761,0.3819090464297563
931,107.86000061035156,582.3200073242188,5.398850398934007,-7.182905336625835
