,tsm,qcom,Ratio,Spread
79,95.84111785888672,133.76904296875,1.3957375076291065,13.548661125187653
80,99.83448791503906,138.1038360595703,1.3833279355036023,15.41681166842655
81,96.74600982666016,134.57505798339844,1.3910140400055422,14.148224304416818
82,97.14927673339844,136.94393920898438,1.4096238676567021,12.405741798910714
83,97.81812286376953,138.6444549560547,1.4173698175454015,11.744151768268484
84,97.38534545898438,137.946533203125,1.4165019649822335,11.769835834675508
85,96.05750274658203,133.7886962890625,1.3927979852029106,13.86512072272716
86,94.10999298095703,130.5449676513672,1.3871530909345908,14.083761994842536
87,94.6607894897461,134.23101806640625,1.418021324245838,11.253269579641586
88,91.24773406982422,131.2232208251953,1.438098404994706,8.959532003892878
89,88.77892303466797,132.7959442138672,1.495804856317199,3.5519785146085097
90,93.65753936767578,145.6626739501953,1.555269067857533,-1.7367452517430422
91,91.40511322021484,137.30763244628906,1.5021876524072022,3.119579069402749
92,92.22149658203125,142.79249572753906,1.5483645464430822,-1.0971873648422672
93,92.09362030029297,141.7996826171875,1.5397340462326945,-0.3030058254700918
94,94.41490173339844,146.5080108642578,1.5517466858987568,-1.405663251686218
95,90.63790893554688,139.22438049316406,1.5360502258736717,0.011124552381704733
96,90.1264419555664,138.18246459960938,1.5332066994027709,0.25857341611193196
97,85.86749267578125,132.61898803710938,1.5444609351510072,-0.7934206517955544
98,87.362548828125,134.47674560546875,1.5392951259931198,-0.3288918023323901
99,86.38880157470703,130.04368591308594,1.5053303616051112,2.5916360580790636
100,86.2510986328125,129.522705078125,1.5016933944172473,2.8987214676711686
101,89.46743774414062,132.62881469726562,1.4824255398546016,4.788585158054292
102,88.92646789550781,131.626220703125,1.4801692209094723,4.950885006746222
103,91.78871154785156,137.30763244628906,1.495909792509806,3.7154263790664457
104,89.04448699951172,128.2252197265625,1.4400130097584327,8.5352062966242
105,88.72974395751953,128.3431854248047,1.4464505328252788,7.928346926812043
106,89.29039001464844,129.35562133789062,1.4487070928536578,7.786768420409532
107,89.99857330322266,129.8667449951172,1.4429867077733658,8.375673300443356
108,87.26420593261719,126.33795928955078,1.4477638103657893,7.657137461504891
109,88.92646789550781,128.99191284179688,1.4505457811882012,7.585192868074347
110,89.50678253173828,132.54034423828125,1.4807854833937715,4.938170288689565
111,92.2313232421875,137.37644958496094,1.48947716194235,4.334122632125303
112,93.73622131347656,140.77743530273438,1.5018467069623025,3.2707108882010685
113,93.19525146484375,138.35653686523438,1.4845878377980117,4.851315180252402
114,94.7591552734375,144.46310424804688,1.5245292534656245,1.1739760025375177
115,92.2313232421875,139.54229736328125,1.5129599409179164,2.1682748538049905
