,unp,noc,Ratio,Spread
879,208.63999938964844,452.0,2.1664110492823636,-23.13902679536407
880,209.27000427246094,456.2300109863281,2.1801022682272966,-26.067821696348158
881,209.69000244140625,456.2200012207031,2.175687900753327,-25.190345045693714
882,215.16000366210938,458.6600036621094,2.131715913067171,-16.332572232635965
883,216.8699951171875,462.9949951171875,2.1348965073153816,-17.1357364783514
884,217.09120178222656,463.8299865722656,2.136567409293506,-17.513846282847435
885,215.27999877929688,462.9049987792969,2.150246197529307,-20.329728672843583
886,214.8800048828125,462.68499755859375,2.1532249955547274,-20.935877385806617
887,215.72000122070312,463.6650085449219,2.1493834874891653,-20.18095460207591
888,215.88999938964844,463.7099914550781,2.14789935970194,-19.874822214644023
889,213.82000732421875,466.6366882324219,2.1823808448610382,-27.076893747889965
890,213.77000427246094,467.3299865722656,2.1861345241712646,-27.87346870834197
891,214.1699981689453,467.5799865722656,2.18321889419554,-27.297318774675755
892,213.25,464.801513671875,2.1796085049091443,-26.419015934197187
893,213.14920043945312,465.1499938964844,2.1822741672850623,-26.975688211213633
894,213.44000244140625,466.4100036621094,2.1852042650259467,-27.635073675480196
895,213.91000366210938,466.8999938964844,2.182693590310045,-27.154320404217554
896,216.1750030517578,466.5899963378906,2.1583901457199337,-22.166178724029447
897,215.69000244140625,466.82000732421875,2.1643098986520424,-23.397913050617756
898,215.92999267578125,468.32000732421875,2.1688511240187043,-24.402235696657936
899,215.17999267578125,466.79998779296875,2.1693466106596238,-24.431270927731912
900,214.38999938964844,466.25,2.174774949052555,-25.512940284213794
901,213.77000427246094,467.1600036621094,2.1853393569038326,-27.70348579818572
902,213.44000244140625,464.739990234375,2.177379989310841,-25.96506024774582
903,212.7899932861328,462.3500061035156,2.1727995708980843,-24.91760915359377
904,212.22500610351562,460.3699951171875,2.1692542437371203,-24.104526281779197
905,212.1300048828125,461.489990234375,2.175505490085276,-25.42073752344235
906,212.7899932861328,463.07000732421875,2.176183194392705,-25.637610374296894
907,213.47000122070312,464.0400085449219,2.1737949402321806,-25.203118889047726
908,213.55499267578125,463.4800109863281,2.1703075408308647,-24.467579439459865
909,212.99000549316406,461.82000732421875,2.168270789302557,-23.974503891863986
910,209.89500427246094,468.9150085449219,2.2340455894616325,-37.46194028633862
911,211.0,470.9700012207031,2.232085313842195,-37.23466776999719
912,212.54330444335938,473.6700134277344,2.2285812045138433,-36.74712918009304
913,212.1199951171875,476.8800048828125,2.2481614928350155,-40.8314264053614
914,212.35000610351562,477.739990234375,2.2497762020382894,-41.21634560524602
915,212.27000427246094,478.3800048828125,2.253639210694997,-42.021596543536745
916,213.25999450683594,478.7200012207031,2.244771703796316,-40.31686076514363
917,212.47000122070312,474.55999755859375,2.2335388282209534,-37.78851425248489
918,213.47999572753906,477.5799865722656,2.237118213089122,-38.722454198509794
919,213.64999389648438,478.9750061035156,2.241867632982868,-39.76635843217166
920,213.4149932861328,480.7300109863281,2.2525596893831956,-42.00673506780298
921,215.05999755859375,484.0,2.2505347600412424,-41.87912181174305
922,215.22000122070312,485.92498779296875,2.257805896463424,-43.4736370250054
923,215.25,486.5799865722656,2.2605342001034407,-44.06667613505731
924,210.6300048828125,462.1600036621094,2.1941793331830373,-29.188860475824622
925,210.1699981689453,458.7900085449219,2.182947197706702,-26.76896614639308
926,209.0,457.32000732421875,2.188134006335975,-27.715486573043318
927,208.47999572753906,456.6000061035156,2.1901382169071164,-28.06950547858609
928,208.62429809570312,460.55999755859375,2.207604779321146,-31.731453906172003
929,209.88999938964844,462.82000732421875,2.2050598345327574,-31.37727618237623
930,210.19000244140625,464.4700012207031,2.209762575887411,-32.407641870811105
931,210.1750030517578,474.6499938964844,2.258356069963262,-42.61861438121484
932,208.3000030517578,472.94000244140625,2.270475254500555,-44.78125983194654
933,207.77999877929688,472.45001220703125,2.2737992828119413,-45.36528972381744
