,sbux,bkng,Ratio,Spread
843,90.41000366210938,1896.0899658203125,20.972125749564142,216.0900226428139
844,90.34500122070312,1895.219970703125,20.977585312919597,215.44141527821557
845,90.71099853515625,1901.22998046875,20.95920022015746,217.9819217398467
846,90.79000091552734,1896.3199462890625,20.886881012959048,224.73762830203304
847,90.80000305175781,1841.9189453125,20.28545025777774,279.37230156188434
848,90.77999877929688,1844.3299560546875,20.316479189855443,276.49394625311925
849,90.7249984741211,1849.989990234375,20.39118237915514,269.5489818749347
850,90.33999633789062,1848.2900390625,20.459266260643908,262.2544216573324
851,89.63999938964844,1831.3199462890625,20.429718415421387,262.87101939510876
852,89.51000213623047,1834.06005859375,20.49000128278835,257.09388036657765
853,88.58000183105469,1805.8900146484375,20.387107443198566,263.53703619895305
854,85.18000030517578,1749.81005859375,20.542498853306842,240.1853487095841
855,85.19499969482422,1743.7349853515625,20.467574289544814,246.610841256841
856,85.38999938964844,1734.6600341796875,20.31455728514708,260.241421634345
857,84.93000030517578,1727.4000244140625,20.339103004910644,256.75482348514583
858,84.56999969482422,1721.2249755859375,20.3526662149353,254.51945251215147
859,85.12999725341797,1725.550048828125,20.269588916953058,263.2771752984929
860,84.69999694824219,1718.77001953125,20.292444881450734,260.01143529068236
861,84.25,1680.06494140625,19.941423636869438,288.203577784147
862,84.12999725341797,1670.75,19.859147207236145,294.7149865101146
863,83.36000061035156,1659.8199462890625,19.91146754002,287.656195681825
864,83.6500015258789,1665.75,19.913328985232173,288.50121226844067
865,83.56500244140625,1656.4200439453125,19.82193496741359,295.8453995144928
866,83.9800033569336,1661.68994140625,19.786733448243627,300.27085205317144
867,84.16999816894531,1669.8900146484375,19.839492110914012,296.5094827551045
868,85.38999938964844,1704.77001953125,19.964516122691457,290.1314362827825
869,84.93000030517578,1683.0,19.81631925058918,301.15484789920833
870,84.66500091552734,1677.81005859375,19.81704412036502,300.15381059626316
871,84.3499984741211,1675.06005859375,19.858448001130252,295.5446487103518
872,84.7699966430664,1674.219970703125,19.750147894338326,306.19683362237356
873,85.29499816894531,1677.0,19.661176340942482,315.6820147221083
874,84.83000183105469,1669.25,19.6775900503272,312.56865978550354
875,85.70500183105469,1692.050048828125,19.742722276157995,310.21056887181885
876,85.0011978149414,1677.0400390625,19.72960478408355,308.7781419775563
877,83.70500183105469,1663.1199951171875,19.868824547354198,292.41614734974996
878,83.37000274658203,1659.125,19.90074301716417,288.5848142541763
879,83.69999694824219,1660.2449951171875,19.835663747321735,295.17422208824155
880,84.16000366210938,1667.5999755859375,19.814637630971568,298.56602777404373
881,84.30000305175781,1670.0,19.810200943583208,299.4367023671134
882,85.33000183105469,1706.0400390625,19.9934372723945,287.4597395312553
883,86.114501953125,1707.8499755859375,19.83231554327025,303.97748126980014
884,86.2699966430664,1710.8699951171875,19.83157600197602,304.5901656330659
885,87.19000244140625,1721.614990234375,19.745555018092137,315.3385645852545
886,86.80999755859375,1721.8299560546875,19.83446612692866,306.24583439724483
887,87.0999984741211,1729.56005859375,19.857176680750825,305.2908021557357
888,87.11000061035156,1725.530029296875,19.80863296070078,309.5545037358995
889,86.33000183105469,1677.5400390625,19.431715550584574,339.3219771477584
890,86.69999694824219,1685.6500244140625,19.44233083906975,339.85590564087624
891,86.63500213623047,1683.489990234375,19.43198417179175,340.4975155785062
892,85.9749984741211,1674.364990234375,19.47502204071998,334.20335319654464
893,86.06999969482422,1667.8599853515625,19.377948080228222,342.9277991712813
894,86.19920349121094,1669.4000244140625,19.366768563984216,344.40624990092215
895,86.58999633789062,1681.3599853515625,19.417485350046398,341.57608430638265
896,85.94100189208984,1686.949951171875,19.629163193722842,320.8241560314816
897,86.05999755859375,1694.699951171875,19.692075287569494,315.85416106768
898,85.55999755859375,1674.989990234375,19.57678866326869,323.88300319692826
899,85.62999725341797,1675.949951171875,19.571995853415476,324.55839176299446
900,85.23999786376953,1666.030029296875,19.545167421983308,325.3670552267365
901,84.8949966430664,1655.449951171875,19.49997074777056,327.88713285568633
902,84.26000213623047,1643.2099609375,19.50166056583739,325.292230536186
903,84.97000122070312,1673.6600341796875,19.697069673242474,311.42932461294845
904,85.18000030517578,1673.010009765625,19.640878184687775,316.9853975377091
905,85.12000274658203,1678.7099609375,19.721685934801126,309.8837691455569
906,85.62000274658203,1679.989990234375,19.621466203485266,320.28485865693347
907,86.0999984741211,1690.25,19.63124308890708,321.2386231329824
908,86.13999938964844,1688.8800048828125,19.6062226242106,323.5431291435975
909,85.6500015258789,1678.9300537109375,19.602218608293352,322.0456337905098
910,88.4800033569336,1752.31005859375,19.80458851843424,314.7808041399362
911,88.61499786376953,1763.52001953125,19.900920409007533,306.72461694806
912,88.54000091552734,1754.3900146484375,19.814660001214982,314.1025253055259
913,88.05999755859375,1747.5999755859375,19.8455601185216,309.6786118866239
914,88.18000030517578,1757.0799560546875,19.92605976382101,303.0021640981563
915,88.19999694824219,1754.8399658203125,19.896145425606914,305.7093206593813
916,88.5199966430664,1757.5799560546875,19.85517422850417,310.4452393326983
917,88.16999816894531,1720.78955078125,19.516724356554832,339.058897088305
918,88.47000122070312,1715.85498046875,19.394766099169193,351.00220998164696
919,88.88999938964844,1725.93994140625,19.416581766871314,350.7293460655437
920,89.75,1732.8299560546875,19.30729756049791,363.93087002647735
921,90.04000091552734,1722.8199462890625,19.133939679824717,380.7159500896555
922,90.36000061035156,1734.52001953125,19.195661883744442,376.49178575516
923,90.1449966430664,1724.6800537109375,19.13228817945264,381.3087778032659
924,89.86499786376953,1696.010009765625,18.872865410142047,403.43742373431405
925,90.81999969482422,1711.9549560546875,18.849977557886415,409.80345714654686
926,90.33000183105469,1703.1400146484375,18.854643862775973,407.1709520278341
927,90.31120300292969,1708.510009765625,18.918029579455396,401.3617742210781
928,90.02059936523438,1705.094970703125,18.941164385999706,397.9876620475202
929,89.5999984741211,1714.4100341796875,19.13404088589193,378.84642061105615
930,89.33999633789062,1709.02001953125,19.12939433160045,378.1622035720793
931,88.37999725341797,1688.68994140625,19.107150869943506,376.0645549740034
932,87.31999969482422,1686.2349853515625,19.310982492496642,353.7555961919104
933,86.62000274658203,1676.3175048828125,19.352545044209883,347.3195816249993
934,86.7300033569336,1677.719970703125,19.344170480410806,348.48697620168036
935,86.63999938964844,1672.780029296875,19.307248858276598,351.32422353778657
936,86.68000030517578,1677.56005859375,19.35348468721199,347.47870513433895
937,87.04000091552734,1685.2900390625,19.362247487773818,348.1591444667083
938,87.36000061035156,1694.300048828125,19.394460130387888,346.6250436087753
939,86.7699966430664,1680.0,19.361531231939317,347.14127955850495
940,86.55500030517578,1668.1400146484375,19.272601337495306,353.9784693775887
941,86.41500091552734,1666.3699951171875,19.283341751579712,352.4777899017065
942,87.20999908447266,1680.3499755859375,19.267859112787402,357.0707455605418
943,87.26000213623047,1679.0489501953125,19.241908194936535,359.539954127883
944,87.05500030517578,1670.6300048828125,19.190511734263776,363.1695979514652
945,85.83999633789062,1630.2900390625,18.992196046295422,375.12435238306784
946,86.58999633789062,1646.6800537109375,19.016977980750557,376.25601594700765
947,86.92500305175781,1658.4300537109375,19.078861035224325,372.33252239949684
948,86.63999938964844,1653.1500244140625,19.08067908656492,370.95422842059907
949,86.98999786376953,1652.1600341796875,18.992528736085827,380.12096617280463
950,85.91999816894531,1627.675048828125,18.94407685656152,379.60836440429784
951,86.20999908447266,1635.7900390625,18.974481573299578,378.268444467476
952,87.26000213623047,1656.260009765625,18.980746839541318,382.3288945575705
953,87.63500213623047,1662.010009765625,18.965139148190985,385.33973366375926
954,87.59500122070312,1658.47998046875,18.93350028376696,387.9352520672069
955,87.58599853515625,1665.3199462890625,19.013540681626388,380.8849633679615
956,87.66999816894531,1675.0899658203125,19.106764010560536,373.07736324099096
957,87.13999938964844,1680.47998046875,19.284828921726824,355.3053911741631
