,amd,klac,Ratio,Spread
81,93.05999755859375,318.2012634277344,3.419313042936456,40.60963656952201
82,93.88999938964844,324.5260925292969,3.4564500440829327,37.51980325220937
83,96.93000030517578,334.3746337890625,3.44965060080793,39.51989867960627
84,94.0199966430664,342.06536865234375,3.638219324245952,20.48720139304548
85,89.8499984741211,332.5632629394531,3.7013162892288656,13.736419471066695
86,88.13999938964844,320.9726867675781,3.641623428525626,18.662143081940926
87,90.69000244140625,327.83203125,3.614864069077608,21.74163103772996
88,85.16000366210938,311.5498046875,3.658405252348753,16.470263296468076
89,84.91000366210938,311.5696105957031,3.66940993001911,15.476063217308974
90,89.63999938964844,329.3662414550781,3.6743222188499156,16.114953420176718
91,85.5199966430664,316.0038757324219,3.695087560062973,13.419292500464548
92,89.83999633789062,323.30865478515625,3.5987162507129202,22.952043532403238
