,nke,hd,Ratio,Spread
805,112.91999816894531,311.0899963378906,2.7549592754372276,-8.830655526938646
806,113.11000061035156,311.3399963378906,2.752541726265339,-8.56752102344058
807,116.02999877929688,313.2850036621094,2.700034533810652,-2.6265675171176808
808,114.79000091552734,312.7300109863281,2.7243663079719163,-5.420403853504527
809,114.06500244140625,310.6199951171875,2.7231840482951735,-5.26837194131497
810,114.3499984741211,310.6549987792969,2.7167031300800777,-4.533694452678676
811,114.37999725341797,311.94989013671875,2.7273115721935977,-5.7475689104959455
812,114.2300033569336,310.6499938964844,2.719513129364085,-4.852757168284827
813,114.08999633789062,310.69000244140625,2.723201090490547,-5.27087891886413
814,114.50499725341797,312.010009765625,2.724859327100779,-5.470104388048472
815,114.62999725341797,312.25,2.723981570981757,-5.372510471069805
816,115.08000183105469,313.0190124511719,2.720012230367403,-4.926207614667592
817,115.1500015258789,312.0078125,2.70957714603138,-3.7259613629177037
818,115.26000213623047,312.1499938964844,2.708224779724901,-3.5710670578507147
819,115.96499633789062,313.7149963378906,2.7052559500265927,-3.2321105450432723
820,116.05999755859375,314.7300109863281,2.7117871584258335,-3.990557941731768
821,115.48999786376953,312.8800048828125,2.7091523999496614,-3.6799347442088814
822,115.25499725341797,313.0799865722656,2.7164113837413764,-4.514576286567038
823,115.80999755859375,314.1600036621094,2.7127191976941454,-4.095718920220352
824,115.86000061035156,313.8800048828125,2.7091317385576534,-3.6806782385814385
825,116.0999984741211,314.2799987792969,2.706976769249058,-3.4325163337271674
826,116.37999725341797,315.2875061035156,2.7091210993670645,-3.6838384556338637
827,116.30999755859375,314.6600036621094,2.705356463476774,-3.245382314805627
828,116.41999816894531,324.5600891113281,2.7878379506615003,-12.848392062473014
829,117.56999969482422,328.5,2.7940801297328024,-13.682524637790781
830,117.86000061035156,330.75,2.806295590422307,-15.14932693411004
831,118.0999984741211,331.30999755859375,2.805334477893264,-15.061168691365143
832,118.31999969482422,330.2900085449219,2.791497712954863,-13.44702827459054
833,118.04000091552734,328.3299865722656,2.7815146054364024,-12.243191504246287
834,118.08000183105469,327.3800048828125,2.7725270986294355,-11.185180413819868
835,117.75789642333984,327.9700012207031,2.7851210932101775,-12.645078197389243
836,116.98999786376953,325.42999267578125,2.7816907309865266,-12.178912720933457
837,116.62000274658203,325.4809875488281,2.7909533517685285,-13.229143495106317
838,116.68000030517578,325.8800048828125,2.7929379844915623,-13.466127029881367
839,117.7249984741211,327.239990234375,2.779698402852904,-12.003913821207451
840,117.29000091552734,326.30999755859375,2.7820785660459095,-12.248707398696528
841,117.02999877929688,325.6600036621094,2.7827053495596554,-12.300894306288232
842,115.72000122070312,324.8599853515625,2.807293310790622,-15.038751308487466
843,116.44000244140625,324.0899963378906,2.7833217927058693,-12.324274286298138
844,116.11000061035156,322.7699890136719,2.779863812909979,-11.89549406673348
845,116.15499877929688,322.79998779296875,2.779045165385544,-11.803967496623333
846,116.11000061035156,324.8399963378906,2.7976917976945574,-13.96550139095223
847,116.2300033569336,325.6700134277344,2.801944455147491,-14.471430277875928
848,116.0,325.2799987792969,2.80413792051118,-14.702579533909844
849,114.12000274658203,322.739990234375,2.8280755561411977,-17.239829207726817
850,113.86499786376953,323.6700134277344,2.842576906864566,-18.8585372567286
851,113.77999877929688,323.239990234375,2.8409210204104074,-18.65806881374954
852,113.66500091552734,322.17999267578125,2.834469626364728,-17.90864290514077
853,113.56999969482422,321.3800048828125,2.8297966518129605,-17.36522236392108
854,113.33200073242188,321.4100036621094,2.8360039669727706,-18.037978565183156
855,113.1500015258789,321.3599853515625,2.8401235618018372,-18.479480636139105
856,110.72000122070312,316.42999267578125,2.8579298156349116,-20.112124686853466
857,111.12000274658203,315.8900146484375,2.8427826389533997,-18.491873254277667
858,111.2217025756836,315.7550048828125,2.8389693519387467,-18.082205484652153
859,110.80000305175781,314.95001220703125,2.8425090571514624,-18.416085416156765
860,110.19000244140625,314.1650085449219,2.8511208057371604,-19.27849406101348
861,110.19000244140625,313.20001220703125,2.8423632386574815,-18.313497723122854
862,110.37000274658203,312.4700012207031,2.831113467833811,-17.09736473466535
