,ibm,msft,Ratio,Spread
523,142.03700256347656,269.82000732421875,1.8996458842028559,5.713747006562247
524,142.55999755859375,271.010009765625,1.9010242312485792,5.545481924016773
525,142.4967041015625,271.9100036621094,1.9081845111891809,4.521836194868516
526,142.66000366210938,272.1199951171875,1.9074722285981744,4.630871237661385
527,142.77000427246094,272.5,1.9086642280962853,4.465766562581226
528,141.55999755859375,272.1300048828125,1.9223651425267503,2.4718593947125704
529,141.78660583496094,272.375,1.921020666204842,2.6695724180485207
530,141.51829528808594,271.8399963378906,1.9208823550659047,2.6803972408228596
531,140.88999938964844,270.6700134277344,1.9211442586436778,2.6229240608711315
532,140.2816925048828,269.9100036621094,1.9240572225967016,2.19452882143867
533,140.8699951171875,271.07000732421875,1.924256525307039,2.1838492693476077
534,140.77999877929688,270.4599914550781,1.9211535289120347,2.618045825794983
535,140.24000549316406,272.25750732421875,1.9413683446945518,-0.23441572949365885
536,140.19000244140625,270.8800048828125,1.932234825347331,1.0453993793090637
537,140.28729248046875,271.2099914550781,1.9332470294330961,0.9054812942818022
538,139.93499755859375,270.6861877441406,1.9343709041106645,0.741031988694832
539,139.42999267578125,270.0400085449219,1.9367426144305275,0.4006198055982997
540,138.6999969482422,266.9100036621094,1.9243692107773478,2.104485024362365
541,137.9600067138672,264.70001220703125,1.9186720739730485,2.868811272866825
542,135.7899932861328,254.42999267578125,1.8737020786182204,8.899433087033632
543,135.72000122070312,254.83999633789062,1.8776893165766977,8.352691007270156
544,135.9600067138672,254.69000244140625,1.8732714759084315,8.971566214258477
545,135.7100067138672,254.7949981689453,1.877496025080586,8.378163633690239
546,136.62890625,255.05880737304688,1.866799745189696,9.909541752359022
547,137.27000427246094,255.97999572753906,1.8647919265701784,10.240820068400357
548,136.19000244140625,252.9010009765625,1.8569718514056819,11.209893637092254
549,135.69000244140625,247.9600067138672,1.82740070935544,15.174074193729215
550,136.14999389648438,245.7449951171875,1.8049578122201668,18.287737706388956
551,136.33999633789062,246.2100067138672,1.8058531122715182,18.19392008760963
552,135.51499938964844,244.63999938964844,1.805261413802845,18.15219075882982
553,135.8000030517578,244.3300018310547,1.799189958323731,19.018979284274057
554,134.97000122070312,241.8699951171875,1.7920278056579504,19.857471668885754
555,135.1300048828125,242.3300018310547,1.7933100945360596,19.71005249535455
556,135.51499938964844,242.1645050048828,1.7869941046790205,20.627685143595446
557,135.81509399414062,242.72999572753906,1.787209275413902,20.648467466503465
558,135.375,243.4600067138672,1.7984118686158241,19.058676789314294
559,136.74000549316406,244.70010375976562,1.7895282574930036,20.485291892551007
560,136.0500030517578,244.0850067138672,1.7940830668045584,19.752381254490732
561,135.40499877929688,243.6510009765625,1.7994239738054354,18.92628896418336
562,135.75999450683594,244.56759643554688,1.8014702882389417,18.70322288970363
563,137.61000061035156,249.0850067138672,1.8100792501205034,17.800035247794657
564,136.7949981689453,248.86000061035156,1.8192185675020305,16.432830240836953
565,137.2449951171875,250.22000122070312,1.8231630305137991,15.951956003940214
566,137.30499267578125,250.0399932861328,1.8210553630526247,16.24917681363934
567,136.1699981689453,248.39999389648438,1.8241903300042346,15.67181982213123
568,138.08999633789062,254.00999450683594,1.8394525399602601,13.81278026584511
569,137.0500030517578,251.72999572753906,1.8367748275968416,14.06101965293556
570,135.7657928466797,245.50999450683594,1.8083347016880045,17.7721526140781
571,135.35000610351562,245.5800018310547,1.8144070244314228,16.88985291081929
572,135.4105987548828,244.97999572753906,1.809164112559581,17.60823447901868
573,135.8699951171875,245.85000610351562,1.8094503197079728,17.635713429467277
574,135.6999969482422,243.8000030517578,1.7966102323845035,19.353603398363877
575,135.85049438476562,244.7987060546875,1.8019714036619612,18.64891631287964
576,135.69000244140625,245.11000061035156,1.8063969061847067,18.02408029724484
577,134.39999389648438,246.1300048828125,1.8313245242584104,14.483879969559727
578,134.33009338378906,247.85000610351562,1.8450817673102737,12.627319191134067
579,134.16000366210938,247.60000610351562,1.8455575383488525,12.545027248341288
580,134.77000427246094,249.8699951171875,1.8540475417069215,11.466752148460163
581,135.72000122070312,249.97000122070312,1.8418066532007367,13.222686124457656
582,136.11599731445312,249.75010681152344,1.834832875922398,14.21620935747848
583,135.02000427246094,247.52999877929688,1.8332838908803366,14.295155339379964
584,137.57009887695312,254.27999877929688,1.848366766143947,12.527090062206813
585,137.9199981689453,253.8459930419922,1.840530716445074,13.644668647827647
586,138.08999633789062,252.99000549316406,1.8320661322499139,14.832769279516985
587,137.69000244140625,253.3699951171875,1.840148090817332,13.671340614642308
588,137.9550018310547,253.13999938964844,1.8349461493223276,14.419046413992707
589,138.3300018310547,253.97999572753906,1.8360441868404667,14.311660355645873
590,137.8800048828125,253.74000549316406,1.8402958841553838,13.67252421656605
591,137.37649536132812,256.2149963378906,1.8650570147680146,10.2138633684059
592,137.72999572753906,256.2900085449219,1.8608147570985278,10.829459166997598
593,137.17999267578125,254.17999267578125,1.8528940534099914,11.864973997476344
594,137.68499755859375,255.27789306640625,1.8540719584046854,11.753664989166626
595,137.8000030517578,255.3000030517578,1.8526850319144543,11.956232887804337
596,137.3699951171875,254.26499938964844,1.8509500504294276,12.151161261509461
597,137.0500030517578,253.0,1.846041549553654,12.791015380474622
598,137.89999389648438,256.0939025878906,1.8570987231524416,11.35767820689006
599,137.02999877929688,257.489990234375,1.8790775197268539,8.26194425106053
600,136.82749938964844,256.30999755859375,1.8732345376618398,9.046328568287667
601,137.4550018310547,256.1400146484375,1.8634463005082784,10.44221744914535
602,137.41000366210938,257.5899963378906,1.8746087582626323,8.904326103345571
603,138.05999755859375,258.0,1.8687527492567335,9.764168335116612
604,138.42999267578125,258.9200134277344,1.8704040101638553,9.566987510669097
605,140.55999755859375,265.70001220703125,1.8902960786995726,6.948224658377118
606,140.86390686035156,264.2300109863281,1.8757822133123014,9.01195142179154
607,140.9949951171875,264.05999755859375,1.8728324174848987,9.438062461487224
608,141.66000366210938,264.07000732421875,1.86411125580714,10.727231618513432
609,141.67999267578125,264.4549865722656,1.8665655014356273,10.381303455517074
610,141.9499969482422,265.2900085449219,1.8688975994952077,10.073769230929148
611,142.10000610351562,267.9800109863281,1.8858550279801725,7.676828787333594
612,143.0,265.42999267578125,1.8561537949355331,11.98509984479006
613,143.6699981689453,266.1199951171875,1.852300400284338,12.604024192303374
614,143.2949981689453,264.7699890136719,1.8477266645518717,13.221420016275207
615,142.77499389648438,265.1199951171875,1.8569077671220666,11.855519311662082
616,142.86000061035156,264.8716125488281,1.8540641986364073,12.269973326446351
617,142.91000366210938,264.54998779296875,1.851164936070256,12.68928541490931
618,142.80999755859375,264.9200134277344,1.855052292953369,12.123885114936574
619,143.42999267578125,262.3800048828125,1.8293245365766266,15.875133116174428
620,142.6199951171875,260.32000732421875,1.8252700619595443,16.352697240551837
621,142.7635955810547,258.7300109863281,1.8122968249243412,18.2232353810461
622,142.8092041015625,259.0398864746094,1.8138878940210772,18.00246194865497
623,142.30999755859375,257.69000244140625,1.8107652790543174,18.377082395206347
624,141.5800018310547,257.1099853515625,1.8160049585136184,17.53095982100172
625,141.8800048828125,256.4599914550781,1.807583751261528,18.767047903118797
626,141.0500030517578,260.6499938964844,1.8479261840273746,12.955531132457057
627,139.8199005126953,261.04998779296875,1.8670445826076527,10.152375195945812
628,139.6199951171875,258.760009765625,1.8533162785777173,12.05181256279548
629,140.30999755859375,259.7900085449219,1.8515431050195337,12.369821467457317
630,141.08680725097656,261.55010986328125,1.853824003530074,12.127316858134922
631,141.1199951171875,260.7799987792969,1.8479308942913615,12.962264667298658
632,140.7100067138672,260.2699890136719,1.8496906871941885,12.671309849547132
633,140.3000030517578,254.34109497070312,1.8128374158115637,17.79920949915078
634,141.11590576171875,257.8739929199219,1.8273914023225346,15.860281449732046
635,142.2899932861328,258.9200134277344,1.8196642465719197,17.107990513839074
636,142.0399932861328,258.07489013671875,1.8169170820561724,17.464706951825523
637,141.76499938964844,258.1199951171875,1.8207596813634608,16.88236635702015
638,141.07000732421875,257.2799987792969,1.823775327295438,16.364607144683706
639,141.3300018310547,256.8599853515625,1.817448397535662,17.292552967972544
640,139.72000122070312,255.7100067138672,1.8301603527038701,15.297190279760404
641,139.72999572753906,256.239990234375,1.8338223578995878,14.786732301777878
642,139.9600067138672,256.8500061035156,1.8351671462021086,14.626072200615855
