,qcom,adbe,Ratio,Spread
1614,123.67500305175781,322.80999755859375,2.610147480032794,27.73004016832988
1615,124.33000183105469,324.0400085449219,2.6062897432048806,28.35653446714599
1616,123.70999908447266,323.2900085449219,2.613289232377816,27.349220694639257
1617,123.68499755859375,322.5199890136719,2.607591829080833,28.048376788585358
1618,123.38999938964844,322.8599853515625,2.6165814648561234,26.872248114169224
1619,123.70999908447266,323.3900146484375,2.6140976238114573,27.249214591123632
1620,121.91000366210938,327.1050109863281,2.683167920271296,18.43237513462435
1621,121.30000305175781,328.80999755859375,2.7107171416829474,14.99842448967064
1622,121.08999633789062,328.4100036621094,2.7121150680830075,14.803182812389934
1623,121.26609802246094,329.82000732421875,2.7198039081221976,13.892315512761286
1624,122.78500366210938,333.36749267578125,2.7150505577470305,14.649962379414148
1625,123.56500244140625,332.2300109863281,2.688706384672873,17.99824491604619
1626,123.75,333.5199890136719,2.695111022332702,17.232617400678578
1627,122.9583969116211,341.7300109863281,2.7792328101996455,6.778903739177451
1628,122.23169708251953,341.1000061035156,2.7906018998757456,5.349176426933525
1629,122.4800033569336,342.2749938964844,2.794537757310636,4.8779791223669235
1630,123.06999969482422,342.94000244140625,2.78654426986099,5.885235250496066
1631,123.46589660644531,344.0697937011719,2.786759770577897,5.877560141215213
1632,124.05999755859375,343.7099914550781,2.7705142529342974,7.921261033283201
1633,123.61000061035156,344.1600036621094,2.784240773098808,6.195793452721034
1634,124.6500015258789,348.9949951171875,2.7997993649822117,4.308543668709774
1635,124.55999755859375,350.2049865722656,2.811536556168662,2.8434481642344736
1636,124.18990325927734,350.29998779296875,2.8206800923391517,1.699464801274189
1637,123.36000061035156,347.25,2.814931892687272,2.3972059907609946
1638,122.66999816894531,346.7300109863281,2.826526584836169,0.9614765821661422
1639,122.19000244140625,345.6499938964844,2.8287911203065392,0.6810108235082453
1640,122.37999725341797,347.0199890136719,2.835594025182738,-0.1504697440362861
1641,119.85199737548828,347.20001220703125,2.896906349581116,-7.495766037993633
1642,119.22000122070312,346.0899963378906,2.9029524643033677,-8.177057631760022
1643,120.11000061035156,347.1300048828125,2.890100766953917,-6.694483504953666
1644,119.5,345.94500732421875,2.8949372997842575,-7.238450019048003
1645,118.71499633789062,345.510009765625,2.910415873511235,-9.028438969784986
1646,118.47000122070312,344.3800048828125,2.9068962719199387,-8.592839548890083
1647,119.19999694824219,344.8599853515625,2.8931207565492145,-7.003746045069022
1648,121.02999877929688,345.4599914550781,2.854333594475519,-2.4168599305202747
1649,121.23889923095703,346.5299987792969,2.8582410511593808,-2.8947672312971235
1650,120.69999694824219,346.4649963378906,2.8704640024677013,-4.357210286980774
1651,120.0999984741211,345.4800109863281,2.876602958998134,-5.072839308287826
1652,120.44000244140625,345.8599853515625,2.8716371499562405,-4.4891185000556675
1653,120.31999969482422,345.55499267578125,2.871966369283875,-4.5242573486423225
1654,121.19999694824219,345.8399963378906,2.853465388168118,-2.3150280388420015
1655,121.20999908447266,348.82501220703125,2.8778567349376107,-5.2716942081640354
